#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1184|SZUA-1184_00001	K08307	[EC:4.2.2.-]	mltD, dniR	membrane-bound lytic murein transglycosylase D	05E9H@bactNOG,0QHZG@gproNOG,16Q6H@proNOG,COG0741@NOG	Lytic Murein transglycosylase			SZUA-1184_1:c(1414..3030)	Membrane-bound lytic murein transglycosylase D	K08307	K08307		K08307	K08309
Candidatus_bacterium_SZUA-1184|SZUA-1184_00710					08T1X@bactNOG,0XRDS@NOG	regulatory protein FlaEY			SZUA-1184_127:c(5041..6513)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00711	K03498		trkH, trkG, ktrB	trk system potassium uptake protein	05D37@bactNOG,1C82Y@synNOG,COG0168@NOG	potassium uptake protein TrkH			SZUA-1184_128:64..774	Trk system potassium uptake protein TrkH	K03498	K03498		K03498	K03498
Candidatus_bacterium_SZUA-1184|SZUA-1184_00712	K01715	[EC:4.2.1.17]	crt	enoyl-CoA hydratase	05E39@bactNOG,0EP01@cloNOG,0NDEY@firmNOG,COG1024@NOG	3-hydroxybutyryl-CoA dehydratase			SZUA-1184_128:787..1560	Crotonyl-CoA hydratase	K01715	K01715		K01692	K20765
Candidatus_bacterium_SZUA-1184|SZUA-1184_00713									SZUA-1184_128:1570..1704	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00714	K19802	[EC:5.1.1.20]	ycjG, ykfB	L-Ala-D/L-Glu epimerase	004T6@aciNOG,07STG@bactNOG,COG4948@NOG	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain			SZUA-1184_128:1704..2750	L-Ala-D/L-Glu epimerase	K19802	K19802		K19802	K21624
Candidatus_bacterium_SZUA-1184|SZUA-1184_00715	K05606	[EC:5.1.99.1]	MCEE, epi	methylmalonyl-CoA/ethylmalonyl-CoA epimerase	08ZVT@bactNOG,0GEDX@delNOG,0HG6I@dproNOG,17A8C@proNOG,COG0346@NOG	methylmalonyl-CoA epimerase			SZUA-1184_128:2747..3151	hypothetical protein	K05606	K05606		K01759	K21265
Candidatus_bacterium_SZUA-1184|SZUA-1184_00716	K01593	[EC:4.1.1.28][EC:4.1.1.105]	DDC, TDC	aromatic-L-amino-acid/L-tryptophan decarboxylase	005ZT@aciNOG,07REG@bactNOG,COG0076@NOG	Pyridoxal-dependent decarboxylase conserved domain			SZUA-1184_128:c(3148..4599)	L-2,4-diaminobutyrate decarboxylase	K01593	K01593	K01593	K01593	K18933
Candidatus_bacterium_SZUA-1184|SZUA-1184_00717	K03703		uvrC	excinuclease ABC subunit C	05CII@bactNOG,099NH@bctoNOG,COG0322@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)			SZUA-1184_128:4730..6574	UvrABC system protein C	K03703	K03703		K03703	K05984
Candidatus_bacterium_SZUA-1184|SZUA-1184_00718									SZUA-1184_128:c(7999..8301)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00719	K00820	[EC:2.6.1.16]	glmS, GFPT	glucosamine---fructose-6-phosphate aminotransferase (isomerizing)	05C46@bactNOG,09A2V@bctoNOG,COG0449@NOG	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)			SZUA-1184_129:c(86..1924)	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	K00820	K00820	K00820	K00820	K00820
Candidatus_bacterium_SZUA-1184|SZUA-1184_00720	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,1AMMZ@spiNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1184_129:c(1994..3544)	GMP synthase [glutamine-hydrolyzing]	K01951	K01951		K01951	K01951
Candidatus_bacterium_SZUA-1184|SZUA-1184_00721	K03787	[EC:3.1.3.5]	surE	5'-nucleotidase	05CV2@bactNOG,0ERPR@cloNOG,0NFVN@firmNOG,COG0496@NOG	Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates (By similarity)			SZUA-1184_129:c(3541..4074)	5'/3'-nucleotidase SurE	K03787	K03787		K03787	K03787
Candidatus_bacterium_SZUA-1184|SZUA-1184_00723	K03797	[EC:3.4.21.102]	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease	05CN1@bactNOG,09A6U@bctoNOG,COG0793@NOG	protease			SZUA-1184_130:c(1960..3636)	putative CtpA-like serine protease	K03797	K03797		K03797	K03797
Candidatus_bacterium_SZUA-1184|SZUA-1184_00724	K00943	[EC:2.7.4.9]	tmk, DTYMK	dTMP kinase	08ZMD@bactNOG,1CGEP@therNOG,COG0125@NOG	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)			SZUA-1184_130:c(3633..4265)	Thymidylate kinase	K00943	K00943		K00943	K00943
Candidatus_bacterium_SZUA-1184|SZUA-1184_00725	K07056	[EC:2.1.1.198]	rsmI	16S rRNA (cytidine1402-2'-O)-methyltransferase	05CU0@bactNOG,0FK2T@cyaNOG,COG0313@NOG	Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA (By similarity)			SZUA-1184_130:c(4249..4947)	Ribosomal RNA small subunit methyltransferase I	K07056	K07056	K07056	K07056	K07056
Candidatus_bacterium_SZUA-1184|SZUA-1184_00726	K20758	[EC:3.7.1.23]	hbzF	maleylpyruvate hydrolase	04UTJ@bacNOG,05FBJ@bactNOG,0NHZ0@firmNOG,COG0179@NOG	fumarylacetoacetate (faa) hydrolase			SZUA-1184_131:c(103..282)	putative protein YcgM	K20758				K20758
Candidatus_bacterium_SZUA-1184|SZUA-1184_00727	K01557	[EC:3.7.1.5]	FAHD1	acylpyruvate hydrolase	05FBJ@bactNOG,0B7HS@bproNOG,16Q1P@proNOG,COG0179@NOG	fumarylacetoacetate (faa) hydrolase			SZUA-1184_131:c(325..759)	putative protein YcgM	K01557	K01557			K20758
Candidatus_bacterium_SZUA-1184|SZUA-1184_00728					05IRY@bactNOG,0QT2W@gproNOG,11RIS@NOG,17EG1@proNOG				SZUA-1184_131:c(784..1227)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00729	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	08JIU@bactNOG,0F7BV@cloNOG,0P6M7@firmNOG,COG0046@NOG	phosphoribosylformylglycinamidine synthase ii			SZUA-1184_131:c(1224..2915)	Phosphoribosylformylglycinamidine synthase subunit PurL	K01952	K01952		K01952	K01952
Candidatus_bacterium_SZUA-1184|SZUA-1184_00730	K03565		recX	regulatory protein	04UBG@bacNOG,0902V@bactNOG,0NJ7N@firmNOG,COG2137@NOG	Modulates RecA activity (By similarity)			SZUA-1184_131:c(2979..3614)	Regulatory protein RecX	K03565	K03565		K03565	K03565
Candidatus_bacterium_SZUA-1184|SZUA-1184_00731	K03553		recA	recombination protein RecA	05C68@bactNOG,0ENTK@cloNOG,0NDA0@firmNOG,COG0468@NOG	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)			SZUA-1184_131:c(3601..4221)	Protein RecA	K03553	K03553		K03553	K04484
Candidatus_bacterium_SZUA-1184|SZUA-1184_00732	K05396	[EC:4.4.1.15]	dcyD	D-cysteine desulfhydrase	00IAG@actNOG,05K6H@bactNOG,COG2515@NOG	1-aminocyclopropane-1-carboxylate deaminase			SZUA-1184_132:22..1020	D-cysteine desulfhydrase	K05396			K05396	K17950
Candidatus_bacterium_SZUA-1184|SZUA-1184_00733					062B3@bactNOG,0D2KN@chloNOG,12AHW@NOG	FmdB family regulatory protein			SZUA-1184_132:1059..1451	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00734					05N16@bactNOG,11W16@NOG,17GV4@proNOG	Protein of unknown function (DUF2877)			SZUA-1184_132:1508..2359	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00735									SZUA-1184_132:2504..2752	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00736					COG0520@NOG,arCOG00065@arNOG	Cysteine desulfurase			SZUA-1184_132:2749..3897	Cysteine desulfurase SufS					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00737									SZUA-1184_132:4111..4518	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00738	K00294	[EC:1.2.1.88]	E1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase	07RMK@bactNOG,0G54A@defNOG,COG1012@NOG	Delta-1-pyrroline-5-carboxylate dehydrogenase			SZUA-1184_133:166..1788	1-pyrroline-5-carboxylate dehydrogenase	K00294	K00294	K00294	K00128	K21802
Candidatus_bacterium_SZUA-1184|SZUA-1184_00739	K01478	[EC:3.5.3.6]	arcA	arginine deiminase	07WB9@bactNOG,09C5Z@bctoNOG,COG2235@NOG	Arginine deiminase			SZUA-1184_133:1792..3075	Arginine deiminase	K01478	K01478		K01478	K01478
Candidatus_bacterium_SZUA-1184|SZUA-1184_00740	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CHR@bactNOG,0EQDZ@cloNOG,0NEV8@firmNOG,0XNW1@NOG	Bile acid 7-dehydroxylase 1 3			SZUA-1184_134:c(156..890)	putative oxidoreductase	K00059	K00059	K00059	K00059	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00741	K01697	[EC:4.2.1.22]	CBS	cystathionine beta-synthase	05C6T@bactNOG,0QII0@gproNOG,16Q08@proNOG,COG0031@NOG	Cysteine synthase			SZUA-1184_134:968..1921	Cysteine synthase	K01697	K01697		K01697	K21949
Candidatus_bacterium_SZUA-1184|SZUA-1184_00742	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	090XY@bactNOG,09FNU@bctoNOG,COG0526@NOG	Redoxin domain protein			SZUA-1184_134:1918..2433	Thiol-disulfide oxidoreductase ResA	K13996				K13996
Candidatus_bacterium_SZUA-1184|SZUA-1184_00743	K20755	[EC:3.4.21.121]	E3.4.21.121	Lys-Lys/Arg-Xaa endopeptidase	07QU5@bactNOG,09AA4@bctoNOG,COG1404@NOG	Peptidase S8 and S53 subtilisin kexin sedolisin			SZUA-1184_134:c(2509..4359)	Thermophilic serine proteinase	K20755				K20755
Candidatus_bacterium_SZUA-1184|SZUA-1184_00744	K03703		uvrC	excinuclease ABC subunit C	05CII@bactNOG,0EPAR@cloNOG,0NDRN@firmNOG,COG0322@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)			SZUA-1184_134:c(4466..6289)	UvrABC system protein C	K03703	K03703		K03703	K05984
Candidatus_bacterium_SZUA-1184|SZUA-1184_00745									SZUA-1184_135:22..525	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00746	K01194	[EC:3.2.1.28]	TREH, treA, treF	alpha,alpha-trehalase	056PX@bacteNOG,07MD5@bactNOG,09DE2@bctoNOG,COG1626@NOG	Mannosyl oligosaccharide glucosidase			SZUA-1184_135:547..876	hypothetical protein	K01194				K01194
Candidatus_bacterium_SZUA-1184|SZUA-1184_00747					05DXW@bactNOG,09A99@bctoNOG,0P7MJ@flaNOG,0XQEH@NOG	membrane associated hydrolase			SZUA-1184_135:1135..3342	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00748					05ID2@bactNOG,09G1C@bctoNOG,0FZI7@cytNOG,11PNP@NOG				SZUA-1184_135:3520..4170	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00749	K07302	[EC:1.3.99.16]	iorA	isoquinoline 1-oxidoreductase subunit alpha	07XKX@bactNOG,09DPJ@bctoNOG,1AJIR@sphNOG,COG2080@NOG	[2Fe-2S] binding domain			SZUA-1184_136:528..989	Isoquinoline 1-oxidoreductase subunit alpha	K07302	K07302		K07302	K21675
Candidatus_bacterium_SZUA-1184|SZUA-1184_00750					08KPT@bactNOG,09BCD@bctoNOG,0P7PD@flaNOG,0XTHQ@NOG	aminopeptidase N			SZUA-1184_137:202..3126	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00751	K01889	[EC:6.1.1.20]	FARSA, pheS	phenylalanyl-tRNA synthetase alpha chain					SZUA-1184_137:3225..3653	hypothetical protein	K01889	K01889			
Candidatus_bacterium_SZUA-1184|SZUA-1184_00752									SZUA-1184_137:3735..3932	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00753	K21366	[EC:2.4.1.122]	wbnJ	N-acetylgalactosaminide beta-1,3-galactosyltransferase	05K64@bactNOG,0QU2E@gproNOG,17JWM@proNOG,COG0463@NOG	glycosyl transferase family			SZUA-1184_137:3929..4774	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD	K21366				K21366
Candidatus_bacterium_SZUA-1184|SZUA-1184_00754	K10536	[EC:3.5.3.12]	aguA	agmatine deiminase	07VPC@bactNOG,09GN0@bctoNOG,0ZPIS@NOG	Peptidyl-arginine deiminase			SZUA-1184_137:4817..6133	Peptidylarginine deiminase	K10536	K10536			
Candidatus_bacterium_SZUA-1184|SZUA-1184_00755									SZUA-1184_137:6135..6782	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00756	K03545		tig	trigger factor	05DEA@bactNOG,0GB0W@delNOG,0HC1P@dproNOG,16PB0@proNOG,COG0544@NOG	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase (By similarity)			SZUA-1184_137:6863..8161	Trigger factor	K03545	K03545		K01802	K03545
Candidatus_bacterium_SZUA-1184|SZUA-1184_00757	K01358	[EC:3.4.21.92]	clpP, CLPP	ATP-dependent Clp protease, protease subunit	02EYA@aquNOG,05CCQ@bactNOG,COG0740@NOG	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)			SZUA-1184_137:8164..8769	ATP-dependent Clp protease proteolytic subunit	K01358	K01358	K01358	K01358	K01358
Candidatus_bacterium_SZUA-1184|SZUA-1184_00758	K03544		clpX, CLPX	ATP-dependent Clp protease ATP-binding subunit ClpX	05CHN@bactNOG,0ENZM@cloNOG,0NE2P@firmNOG,COG1219@NOG	ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity)			SZUA-1184_137:8766..9893	ATP-dependent Clp protease ATP-binding subunit ClpX	K03544	K03544		K03544	K03544
Candidatus_bacterium_SZUA-1184|SZUA-1184_00759					05FEF@bactNOG,09D3A@bctoNOG,10051@NOG	tonB-dependent Receptor			SZUA-1184_137:9934..13053	Protein oar					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00760					08QKU@bactNOG,09CGK@bctoNOG,0XR0H@NOG				SZUA-1184_137:13079..17011	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00761					08X6K@bactNOG,09EGX@bctoNOG,11MG6@NOG				SZUA-1184_137:17014..18054	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00762					083BD@bactNOG,0D10G@chlNOG,0ZX4N@NOG				SZUA-1184_137:18090..20696	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00763	K00609	[EC:2.1.3.2]	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit	05CXT@bactNOG,099PP@bctoNOG,1AFUK@sphNOG,COG0540@NOG	Aspartate transcarbamylase			SZUA-1184_138:c(593..1519)	Aspartate carbamoyltransferase	K00609	K00609		K00609	K00609
Candidatus_bacterium_SZUA-1184|SZUA-1184_00764	K02825	[EC:2.4.2.9]	pyrR	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase	08UK1@bactNOG,0D2EA@chloNOG,0G76F@dehNOG,COG2065@NOG	Bifunctional protein PyrR			SZUA-1184_138:c(1523..2074)	Bifunctional protein PyrR	K02825	K02825	K02825	K02825	K02825
Candidatus_bacterium_SZUA-1184|SZUA-1184_00765	K00791	[EC:2.5.1.75]	miaA, TRIT1	tRNA dimethylallyltransferase	05DKX@bactNOG,0EPBR@cloNOG,0NE19@firmNOG,COG0324@NOG	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)			SZUA-1184_138:c(2259..3203)	tRNA dimethylallyltransferase	K00791	K00791		K00791	K00791
Candidatus_bacterium_SZUA-1184|SZUA-1184_00766	K03572		mutL	DNA mismatch repair protein MutL	05DC6@bactNOG,09A2G@bctoNOG,COG0323@NOG	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex (By similarity)			SZUA-1184_138:c(3218..4957)	DNA mismatch repair protein MutL	K03572	K03572		K03572	K03572
Candidatus_bacterium_SZUA-1184|SZUA-1184_00767	K00603	[EC:2.1.2.5]	fctD	glutamate formiminotransferase	0KREV@eurNOG,COG3404@NOG,COG3643@NOG,arCOG05394@arNOG,arCOG05395@arNOG	Formiminotransferase-cyclodeaminase			SZUA-1184_138:c(4957..5607)	Methenyltetrahydrofolate cyclohydrolase	K00603			K00603	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00768									SZUA-1184_139:129..593	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00769	K13778	[EC:6.4.1.5]	atuC	geranyl-CoA carboxylase beta subunit	01UYK@aproNOG,07QX3@bactNOG,16Q07@proNOG,COG4799@NOG	carboxylase			SZUA-1184_139:c(513..2135)	Methylmalonyl-CoA carboxyltransferase 12S subunit	K13778	K13778		K01969	K19312
Candidatus_bacterium_SZUA-1184|SZUA-1184_00770	K13774		atuB	citronellol/citronellal dehydrogenase	05K6S@bactNOG,0QMME@gproNOG,16RZB@proNOG,COG1028@NOG	short-chain dehydrogenase reductase			SZUA-1184_139:c(2161..3030)	putative 2,4-dienoyl-CoA reductase	K13774	K13774		K00034	K21883
Candidatus_bacterium_SZUA-1184|SZUA-1184_00771					05CNS@bactNOG,0QID0@gproNOG,0XP3U@NOG,16X2A@proNOG	Protein of unknown function (DUF1446)			SZUA-1184_139:c(3033..4823)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00772	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	05C04@bactNOG,16SQK@proNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1184_139:c(4824..5990)	Acetyl-CoA:oxalate CoA-transferase	K20882				K20882
Candidatus_bacterium_SZUA-1184|SZUA-1184_00773	K01782	[EC:1.1.1.35][EC:4.2.1.17][EC:5.1.2.3]	fadJ	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase	05DYT@bactNOG,09ARU@bctoNOG,COG1024@NOG,COG1250@NOG	3-hydroxybutyryl-CoA dehydrogenase			SZUA-1184_139:c(6013..6444)	Fatty acid oxidation complex subunit alpha	K01782	K01782		K00074	K18612
Candidatus_bacterium_SZUA-1184|SZUA-1184_00774	K03701		uvrA	excinuclease ABC subunit A	05C5U@bactNOG,0ENQI@cloNOG,0NDEK@firmNOG,COG0178@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)			SZUA-1184_140:13..2574	UvrABC system protein A	K03701	K03701		K03701	K03701
Candidatus_bacterium_SZUA-1184|SZUA-1184_00775					08K9H@bactNOG,0XSX8@NOG,152XM@plaNOG	protein TIM barrel			SZUA-1184_141:293..1240	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00776	K20590	[EC:1.1.1.-]	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	06DJA@bactNOG,09B8S@bctoNOG,COG0673@NOG	Oxidoreductase domain protein			SZUA-1184_141:1258..2667	Inositol 2-dehydrogenase	K20590				K20590
Candidatus_bacterium_SZUA-1184|SZUA-1184_00777	K20543		bcsC	cellulose synthase operon protein C	07KYY@bactNOG,COG0457@NOG	tetratricopeptide			SZUA-1184_141:2807..3781	Lipopolysaccharide assembly protein B	K20543				K20543
Candidatus_bacterium_SZUA-1184|SZUA-1184_00778					07ZPI@bactNOG,09FAT@bctoNOG,0ZWZ5@NOG	Tetratricopeptide repeat			SZUA-1184_141:3778..4965	Beta-barrel assembly-enhancing protease					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00779					05C1S@bactNOG,099JQ@bctoNOG,0XNNI@NOG	aspic unbv domain protein			SZUA-1184_141:4971..6665	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00780					07ZPI@bactNOG,09FAT@bctoNOG,0ZWZ5@NOG	Tetratricopeptide repeat			SZUA-1184_141:6662..7861	Beta-barrel assembly-enhancing protease					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00781	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	07W3K@bactNOG,152RT@plaNOG,COG1402@NOG	Creatinine amidohydrolase			SZUA-1184_141:c(7858..8643)	Creatinine amidohydrolase	K01470	K01470		K01470	K14653
Candidatus_bacterium_SZUA-1184|SZUA-1184_00782	K11751	[EC:3.1.3.5][EC:3.6.1.45]	ushA	5'-nucleotidase / UDP-sugar diphosphatase	057WQ@bacteNOG,07SKS@bactNOG,099R9@bctoNOG,COG0737@NOG	Ser Thr phosphatase family protein			SZUA-1184_141:8768..9832	Protein UshA	K11751	K11751		K01081	K17224
Candidatus_bacterium_SZUA-1184|SZUA-1184_00783									SZUA-1184_142:c(23..445)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00784	K14952		namH	UDP-MurNAc hydroxylase	08SSY@bactNOG,COG2220@NOG	domain protein			SZUA-1184_142:c(524..1708)	hypothetical protein	K14952				K14952
Candidatus_bacterium_SZUA-1184|SZUA-1184_00785									SZUA-1184_142:c(1725..2006)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00786	K04765	[EC:3.6.1.9]	mazG	nucleoside triphosphate diphosphatase	05KYB@bactNOG,15577@plaNOG,COG1694@NOG	Inherit from bactNOG: Mazg nucleotide pyrophosphohydrolase			SZUA-1184_142:c(2576..2923)	hypothetical protein	K04765				K04765
Candidatus_bacterium_SZUA-1184|SZUA-1184_00787					0225V@aproNOG,05W64@bactNOG,16X4E@proNOG,COG1917@NOG	Cupin 2, conserved barrel			SZUA-1184_142:c(3018..3620)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00788									SZUA-1184_143:4..285	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00789	K01768	[EC:4.6.1.1]	E4.6.1.1	adenylate cyclase	05F8J@bactNOG,0GB6E@delNOG,0HCJT@dproNOG,16R78@proNOG,COG2114@NOG,COG4252@NOG	Adenylate guanylate cyclase			SZUA-1184_143:291..2828	Adenylate cyclase 1	K01768	K01768		K01768	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00790	K03466		ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	04RU2@bacNOG,05CNU@bactNOG,0NE2A@firmNOG,COG1674@NOG	Dna translocase ftsK			SZUA-1184_144:67..1485	DNA translocase SpoIIIE	K03466	K03466		K03466	K03466
Candidatus_bacterium_SZUA-1184|SZUA-1184_00791									SZUA-1184_144:1493..2092	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00792									SZUA-1184_144:c(2141..2593)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00793	K03833		selB, EEFSEC	selenocysteine-specific elongation factor	05EM7@bactNOG,0EPJV@cloNOG,0NEJ2@firmNOG,COG3276@NOG	Selenocysteine-specific translation elongation factor			SZUA-1184_145:4..186	hypothetical protein	K03833			K03833	K03833
Candidatus_bacterium_SZUA-1184|SZUA-1184_00794	K03555		mutS	DNA mismatch repair protein MutS	05D86@bactNOG,099WT@bctoNOG,COG0249@NOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1184_145:222..2783	DNA mismatch repair protein MutS	K03555	K03555		K03555	K03555
Candidatus_bacterium_SZUA-1184|SZUA-1184_00795									SZUA-1184_146:c(2333..3082)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00796									SZUA-1184_147:36..410	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00797	K20024	[EC:5.1.3.34]	mgdE	monoglucosyldiacylglycerol epimerase	06NQW@bactNOG,0QJEU@gproNOG,16QGI@proNOG,COG3000@NOG	sterol desaturase family protein			SZUA-1184_147:618..848	hypothetical protein	K20024				K20024
Candidatus_bacterium_SZUA-1184|SZUA-1184_00798	K20024	[EC:5.1.3.34]	mgdE	monoglucosyldiacylglycerol epimerase	06NQW@bactNOG,0QJEU@gproNOG,16QGI@proNOG,COG3000@NOG	sterol desaturase family protein			SZUA-1184_147:867..1310	hypothetical protein	K20024				K20024
Candidatus_bacterium_SZUA-1184|SZUA-1184_00799	K13770		ysiA, fadR	TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein	08I6I@bactNOG,0F6ZW@cloNOG,0P64R@firmNOG,0ZWA0@NOG	Transcriptional regulator TetR family			SZUA-1184_147:1400..1990	Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR	K13770			K13770	
Candidatus_bacterium_SZUA-1184|SZUA-1184_00800	K16089		TC.FEV.OM2, cirA, cfrA, hmuR	outer membrane receptor for ferrienterochelin and colicins	08IA5@bactNOG,0F70S@cloNOG,0P663@firmNOG,COG4771@NOG	TonB-dependent Receptor Plug Domain			SZUA-1184_147:2004..4172	Vitamin B12 transporter BtuB	K16089	K16089		K02014	K19611
Candidatus_bacterium_SZUA-1184|SZUA-1184_00801									SZUA-1184_147:4188..4613	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00802					08K37@bactNOG,09RIR@bctoNOG,0ZW5U@NOG				SZUA-1184_147:4787..6868	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00803	K20932	[EC:1.7.2.7]	K20932	hydrazine synthase subunit	088XK@bactNOG,09KJB@bctoNOG,COG3391@NOG	Inherit from COG: 40-residue yvtn family beta-propeller repeat protein			SZUA-1184_147:6822..7979	hypothetical protein	K20932				K20932
Candidatus_bacterium_SZUA-1184|SZUA-1184_00804									SZUA-1184_147:c(7984..8460)	hypothetical protein					
Candidatus_bacterium_SZUA-1184|SZUA-1184_00805	K20934	[EC:1.7.2.7]	K20934	hydrazine synthase subunit	003A4@aciNOG,07SNA@bactNOG,COG0823@NOG	WD40-like Beta Propeller Repeat			SZUA-1184_147:c(8521..9612)	Dipeptidyl-peptidase 5	K20934				K20934
