#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00001	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	05C91@bactNOG,0GAN7@delNOG,0I2ZP@eproNOG,16PIX@proNOG,COG0104@NOG	Plays an important role in the de novo pathway of purine nucleotide biosynthesis			SZUA-1327_1:634..1896	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	K01939
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00501	K01698	[EC:4.2.1.24]	hemB, ALAD	porphobilinogen synthase	05D52@bactNOG,0GB9P@delNOG,0I31Y@eproNOG,16PKY@proNOG,COG0113@NOG	Delta-aminolevulinic acid dehydratase			SZUA-1327_80:c(688..1665)	Delta-aminolevulinic acid dehydratase	K01698	K01698	K01698	K01698	K01698
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00502	K01895	[EC:6.2.1.1]	ACSS, acs	acetyl-CoA synthetase	08IQF@bactNOG,0GSZB@delNOG,0I6AY@eproNOG,172WM@proNOG,COG0365@NOG	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA (By similarity)			SZUA-1327_81:c(463..2412)	Acetyl-coenzyme A synthetase	K01895	K01895	K01895	K01895	K20458
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00503	K20543		bcsC	cellulose synthase operon protein C	0Y4RN@NOG	Cellulose synthase operon protein C C-terminus (BCSC_C)			SZUA-1327_82:c(273..1745)	hypothetical protein	K20543	K20543			
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00504	K20543		bcsC	cellulose synthase operon protein C	02GEV@aquNOG,089CY@bactNOG,COG0457@NOG	TPR			SZUA-1327_82:c(1762..3357)	Beta-barrel assembly-enhancing protease	K20543		K20543		K20543
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00505	K00169	[EC:1.2.7.1]	porA	pyruvate ferredoxin oxidoreductase alpha subunit	05D95@bactNOG,0GBKX@delNOG,0I2WJ@eproNOG,16QSU@proNOG,COG0674@NOG	Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)			SZUA-1327_83:54..1304	Pyruvate synthase subunit PorA	K00169	K00169	K00169	K00169	K19070
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00506	K00170	[EC:1.2.7.1]	porB	pyruvate ferredoxin oxidoreductase beta subunit	05DDK@bactNOG,0GAKH@delNOG,0I2I0@eproNOG,16PCN@proNOG,COG1013@NOG	oxidoreductase, beta subunit			SZUA-1327_83:1304..2257	Pyruvate synthase subunit PorB	K00170	K00170		K00170	K19071
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00507	K00748	[EC:2.4.1.182]	lpxB	lipid-A-disaccharide synthase	05D0V@bactNOG,0GBGU@delNOG,0I2V6@eproNOG,16PSA@proNOG,COG0763@NOG	Condensation of UDP-2,3-diacylglucosamine and 2,3- diacylglucosamine-1-phosphate to form lipid A disaccharide, a precursor of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell (By similarity)			SZUA-1327_83:c(2386..2727)	Lipid-A-disaccharide synthase	K00748	K00748		K00748	K00748
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00508	K00960	[EC:2.7.7.6]	E2.7.7.6	DNA-directed RNA polymerase	05EV5@bactNOG,0GB02@delNOG,0I2M9@eproNOG,16TCX@proNOG,COG0612@NOG	processing protease			SZUA-1327_84:c(353..1588)	hypothetical protein	K00960			K00960	K07263
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00509	K01790	[EC:5.1.3.13]	rfbC, rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	080XF@bactNOG,17D4T@proNOG,COG1898@NOG	polysaccharide biosynthesis			SZUA-1327_84:1678..2082	hypothetical protein	K01790			K01790	K01790
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00510	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	08TES@bactNOG,COG0451@NOG	epimerase dehydratase			SZUA-1327_84:2072..3019	dTDP-glucose 4,6-dehydratase	K01784	K01784		K01784	K22025
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00511					0KT92@eurNOG,0WM8G@methaNOG,COG0463@NOG,arCOG01381@arNOG	glycosyl transferase family 2			SZUA-1327_84:3012..3914	Putative glycosyltransferase EpsE					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00512									SZUA-1327_85:c(391..771)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00513	K04068	[EC:1.97.1.4]	nrdG	anaerobic ribonucleoside-triphosphate reductase activating protein	08RDD@bactNOG,0FKB2@cyaNOG,COG0602@NOG	Activation of anaerobic ribonucleoside-triphosphate reductase under anaerobic conditions by generation of an organic free radical, using S-adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine (By similarity)			SZUA-1327_85:c(768..1265)	Anaerobic ribonucleoside-triphosphate reductase-activating protein	K04068	K04068		K04068	K10026
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00514									SZUA-1327_85:c(1262..1459)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00515									SZUA-1327_86:c(8..115)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00516	K09710		ybeB	ribosome-associated protein	083CZ@bactNOG,0GRW5@delNOG,0I4C7@eproNOG,16WYW@proNOG,COG0799@NOG	Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation (By similarity)			SZUA-1327_86:c(109..429)	Ribosomal silencing factor RsfS	K09710	K09710		K00969	K09710
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00517	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	05BZH@bactNOG,0GAZ3@delNOG,0I2K4@eproNOG,16PBB@proNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1327_86:c(439..2694)	Ribonucleoside-diphosphate reductase 1 subunit alpha	K00525	K00525		K00525	K00525
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00518	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	07QTF@bactNOG,0GAYK@delNOG,0I2UH@eproNOG,16PTV@proNOG,COG0015@NOG	adenylosuccinate lyase			SZUA-1327_86:c(2691..4034)	Adenylosuccinate lyase	K01756	K01756		K01756	K22004
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00519	K03183	[EC:2.1.1.163][EC:2.1.1.201]	ubiE	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	05DDZ@bactNOG,0GC79@delNOG,0I2JJ@eproNOG,16Q44@proNOG,COG2226@NOG	ubiquinone menaquinone biosynthesis methyltransferase			SZUA-1327_87:7..579	Demethylmenaquinone methyltransferase	K03183	K03183		K03183	K20081
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00520	K03106	[EC:3.6.5.4]	SRP54, ffh	signal recognition particle subunit SRP54	05CB9@bactNOG,0GAJ3@delNOG,0I2GM@eproNOG,16Q52@proNOG,COG0541@NOG	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY. Interaction with FtsY leads to the transfer of the RNC complex to the Sec translocase for insertion into the membrane, the hydrolysis of GTP by both Ffh and FtsY, and the dissociation of the SRP-FtsY complex into the individual components (By similarity)			SZUA-1327_87:582..1934	Signal recognition particle protein	K03106	K03106		K03106	K03106
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00521	K01082	[EC:3.1.3.7]	cysQ, MET22, BPNT1	3'(2'), 5'-bisphosphate nucleotidase	08RNI@bactNOG,0GBY8@delNOG,0I3CJ@eproNOG,17824@proNOG,COG1218@NOG	3(2),5-bisphosphate nucleotidase			SZUA-1327_87:1939..2514	3'(2'),5'-bisphosphate nucleotidase CysQ	K01082	K01082		K01082	K03677
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00522	K21603		ftcR	two-component system, OmpR family, flagellar system response regulator FtcR	08I0U@bactNOG,COG0745@NOG	response regulator			SZUA-1327_89:931..2100	Phosphoserine phosphatase RsbP	K21603				K21603
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00523	K02397		flgL	flagellar hook-associated protein 3 FlgL	07RP7@bactNOG,0GC83@delNOG,0I354@eproNOG,16V61@proNOG,COG1344@NOG	flagellar hook-associated protein			SZUA-1327_89:2103..3959	Flagellar hook-associated protein 3	K02397	K02397		K02397	K02406
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00524	K03978		engB	GTP-binding protein	05WHM@bactNOG,0GDVV@delNOG,0I3PN@eproNOG,16VJD@proNOG,COG0218@NOG	Necessary for normal cell division and for the maintenance of normal septation (By similarity)			SZUA-1327_89:3959..4537	putative GTP-binding protein EngB	K03978	K03978		K03978	K03978
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00525	K00990	[EC:2.7.7.59]	glnD	[protein-PII] uridylyltransferase	05E1P@bactNOG,0GAIU@delNOG,0I2QH@eproNOG,16PB4@proNOG,COG2844@NOG	Modifies, by uridylylation or deuridylylation the PII (GlnB) regulatory protein (By similarity)			SZUA-1327_89:c(4539..6938)	Bifunctional uridylyltransferase/uridylyl-removing enzyme	K00990	K00990		K00990	K00990
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00526	K01524	[EC:3.6.1.11][EC:3.6.1.40]	ppx-gppA	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	05C9X@bactNOG,0GBCT@delNOG,0I2ZQ@eproNOG,16PKI@proNOG,COG0248@NOG	guanosine pentaphosphate phosphohydrolase			SZUA-1327_89:c(6935..8419)	Exopolyphosphatase	K01524	K01524	K01524	K01524	K01524
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00527	K05337		fer	ferredoxin	05K5D@bactNOG,0GG3P@delNOG,0I44X@eproNOG,17FC9@proNOG,COG1145@NOG	Ferredoxin			SZUA-1327_89:c(8423..8674)	Ferredoxin	K05337			K05337	K16950
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00528	K02945		RP-S1, rpsA	small subunit ribosomal protein S1	05CAV@bactNOG,0GANJ@delNOG,0I2PP@eproNOG,16QAF@proNOG,COG0539@NOG	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence (By similarity)			SZUA-1327_90:136..1410	30S ribosomal protein S1	K02945	K02945		K02945	K02945
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00529									SZUA-1327_90:1418..1906	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00531					05DAW@bactNOG,0GBUC@delNOG,0I2QY@eproNOG,0XPR0@NOG,16QUS@proNOG	Paralysed flagella protein			SZUA-1327_91:c(775..2685)	Lipopolysaccharide assembly protein B					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00532	K03406		mcp	methyl-accepting chemotaxis protein	07R2Y@bactNOG,0GB4X@delNOG,0I55H@eproNOG,16UJ8@proNOG,COG0840@NOG	methyl-accepting chemotaxis protein			SZUA-1327_92:137..985	Methyl-accepting chemotaxis protein 1	K03406	K03406		K03406	K19691
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00533	K03149	[EC:2.8.1.10]	thiG	thiazole synthase	05CA8@bactNOG,0GB31@delNOG,0I2PI@eproNOG,16PUM@proNOG,COG2022@NOG	Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S (By similarity)			SZUA-1327_92:1026..1802	Thiazole synthase	K03149	K03149		K03149	K03149
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00534	K00123	[EC:1.17.1.9]	fdoG, fdhF, fdwA	formate dehydrogenase major subunit	08HIZ@bactNOG,COG3383@NOG	formate dehydrogenase alpha subunit			SZUA-1327_92:1807..3882	Formate dehydrogenase H	K00123	K00123		K00123	K05299
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00535	K17758	[EC:4.2.1.136]	nnr	ADP-dependent NAD(P)H-hydrate dehydratase	08ENG@bactNOG,0GSGG@delNOG,0I666@eproNOG,17125@proNOG,COG0062@NOG,COG0063@NOG	YjeF-related protein N-terminus			SZUA-1327_92:3875..5275	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	K17758		K17758	K17758	K17758
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00536	K01609	[EC:4.1.1.48]	trpC	indole-3-glycerol phosphate synthase	05DK0@bactNOG,0GARV@delNOG,0I34A@eproNOG,16RB3@proNOG,COG0134@NOG	Indole-3-glycerol phosphate synthase			SZUA-1327_92:c(5277..6092)	Indole-3-glycerol phosphate synthase	K01609	K01609	K01609	K01609	K13501
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00537	K00796	[EC:2.5.1.15]	folP	dihydropteroate synthase	05EEI@bactNOG,0GAR7@delNOG,0I2M5@eproNOG,16QUG@proNOG,COG0294@NOG	dihydropteroate synthase			SZUA-1327_92:c(6102..7259)	Bifunctional dihydropteroate synthase/dihydropteroate reductase	K00796	K00796		K00796	K18974
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00538					07EFT@bactNOG,0GDMQ@delNOG,0I3I3@eproNOG,11G34@NOG,17873@proNOG	Inherit from proNOG: protein containing tetratricopeptide repeat			SZUA-1327_92:c(7268..8596)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00539					077TZ@bactNOG,0Z2J2@NOG				SZUA-1327_92:c(8593..9738)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00540									SZUA-1327_93:891..1100	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00541	K01495	[EC:3.5.4.16]	GCH1, folE	GTP cyclohydrolase IA	05EUJ@bactNOG,0GBDW@delNOG,0I2MF@eproNOG,16QPW@proNOG,COG0302@NOG	GTP cyclohydrolase i			SZUA-1327_93:c(1109..1663)	GTP cyclohydrolase 1	K01495	K01495		K01495	K01495
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00542	K18696	[EC:3.1.4.46]	GDE1	glycerophosphodiester phosphodiesterase	07ESP@bactNOG,18C6X@proNOG,COG0666@NOG	Ankyrin repeat			SZUA-1327_93:c(1663..2124)	hypothetical protein	K18696				K18696
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00543	K04773	[EC:3.4.21.-]	sppA	protease IV	05D07@bactNOG,0GC5B@delNOG,0I3DX@eproNOG,16QK0@proNOG,COG0616@NOG	Protease IV			SZUA-1327_93:c(2153..2998)	Putative signal peptide peptidase SppA	K04773	K04773		K04773	K04774
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00544	K00616	[EC:2.2.1.2]	E2.2.1.2, talA, talB	transaldolase	07V25@bactNOG,0GB3Y@delNOG,0I2VK@eproNOG,16URJ@proNOG,COG0176@NOG	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity)			SZUA-1327_93:c(2998..3936)	Transaldolase	K00616	K00616		K00616	K08314
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00545	K00765	[EC:2.4.2.17]	hisG	ATP phosphoribosyltransferase	05E21@bactNOG,0GAV0@delNOG,0I2ZM@eproNOG,16R8Y@proNOG,COG0040@NOG	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)			SZUA-1327_93:4006..4620	ATP phosphoribosyltransferase	K00765	K00765		K00765	K00765
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00546	K03117		tatB	sec-independent protein translocase protein TatB	084AD@bactNOG,0GGXQ@delNOG,0I4DX@eproNOG,16X72@proNOG,COG1826@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation (By similarity)			SZUA-1327_93:4613..4987	Sec-independent protein translocase protein TatB	K03117	K03117		K03117	K03425
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00547	K03118		tatC	sec-independent protein translocase protein TatC	05DCX@bactNOG,0GBQA@delNOG,0I2JD@eproNOG,16Q1Y@proNOG,COG0805@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides (By similarity)			SZUA-1327_93:4980..5726	Sec-independent protein translocase protein TatC	K03118	K03118	K03118	K03118	K03118
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00548									SZUA-1327_93:5726..7276	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00549	K03274	[EC:5.1.3.20]	gmhD, rfaD	ADP-L-glycero-D-manno-heptose 6-epimerase	05CUI@bactNOG,0GBHZ@delNOG,0I2UY@eproNOG,16QY8@proNOG,COG0451@NOG	Catalyzes the interconversion between ADP-D-glycero- beta-D-manno-heptose and ADP-L-glycero-beta-D-manno-heptose via an epimerization at carbon 6 of the heptose (By similarity)			SZUA-1327_94:1001..1993	ADP-L-glycero-D-manno-heptose-6-epimerase	K03274	K03274	K03274	K01784	K22025
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00550	K19430	[EC:2.6.1.-]	epsN	pyridoxal phosphate-dependent aminotransferase EpsN	05CF4@bactNOG,0GB06@delNOG,0I38W@eproNOG,16QUR@proNOG,COG0399@NOG	DegT DnrJ EryC1 StrS aminotransferase			SZUA-1327_94:1983..3095	UDP-N-acetylbacillosamine transaminase	K19430		K19430	K13010	K21337
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00551	K01924	[EC:6.3.2.8]	murC	UDP-N-acetylmuramate--alanine ligase	05DFU@bactNOG,0GBS1@delNOG,0I2Q6@eproNOG,16PEH@proNOG,COG0773@NOG	Cell wall formation (By similarity)			SZUA-1327_95:42..812	UDP-N-acetylmuramate--L-alanine ligase	K01924	K01924		K01921	K02558
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00552	K02406		fliC	flagellin	05I03@bactNOG,0GBVA@delNOG,0I2TT@eproNOG,16PW1@proNOG,COG1344@NOG	flagellin			SZUA-1327_95:c(816..2384)	Flagellin A	K02406	K02406	K02406	K02406	K02406
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00554	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase	05C0C@bactNOG,0GBWU@delNOG,0I2G3@eproNOG,16PC5@proNOG,COG0473@NOG	Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate (By similarity)			SZUA-1327_95:c(3001..4080)	3-isopropylmalate dehydrogenase	K00052	K00052		K00052	K17753
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00555	K01704	[EC:4.2.1.33][EC:4.2.1.35]	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit	05MQS@bactNOG,0GDW6@delNOG,0I3JA@eproNOG,16QQT@proNOG,COG0066@NOG	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate (By similarity)			SZUA-1327_95:c(4073..4570)	2,3-dimethylmalate dehydratase small subunit	K01704	K01704		K01704	K20453
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00556					08QGE@bactNOG,0GDM9@delNOG,0I3Q8@eproNOG,11JKM@NOG,17BJ8@proNOG				SZUA-1327_95:c(4611..5828)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00558	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05CM2@bactNOG,0GBA3@delNOG,0I2T3@eproNOG,16QQU@proNOG,COG0115@NOG	branched-chain amino acid aminotransferase			SZUA-1327_95:6034..6948	Branched-chain-amino-acid aminotransferase	K00826	K00826		K00826	K03342
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00559	K17081		PHB2	prohibitin 2	07T8E@bactNOG,0GBHP@delNOG,0I2Z2@eproNOG,16VBA@proNOG,COG0330@NOG	SPFH domain, Band 7 family protein			SZUA-1327_95:6958..8016	hypothetical protein	K17081				K17081
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00560	K02221		yggT	YggT family protein	082BX@bactNOG,0GGX1@delNOG,0I4AZ@eproNOG,16WPP@proNOG,COG0762@NOG	yggt family			SZUA-1327_95:c(8055..8357)	hypothetical protein	K02221	K02221		K02221	K02221
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00561	K01876	[EC:6.1.1.12]	aspS	aspartyl-tRNA synthetase	05C9M@bactNOG,0GBAA@delNOG,0I332@eproNOG,16PIS@proNOG,COG0173@NOG	Aspartyl-tRNA synthetase			SZUA-1327_95:8427..10184	Aspartate--tRNA(Asp/Asn) ligase	K01876	K01876	K01876	K01876	K01876
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00562	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	001YX@acidNOG,005W7@aciNOG,05CJ1@bactNOG,COG1131@NOG	ABC transporter			SZUA-1327_96:c(999..1583)	putative ABC transporter ATP-binding protein YxlF	K01990			K01990	K21397
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00563									SZUA-1327_96:c(1587..1826)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00564	K03324		yjbB	phosphate:Na+ symporter	05EAM@bactNOG,0GC5X@delNOG,0I318@eproNOG,16QIJ@proNOG,COG1283@NOG	Phosphate Na symporter			SZUA-1327_96:c(1816..2694)	hypothetical protein	K03324	K03324		K03324	K14683
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00565									SZUA-1327_97:18..1031	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00566					0KUJD@eurNOG,0WSHZ@metNOG,11WU7@NOG,arCOG02555@arNOG,arCOG03260@arNOG,arCOG09729@arNOG	Inherit from eurNOG: polymorphic outer membrane protein			SZUA-1327_97:1042..4017	putative outer membrane protein pmp6					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00567									SZUA-1327_97:4018..4557	hypothetical protein					
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00568	K01507	[EC:3.6.1.1]	ppa	inorganic pyrophosphatase	05F0N@bactNOG,0GDF7@delNOG,0I326@eproNOG,16R80@proNOG,COG0221@NOG	Pyrophosphate phospho-hydrolase			SZUA-1327_97:c(4900..5418)	Inorganic pyrophosphatase	K01507	K01507	K01507	K01507	K01507
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00569	K03558		cvpA	membrane protein required for colicin V production	0833R@bactNOG,0GFHS@delNOG,0I43R@eproNOG,17H62@proNOG,COG1286@NOG	colicin v production protein			SZUA-1327_98:c(285..920)	hypothetical protein	K03558			K03558	K03558
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00570	K03924	[EC:3.6.3.-]	moxR	MoxR-like ATPase	05C7R@bactNOG,0GBK1@delNOG,0I368@eproNOG,16PJX@proNOG,COG0714@NOG	ATPase associated with various cellular activities, AAA_3			SZUA-1327_98:c(968..1915)	hypothetical protein	K03924	K03924		K03924	K09882
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00571	K02393		flgH	flagellar L-ring protein precursor FlgH	07W7W@bactNOG,0GETU@delNOG,0I3IN@eproNOG,16SK3@proNOG,COG2063@NOG	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity)			SZUA-1327_98:c(1954..2442)	Flagellar L-ring protein	K02393	K02393		K02393	K02393
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00572	K21478	[EC:3.5.1.-]	icaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	07WNK@bactNOG,0GANB@delNOG,0I2K2@eproNOG,16UJM@proNOG,COG0726@NOG	polysaccharide deacetylase			SZUA-1327_99:c(324..1262)	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	K21478				K21478
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00573	K03075		secG	preprotein translocase subunit SecG	05NU9@bactNOG,0GFVQ@delNOG,0I45B@eproNOG,17HEN@proNOG,COG1314@NOG	Preprotein translocase subunit SecG			SZUA-1327_99:c(1266..1559)	putative protein-export membrane protein SecG	K03075	K03075	K03075	K03075	K03075
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00574	K04075	[EC:6.3.4.19]	tilS, mesJ	tRNA(Ile)-lysidine synthase	05D3U@bactNOG,0GDD5@delNOG,0I3IC@eproNOG,16QGD@proNOG,COG0037@NOG	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)			SZUA-1327_99:1672..2616	tRNA(Ile)-lysidine synthase	K04075	K04075		K00760	K21947
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00575	K03406		mcp	methyl-accepting chemotaxis protein	07VAK@bactNOG,0GC29@delNOG,0I34D@eproNOG,16TU8@proNOG,COG0840@NOG	methyl-accepting chemotaxis			SZUA-1327_100:c(1553..3532)	Methyl-accepting chemotaxis protein McpP	K03406			K03406	K19691
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00576	K15897	[EC:3.6.1.57]	pseG	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase	07Y2N@bactNOG,0GHIJ@delNOG,0HJFD@dproNOG,178Q9@proNOG,COG3980@NOG	Cytidine 5'monophosphate N-acetylneuraminic acid synthetase			SZUA-1327_101:180..1112	hypothetical protein	K15897				K15897
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00577	K07257		spsF	spore coat polysaccharide biosynthesis protein SpsF	07TY6@bactNOG,0GGE6@delNOG,0HHAC@dproNOG,17948@proNOG,COG1861@NOG	Acylneuraminate cytidylyltransferase			SZUA-1327_101:1109..1798	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase	K07257	K07257		K07257	K07257
Campylobacterales_bacterium_SZUA-1327|SZUA-1327_00578	K01654	[EC:2.5.1.56]	E2.5.1.56, neuB	N-acetylneuraminate synthase	05D2T@bactNOG,COG2089@NOG	synthase			SZUA-1327_101:1795..2853	N,N'-diacetyllegionaminic acid synthase	K01654			K01654	K21279
