#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00001					05PN5@bactNOG,0FMVY@cyaNOG,11YV8@NOG	Aldolase_II			SZUA-1433_1:82..522	Methylthioribulose-1-phosphate dehydratase					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00978					05FUD@bactNOG,0GF5E@delNOG,0I401@eproNOG,11RAZ@NOG,17E48@proNOG				SZUA-1433_176:1046..1531	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00979	K01611	[EC:4.1.1.50]	speD, AMD1	S-adenosylmethionine decarboxylase	05X3E@bactNOG,0GFJR@delNOG,0I5JG@eproNOG,17M29@proNOG,COG1586@NOG	S-adenosylmethionine decarboxylase			SZUA-1433_176:1528..1878	S-adenosylmethionine decarboxylase proenzyme	K01611	K01611		K00797	K01611
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00980	K06287		maf	septum formation protein	07YJQ@bactNOG,0GRU1@delNOG,0I3X6@eproNOG,16VXQ@proNOG,COG0424@NOG	MAF-like protein			SZUA-1433_176:1875..2417	Maf-like protein YhdE	K06287	K06287		K06287	K06287
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00981	K00116	[EC:1.1.5.4]	mqo	malate dehydrogenase (quinone)	07RSR@bactNOG,0GC0N@delNOG,0I2TR@eproNOG,16V7Z@proNOG,COG0579@NOG	Malate quinone oxidoreductase			SZUA-1433_177:284..1657	Malate:quinone oxidoreductase	K00116	K00116		K00116	K15736
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00982	K03286		TC.OOP	OmpA-OmpF porin, OOP family	05CDV@bactNOG,09A26@bctoNOG,0P7TF@flaNOG,COG2885@NOG	OmpA MotB			SZUA-1433_178:198..656	Peptidoglycan-binding protein ArfA	K03286			K03286	K21218
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00983	K01687	[EC:4.2.1.9]	ilvD	dihydroxy-acid dehydratase	05C01@bactNOG,0GBAG@delNOG,0I2U6@eproNOG,16PQJ@proNOG,COG0129@NOG	Dihydroxy-acid dehydratase			SZUA-1433_178:c(693..2384)	Dihydroxy-acid dehydratase	K01687	K01687		K01687	K13875
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00984					05C60@bactNOG,0QHT9@gproNOG,16PD0@proNOG,COG3943@NOG	DNA-binding protein			SZUA-1433_178:c(2538..2819)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00985	K00641	[EC:2.3.1.31]	metX	homoserine O-acetyltransferase	05DWV@bactNOG,0GB2J@delNOG,0I2YU@eproNOG,16PN6@proNOG,COG2021@NOG	homoserine o-acetyltransferase (EC 2.3.1.31)			SZUA-1433_179:105..395	Homoserine O-acetyltransferase	K00641	K00641		K00641	K19726
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00986	K03602	[EC:3.1.11.6]	xseB	exodeoxyribonuclease VII small subunit	06G0B@bactNOG,0GIKV@delNOG,0I4KF@eproNOG,0Y1HG@NOG,17RQ6@proNOG	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides (By similarity)			SZUA-1433_179:426..638	Exodeoxyribonuclease 7 small subunit	K03602			K03602	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00987	K01501	[EC:3.5.5.1]	E3.5.5.1	nitrilase	08QRP@bactNOG,0GAIH@delNOG,0I3G5@eproNOG,174MD@proNOG,COG0388@NOG	hydrolase, carbon-nitrogen family			SZUA-1433_179:635..1432	hypothetical protein	K01501			K01501	K20806
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00988									SZUA-1433_180:27..233	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00989					06DA0@bactNOG,0GINJ@delNOG,0I4P6@eproNOG,0Y2Q4@NOG,17U5C@proNOG	transformation system protein			SZUA-1433_180:223..882	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00990	K02243		comGA	competence protein ComGA	07QHF@bactNOG,0GBIF@delNOG,0I3EK@eproNOG,16Q1A@proNOG,COG2804@NOG	type II secretion system protein E			SZUA-1433_180:950..1231	hypothetical protein	K02243			K02243	K12276
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00991	K02243		comGA	competence protein ComGA	07QHF@bactNOG,0GBIF@delNOG,0I3EK@eproNOG,16Q1A@proNOG,COG2804@NOG	type II secretion system protein E			SZUA-1433_180:1218..2270	putative type II secretion system protein HxcR	K02243			K02243	K12276
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00992	K03671		trxA	thioredoxin 1	05NGQ@bactNOG,COG0526@NOG	Thioredoxin			SZUA-1433_181:c(476..859)	Thioredoxin	K03671	K03671		K01829	K13996
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00993									SZUA-1433_182:c(398..1267)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00994	K07277		SAM50, TOB55, bamA	outer membrane protein insertion porin family	05E1Z@bactNOG,0GB9B@delNOG,0I349@eproNOG,16QB0@proNOG,COG4775@NOG	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane (By similarity)			SZUA-1433_182:c(1524..3752)	Outer membrane protein assembly factor BamA	K07277	K07277	K07277	K07277	K07277
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00995	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	05EVN@bactNOG,0GBGB@delNOG,0I2VN@eproNOG,16SIV@proNOG,COG0287@NOG	prephenate dehydrogenase			SZUA-1433_182:3862..4689	Cyclohexadienyl dehydrogenase	K04517	K04517		K00210	K15226
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00996	K13924	[EC:2.1.1.80][EC:3.1.1.61]	cheBR	two-component system, chemotaxis family, CheB/CheR fusion protein	05BZU@bactNOG,0B797@bproNOG,0XNMH@NOG,16PBJ@proNOG	Diguanylate cyclase phosphodiesterase with PAS PAC			SZUA-1433_182:c(4686..5558)	putative signaling protein	K13924			K13924	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00997					02H7N@arcNOG,0KTQA@eurNOG,COG0438@NOG,arCOG06114@arNOG	Glycosyl transferases group 1			SZUA-1433_183:c(867..1895)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00998					06NB4@bactNOG,0YDSQ@NOG,17Z8V@proNOG	TPR			SZUA-1433_184:c(203..1480)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_00999									SZUA-1433_185:c(436..552)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01000					07XXY@bactNOG,0GDR2@delNOG,0I3JX@eproNOG,0ZW7S@NOG,178HE@proNOG	WD domain, G-beta repeat			SZUA-1433_186:121..699	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01001	K02614	[EC:3.1.2.-]	paaI	acyl-CoA thioesterase	02FU3@aquNOG,05KH8@bactNOG,COG2050@NOG	Thioesterase superfamily protein			SZUA-1433_186:c(810..1193)	Transcription factor FapR	K02614			K02614	K19222
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01002					07CA8@bactNOG,0GQVJ@delNOG,0I5WZ@eproNOG,0ZGY0@NOG,186A3@proNOG				SZUA-1433_186:1234..1455	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01003					062DX@bactNOG,0GHEW@delNOG,0I4HT@eproNOG,12BKA@NOG,17Q9W@proNOG	Inherit from delNOG: DNA gyrase subunit B			SZUA-1433_186:c(1952..2488)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01004					06AFH@bactNOG,0GISP@delNOG,0I4PZ@eproNOG,0XUKW@NOG,17TC3@proNOG	integral membrane protein			SZUA-1433_186:c(2488..3018)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01005	K11755	[EC:3.6.1.31][EC:3.5.4.19]	hisIE	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase	05K8F@bactNOG,0GBPI@delNOG,0I367@eproNOG,16SFP@proNOG,COG0139@NOG,COG0140@NOG	phosphoribosyl-amp cyclohydrolase			SZUA-1433_186:c(2987..3706)	Phosphoribosyl-ATP pyrophosphatase	K11755	K11755		K01496	K14152
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01006	K17081		PHB2	prohibitin 2	07T8E@bactNOG,0GBHP@delNOG,0I2Z2@eproNOG,16VBA@proNOG,COG0330@NOG	SPFH domain, Band 7 family protein			SZUA-1433_186:c(3706..4809)	hypothetical protein	K17081				K17081
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01007	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05CM2@bactNOG,0GBA3@delNOG,0I2T3@eproNOG,16QQU@proNOG,COG0115@NOG	branched-chain amino acid aminotransferase			SZUA-1433_186:c(4893..5813)	Branched-chain-amino-acid aminotransferase	K00826	K00826		K00826	K03342
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01008	K00558	[EC:2.1.1.37]	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1	05DVF@bactNOG,09C24@bctoNOG,COG0270@NOG	Cytosine-specific methyltransferase			SZUA-1433_186:6138..6383	Modification methylase HhaI	K00558	K00558		K00558	K00558
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01009	K00558	[EC:2.1.1.37]	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1	05DVF@bactNOG,09C24@bctoNOG,COG0270@NOG	Cytosine-specific methyltransferase			SZUA-1433_186:6421..6588	Modification methylase BanI	K00558	K00558		K00558	K00558
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01010									SZUA-1433_186:6707..7321	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01011	K21454		tcaR	MarR family transcriptional regulator, teicoplanin-associated locus regulator	057KA@bacteNOG,05Z93@bactNOG,09GNY@bctoNOG,COG1846@NOG	Transcriptional regulator			SZUA-1433_186:7322..7600	hypothetical protein	K21454				K21454
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01012									SZUA-1433_186:7601..7921	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01013					08M1M@bactNOG,0GD9K@delNOG,0I588@eproNOG,0XQME@NOG,16TGW@proNOG	Inherit from proNOG: outer membrane lipoprotein-sorting protein			SZUA-1433_186:7934..8686	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01014					089ST@bactNOG,0GNGR@delNOG,0I5IF@eproNOG,100WF@NOG,16YU7@proNOG				SZUA-1433_186:8683..9846	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01015	K07003		K07003	uncharacterized protein	07SPK@bactNOG,0GBTE@delNOG,0I380@eproNOG,16SM7@proNOG,COG1033@NOG	integral membrane protein			SZUA-1433_186:9856..12150	Siderophore exporter MmpL5	K07003	K07003		K07003	K20470
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01016	K07109		K07109	uncharacterized protein	08UUE@bactNOG,0GIGC@delNOG,0I4QU@eproNOG,17AVD@proNOG,COG3054@NOG	Bacterial protein of unknown function (YtfJ_HI0045)			SZUA-1433_186:12162..12674	putative protein YtfJ	K07109			K07109	K07109
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01017	K07190		PHKA_B	phosphorylase kinase alpha/beta subunit	05DE8@bactNOG,0QK24@gproNOG,0XPJZ@NOG,16QY6@proNOG	phosphorylase kinase alphabeta			SZUA-1433_187:150..3242	hypothetical protein	K07190	K07190	K07190	K07190	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01018	K01897	[EC:6.2.1.3]	ACSL, fadD	long-chain acyl-CoA synthetase	014RE@actNOG,08IQE@bactNOG,COG1022@NOG	Amp-dependent synthetase and ligase			SZUA-1433_187:c(3254..3592)	Long-chain-fatty-acid--CoA ligase FadD15	K01897	K01897		K01897	K01897
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01019	K01897	[EC:6.2.1.3]	ACSL, fadD	long-chain acyl-CoA synthetase	08IQE@bactNOG,0RAT3@gproNOG,172WK@proNOG,COG1022@NOG	Amp-dependent synthetase and ligase			SZUA-1433_187:c(3535..3954)	Bifunctional protein Aas	K01897	K01897		K01897	K01897
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01020					075K8@bactNOG,0Z5JE@NOG				SZUA-1433_187:4213..4452	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01021	K06218		relE, stbE	mRNA interferase RelE/StbE	0XUXM@NOG	Plasmid stabilization system			SZUA-1433_187:4445..4714	hypothetical protein	K06218	K06218		K06218	
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01022	K07461		K07461	putative endonuclease	082IR@bactNOG,0GGWA@delNOG,0I4GH@eproNOG,17JTN@proNOG,COG2827@NOG	Excinuclease ABC C subunit domain protein			SZUA-1433_187:4701..4961	hypothetical protein	K07461	K07461	K07461	K07461	K07461
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01023	K04564	[EC:1.15.1.1]	SOD2	superoxide dismutase, Fe-Mn family	05CK4@bactNOG,0GAPV@delNOG,0I376@eproNOG,16RJ5@proNOG,COG0605@NOG	Destroys radicals which are normally produced within the cells and which are toxic to biological systems (By similarity)			SZUA-1433_187:c(5008..5652)	Superoxide dismutase [Fe]	K04564	K04564		K04564	K04564
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01024									SZUA-1433_188:76..282	Cyclic di-GMP phosphodiesterase PdeR					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01025					08XWQ@bactNOG,0GR9I@delNOG,0I5B7@eproNOG,1722R@proNOG,COG4636@NOG	Pfam:DUF820			SZUA-1433_188:606..1154	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01026	K01719	[EC:4.2.1.75]	hemD, UROS	uroporphyrinogen-III synthase	05M76@bactNOG,0GFQH@delNOG,0I46F@eproNOG,17FWY@proNOG,COG1587@NOG	Uroporphyrinogen-III synthase			SZUA-1433_188:c(1398..2054)	hypothetical protein	K01719	K01719		K01719	K13543
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01027	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,0GAVH@delNOG,0I34I@eproNOG,16PME@proNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1433_188:c(2045..3589)	GMP synthase [glutamine-hydrolyzing]	K01951	K01951	K01951	K01951	K01951
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01028	K03893		arsB	arsenical pump membrane protein	05DN9@bactNOG,0GB6I@delNOG,0I32R@eproNOG,16R7M@proNOG,COG1055@NOG	antiporter, nhad family			SZUA-1433_188:c(3606..4265)	Na(+)/H(+) antiporter NhaD	K03893				K03893
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01029	K06941	[EC:2.1.1.192]	rlmN	23S rRNA (adenine2503-C2)-methyltransferase	05C55@bactNOG,0GAWC@delNOG,0I36F@eproNOG,16PVK@proNOG,COG0820@NOG	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs. m2A2503 modification seems to play a crucial role in the proofreading step occurring at the peptidyl transferase center and thus would serve to optimize ribosomal fidelity (By similarity)			SZUA-1433_189:133..948	putative dual-specificity RNA methyltransferase RlmN	K06941	K06941		K06941	K06941
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01030									SZUA-1433_189:935..1033	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01031	K06180	[EC:5.4.99.23]	rluD	23S rRNA pseudouridine1911/1915/1917 synthase	05EI2@bactNOG,0GBF6@delNOG,0I36T@eproNOG,16PU1@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1433_189:c(1005..1835)	putative RNA pseudouridine synthase	K06180	K06180		K06177	K15454
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01032	K01756	[EC:4.3.2.2]	purB, ADSL	adenylosuccinate lyase	07QTF@bactNOG,0GAYK@delNOG,0I2UH@eproNOG,16PTV@proNOG,COG0015@NOG	adenylosuccinate lyase			SZUA-1433_189:2039..3364	Adenylosuccinate lyase	K01756	K01756	K01756	K01756	K22004
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01033	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	05BZH@bactNOG,0GAZ3@delNOG,0I2K4@eproNOG,16PBB@proNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1433_189:3380..5749	Ribonucleoside-diphosphate reductase 1 subunit alpha	K00525	K00525	K00525	K00525	K00525
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01034	K01945	[EC:6.3.4.13]	purD	phosphoribosylamine---glycine ligase	05C12@bactNOG,0GAP8@delNOG,0I2P2@eproNOG,16PVE@proNOG,COG0151@NOG	Phosphoribosylglycinamide synthetase			SZUA-1433_190:175..1443	Phosphoribosylamine--glycine ligase	K01945	K01945	K01945	K01945	K13713
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01035					05Y76@bactNOG,0GHCU@delNOG,0I4IX@eproNOG,17KDE@proNOG,COG1714@NOG	RDD protein			SZUA-1433_190:1440..1892	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01036	K04744		lptD, imp, ostA	LPS-assembly protein	07R01@bactNOG,0GBCA@delNOG,0I325@eproNOG,16UVG@proNOG,COG1452@NOG	organic solvent tolerance protein			SZUA-1433_190:1885..3966	LPS-assembly protein LptD	K04744	K04744		K04744	K04744
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01037	K02067		mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	07PE3@bactNOG,0GEJH@delNOG,0I35U@eproNOG,177TN@proNOG,COG1463@NOG	mce related protein			SZUA-1433_190:3963..5399	hypothetical protein	K02067	K02067		K02067	K02067
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01038					064KS@bactNOG,0GI7K@delNOG,0I4C4@eproNOG,0Y0D7@NOG,17R2J@proNOG	Heat shock protein			SZUA-1433_190:5396..5668	Chaperone protein DnaJ					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01039	K07100		K07100	putative phosphoribosyl transferase	08266@bactNOG,0GSQN@delNOG,0I686@eproNOG,171XF@proNOG,COG1926@NOG	Phosphoribosyl transferase domain			SZUA-1433_190:5646..6341	hypothetical protein	K07100	K07100		K07100	K07100
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01040	K00962	[EC:2.7.7.8]	pnp, PNPT1	polyribonucleotide nucleotidyltransferase	05C62@bactNOG,0GAKX@delNOG,0I30Y@eproNOG,16PVS@proNOG,COG1185@NOG	Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3'- to 5'-direction (By similarity)			SZUA-1433_190:6343..8541	Polyribonucleotide nucleotidyltransferase	K00962	K00962		K00962	K00962
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01041					00CR2@actNOG,07SEH@bactNOG,0XVSZ@NOG	fatty acid desaturase			SZUA-1433_190:8569..9534	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01042									SZUA-1433_190:9588..9926	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01043	K13747	[EC:4.1.1.96]	nspC	carboxynorspermidine decarboxylase	05D3D@bactNOG,0GBF0@delNOG,0I2YH@eproNOG,16SZV@proNOG,COG0019@NOG	Catalyzes the decarboxylation of carboxynorspermidine and carboxyspermidine (By similarity)			SZUA-1433_191:42..1043	Carboxynorspermidine/carboxyspermidine decarboxylase	K13747	K13747		K13747	K13747
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01044									SZUA-1433_191:c(1044..1319)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01045	K21377	[EC:2.1.1.302]	aziB2	3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase	08UVN@bactNOG,0GHE4@delNOG,0I4EW@eproNOG,17JF3@proNOG,COG0500@NOG	tellurite resistance protein TehB			SZUA-1433_191:1389..1940	hypothetical protein	K21377				K21377
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01046	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	08IQ2@bactNOG,0GSZ1@delNOG,0I6AU@eproNOG,172W1@proNOG,COG1131@NOG	abc transporter atp-binding protein			SZUA-1433_192:c(269..907)	ABC transporter ATP-binding protein NatA	K01990	K01990		K01990	K21397
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01047	K02574		napH	ferredoxin-type protein NapH	05GXZ@bactNOG,0GBRB@delNOG,0I2XT@eproNOG,16VNE@proNOG,COG0348@NOG	Ferredoxin-type protein, NapH MauN family			SZUA-1433_192:c(904..1776)	Ferredoxin-type protein NapH	K02574	K02574		K02574	K21559
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01048					05ZAI@bactNOG,0GBJA@delNOG,0I34T@eproNOG,0XPKE@NOG,16QQQ@proNOG				SZUA-1433_193:135..1772	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01049	K00428	[EC:1.11.1.5]	E1.11.1.5	cytochrome c peroxidase	05CA0@bactNOG,0QPG5@gproNOG,16PNN@proNOG,COG1858@NOG	cytochrome C peroxidase			SZUA-1433_193:1772..3217	Methylamine utilization protein MauG	K00428			K00428	K20933
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01050	K03269	[EC:3.6.1.54]	lpxH	UDP-2,3-diacylglucosamine hydrolase	05E9D@bactNOG,0GCCU@delNOG,16RWP@proNOG,COG2908@NOG	Metallophosphoesterase			SZUA-1433_193:3278..4027	UDP-2,3-diacylglucosamine hydrolase	K03269				K03269
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01051	K21586	[EC:2.4.1.343]	wclR	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol alpha-1,3-galactosyltransferase	05BZF@bactNOG,0GBHI@delNOG,0I4Q5@eproNOG,16PB7@proNOG,COG0438@NOG	Glycosyl transferases group 1			SZUA-1433_193:c(4017..5171)	GDP-mannose-dependent alpha-mannosyltransferase	K21586				K21586
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01052									SZUA-1433_193:c(5171..5332)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01053	K01126	[EC:3.1.4.46]	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase	07RGZ@bactNOG,0QK4I@gproNOG,16UJ0@proNOG,COG0584@NOG	glycerophosphoryl diester phosphodiesterase			SZUA-1433_193:5578..6861	Glycerophosphodiester phosphodiesterase	K01126	K01126		K01126	K18696
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01054									SZUA-1433_193:c(6916..7167)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01055									SZUA-1433_193:7369..7599	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01056									SZUA-1433_193:7596..7883	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01057	K07657		phoB	two-component system, OmpR family, phosphate regulon response regulator PhoB	05DPZ@bactNOG,0GDB2@delNOG,0I3BR@eproNOG,16PT0@proNOG,COG0745@NOG	regulator			SZUA-1433_193:7962..8648	Phosphate regulon transcriptional regulatory protein PhoB	K07657			K07657	K21603
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01058	K02440		GLPF	glycerol uptake facilitator protein	05D8C@bactNOG,0GCVI@delNOG,0I4ME@eproNOG,16QS1@proNOG,COG0580@NOG	Channel that permits osmotically driven movement of water in both directions. It is involved in the osmoregulation and in the maintenance of cell turgor during volume expansion in rapidly growing cells. It mediates rapid entry or exit of water in response to abrupt changes in osmolarity (By similarity)			SZUA-1433_193:c(8645..9331)	Aquaporin Z 2	K02440			K02440	K06188
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01059	K02040		pstS	phosphate transport system substrate-binding protein	07QMV@bactNOG,0GC36@delNOG,0I32N@eproNOG,16PIA@proNOG,COG0226@NOG	Part of the ABC transporter complex PstSACB involved in phosphate import (By similarity)			SZUA-1433_193:c(9343..10341)	Phosphate-binding protein PstS	K02040	K02040		K02040	K02040
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01060					01U0E@aproNOG,08R1R@bactNOG,177Q8@proNOG,COG2979@NOG	Protein of unknown function (DUF533)			SZUA-1433_193:c(10471..11358)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01061	K01873	[EC:6.1.1.9]	VARS, valS	valyl-tRNA synthetase	05CA4@bactNOG,0GAQ4@delNOG,0I2XR@eproNOG,16QSF@proNOG,COG0525@NOG	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)			SZUA-1433_193:11539..14166	Valine--tRNA ligase	K01873	K01873	K01873	K01873	K01873
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01062	K21224		kedN5	radical SAM C-methyltransferase	05EQ8@bactNOG,0GBBQ@delNOG,0I4Z0@eproNOG,16QIS@proNOG,COG1032@NOG	radical SAM domain protein			SZUA-1433_193:c(14169..14561)	hypothetical protein	K21224				K21224
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01063					02GHT@aquNOG,0614E@bactNOG,129JM@NOG				SZUA-1433_194:122..703	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01064	K03980		murJ, mviN	putative peptidoglycan lipid II flippase	05CJR@bactNOG,0GAPM@delNOG,0I2RS@eproNOG,16PF6@proNOG,COG0728@NOG	Integral membrane protein (MviN			SZUA-1433_194:c(1270..2670)	Lipid II flippase MurJ	K03980	K03980	K03980	K03980	K21004
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01065					08XYP@bactNOG,0GE53@delNOG,0I3TN@eproNOG,11MYS@NOG,17C14@proNOG				SZUA-1433_194:2763..3983	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01066	K03406		mcp	methyl-accepting chemotaxis protein	07VAK@bactNOG,0GC29@delNOG,0I34D@eproNOG,16TU8@proNOG,COG0840@NOG	methyl-accepting chemotaxis			SZUA-1433_194:3980..4984	Nitrate regulatory protein	K03406			K03406	K19691
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01067					084DX@bactNOG,0GRXQ@delNOG,0I4C2@eproNOG,17K9U@proNOG,COG1664@NOG	Pfam:DUF583			SZUA-1433_194:c(4989..5642)	hypothetical protein					
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01068	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	05DR5@bactNOG,COG0739@NOG	peptidase			SZUA-1433_194:c(5629..6606)	Murein DD-endopeptidase MepM	K21472				K21472
Campylobacterales_bacterium_SZUA-1433|SZUA-1433_01069					08N0T@bactNOG,0GC7B@delNOG,0I2T0@eproNOG,0ZQH2@NOG,175KS@proNOG	Protein of unknown function (DUF342)			SZUA-1433_194:6788..8665	hypothetical protein					
