#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1058|SZUA-1058_00001	K05592	[EC:3.6.4.13]	deaD, cshA	ATP-dependent RNA helicase DeaD	05C1J@bactNOG,0QI2F@gproNOG,16PDE@proNOG,COG0513@NOG	ATP-dependent RNA helicase			SZUA-1058_1:54..1805	ATP-dependent RNA helicase DeaD	K05592	K05592	K05592	K05592	K18692
Candidatus_sp_SZUA-1058|SZUA-1058_00380									SZUA-1058_135:270..524	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00381					07V6F@bactNOG,0QUDN@gproNOG,0ZW1I@NOG,16WXH@proNOG	Dicarboxylate transport			SZUA-1058_135:c(648..2024)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00382									SZUA-1058_135:c(2114..2413)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00383					0689M@bactNOG,0D14V@chlNOG,0XVQC@NOG	Inherit from bactNOG: (LipO)protein			SZUA-1058_135:c(2435..2635)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00384	K00302	[EC:1.5.3.1]	soxA	sarcosine oxidase, subunit alpha	05D43@bactNOG,0QIB5@gproNOG,16PGP@proNOG,COG0404@NOG	sarcosine oxidase (alpha subunit)			SZUA-1058_136:4..1221	Sarcosine oxidase subunit alpha	K00302	K00302		K00302	K15066
Candidatus_sp_SZUA-1058|SZUA-1058_00385	K00305	[EC:1.5.3.1]	soxG	sarcosine oxidase, subunit gamma	08YCB@bactNOG,0QR3G@gproNOG,17BYD@proNOG,COG4583@NOG	Sarcosine oxidase, gamma subunit			SZUA-1058_136:1208..1801	hypothetical protein	K00305	K00305		K00305	K00305
Candidatus_sp_SZUA-1058|SZUA-1058_00386	K21196	[EC:1.13.11.78]	phnZ	2-amino-1-hydroxyethylphosphonate dioxygenase (glycine-forming)	08SPP@bactNOG,0QQ51@gproNOG,1787X@proNOG,COG4341@NOG	Phosphohydrolase			SZUA-1058_136:1828..2415	hypothetical protein	K21196				K21196
Candidatus_sp_SZUA-1058|SZUA-1058_00387	K03611		dsbB	disulfide bond formation protein DsbB	080I0@bactNOG,0QTY5@gproNOG,16WIC@proNOG,COG1495@NOG	Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein (By similarity)			SZUA-1058_136:2452..2970	Disulfide bond formation protein B	K03611	K03611		K03611	K03611
Candidatus_sp_SZUA-1058|SZUA-1058_00388	K00574	[EC:2.1.1.79]	cfa	cyclopropane-fatty-acyl-phospholipid synthase	05CV9@bactNOG,0QJAT@gproNOG,16PK5@proNOG,COG2230@NOG	cyclopropane-fatty-acyl-phospholipid synthase			SZUA-1058_136:3049..4182	Cyclopropane-fatty-acyl-phospholipid synthase	K00574	K00574	K00574	K00574	K00574
Candidatus_sp_SZUA-1058|SZUA-1058_00389					COG3164@NOG	exported protein			SZUA-1058_137:c(1238..1828)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00390	K02343	[EC:2.7.7.7]	dnaX	DNA polymerase III subunit gamma/tau	07QMP@bactNOG,0QIGM@gproNOG,16QXF@proNOG,COG2812@NOG	DNA polymerase III, subunits gamma and tau			SZUA-1058_138:70..801	DNA polymerase III subunit tau	K02343	K02343		K02343	K02343
Candidatus_sp_SZUA-1058|SZUA-1058_00391	K09747		K09747	uncharacterized protein	05KDX@bactNOG,0QSHH@gproNOG,17CEB@proNOG,COG0718@NOG	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection (By similarity)			SZUA-1058_138:794..1099	Nucleoid-associated protein YbaB	K09747	K09747		K09747	K09747
Candidatus_sp_SZUA-1058|SZUA-1058_00392	K06187		recR	recombination protein RecR	05F3K@bactNOG,0QKTU@gproNOG,16R16@proNOG,COG0353@NOG	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)			SZUA-1058_138:1120..1704	Recombination protein RecR	K06187	K06187		K06187	K06187
Candidatus_sp_SZUA-1058|SZUA-1058_00393	K01881	[EC:6.1.1.15]	PARS, proS	prolyl-tRNA synthetase	05C90@bactNOG,0QIC7@gproNOG,16PEI@proNOG,COG0442@NOG	Catalyzes the attachment of proline to tRNA(Pro) in a two-step reaction proline is first activated by ATP to form Pro- AMP and then transferred to the acceptor end of tRNA(Pro). As ProRS can inadvertently accommodate and process non-cognate amino acids such as alanine and cysteine, to avoid such errors it has two additional distinct editing activities against alanine. One activity is designated as 'pretransfer' editing and involves the tRNA(Pro)-independent hydrolysis of activated Ala-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Ala-tRNA(Pro). The misacylated Cys- tRNA(Pro) is not edited by ProRS (By similarity)			SZUA-1058_139:469..2172	Proline--tRNA ligase	K01881	K01881	K01881	K01881	K01881
Candidatus_sp_SZUA-1058|SZUA-1058_00394	K11085	[EC:3.6.3.-]	msbA	ATP-binding cassette, subfamily B, bacterial MsbA	05BZ1@bactNOG,0QHUD@gproNOG,16PGA@proNOG,COG1132@NOG	Involved in lipid A export and possibly also in glycerophospholipid export and for biogenesis of the outer membrane. Transmembrane domains (TMD) form a pore in the inner membrane and the ATP-binding domain (NBD) is responsible for energy generation (By similarity)			SZUA-1058_140:c(87..1724)	Lipid A export ATP-binding/permease protein MsbA	K11085	K11085		K02021	K20485
Candidatus_sp_SZUA-1058|SZUA-1058_00395	K03564	[EC:1.11.1.15]	BCP, PRXQ, DOT5	peroxiredoxin Q/BCP	08YXY@bactNOG,0QSG3@gproNOG,17CDP@proNOG,COG1225@NOG	alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen			SZUA-1058_141:c(588..1073)	Peroxiredoxin Bcp	K03564	K03564		K03564	K03564
Candidatus_sp_SZUA-1058|SZUA-1058_00396	K03596		lepA	GTP-binding protein LepA	05C4S@bactNOG,0QIQS@gproNOG,16PGF@proNOG,COG0481@NOG	Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner (By similarity)			SZUA-1058_141:1090..2877	Elongation factor 4	K03596	K03596		K03596	K03596
Candidatus_sp_SZUA-1058|SZUA-1058_00397									SZUA-1058_142:351..653	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00398									SZUA-1058_142:681..905	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00399	K15268		eamA	O-acetylserine/cysteine efflux transporter	01WYX@aproNOG,08594@bactNOG,16PNM@proNOG,COG0697@NOG	permease of the drug metabolite transporter			SZUA-1058_142:c(915..1787)	putative amino-acid metabolite efflux pump	K15268			K15268	K15280
Candidatus_sp_SZUA-1058|SZUA-1058_00400									SZUA-1058_142:c(1856..2110)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00401	K01752	[EC:4.3.1.17]	E4.3.1.17, sdaA, sdaB, tdcG	L-serine dehydratase	05EJQ@bactNOG,0B80F@bproNOG,16R04@proNOG,COG1760@NOG	l-serine dehydratase			SZUA-1058_143:25..1146	L-serine dehydratase 2	K01752	K01752		K01752	K01752
Candidatus_sp_SZUA-1058|SZUA-1058_00402									SZUA-1058_143:c(1148..1879)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00403					01SFK@aproNOG,05P8H@bactNOG,0XT61@NOG,16TSH@proNOG				SZUA-1058_143:c(1861..3603)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00404	K01273	[EC:3.4.13.19]	DPEP	membrane dipeptidase	01REV@aproNOG,07URN@bactNOG,16QGK@proNOG,COG2355@NOG	Dipeptidase			SZUA-1058_143:c(3609..4598)	hypothetical protein	K01273			K01273	
Candidatus_sp_SZUA-1058|SZUA-1058_00405	K22187	[EC:1.2.1.-]	xylA	alpha-ketoglutaric semialdehyde dehydrogenase	01R1Q@aproNOG,05C26@bactNOG,16PDZ@proNOG,COG1012@NOG	Aldehyde dehydrogenase			SZUA-1058_143:c(4598..6046)	Aldehyde dehydrogenase, thermostable	K22187	K22187		K00128	K21802
Candidatus_sp_SZUA-1058|SZUA-1058_00406	K02493	[EC:2.1.1.297]	hemK, prmC, HEMK	release factor glutamine methyltransferase	05EQY@bactNOG,0QIH9@gproNOG,16RMB@proNOG,COG2890@NOG	Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif (By similarity)			SZUA-1058_144:58..621	Release factor glutamine methyltransferase	K02493	K02493		K02493	K21515
Candidatus_sp_SZUA-1058|SZUA-1058_00407	K00301	[EC:1.5.3.1]	E1.5.3.1	sarcosine oxidase	08KZT@bactNOG,173UF@proNOG,COG0665@NOG	fad dependent oxidoreductase			SZUA-1058_144:c(819..2150)	Gamma-glutamylputrescine oxidoreductase	K00301			K00301	K21061
Candidatus_sp_SZUA-1058|SZUA-1058_00408					0Z7UT@NOG	EamA-like transporter family			SZUA-1058_144:c(2143..3078)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00409	K00761	[EC:2.4.2.9]	upp, UPRT	uracil phosphoribosyltransferase	05CZ5@bactNOG,0QJGU@gproNOG,16QSQ@proNOG,COG0035@NOG	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)			SZUA-1058_145:216..845	Uracil phosphoribosyltransferase	K00761	K00761		K00761	K00761
Candidatus_sp_SZUA-1058|SZUA-1058_00410	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	01TUU@aproNOG,07SSX@bactNOG,16SSX@proNOG,COG0115@NOG	Branched-chain amino acid aminotransferase			SZUA-1058_145:888..1760	D-alanine aminotransferase	K00826	K00826	K00826	K00826	K03342
Candidatus_sp_SZUA-1058|SZUA-1058_00412									SZUA-1058_146:23..238	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00413	K03718		asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	02BWR@aproNOG,05PBJ@bactNOG,11UZS@NOG,17W4W@proNOG	HTH_ASNC			SZUA-1058_146:c(1293..1718)	Regulatory protein AsnC	K03718	K03718		K03718	
Candidatus_sp_SZUA-1058|SZUA-1058_00414	K06167	[EC:3.1.4.55]	phnP	phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	05DNY@bactNOG,0GDDQ@delNOG,0HEGV@dproNOG,16R88@proNOG,COG1235@NOG	beta-lactamase			SZUA-1058_147:340..1104	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	K06167	K06167		K06167	K06167
Candidatus_sp_SZUA-1058|SZUA-1058_00415									SZUA-1058_147:c(1118..1393)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00416	K02470	[EC:5.99.1.3]	gyrB	DNA gyrase subunit B	05C7D@bactNOG,0QJ2B@gproNOG,16Q2I@proNOG,COG0187@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1058_148:47..952	DNA gyrase subunit B	K02470	K02470		K02470	K03164
Candidatus_sp_SZUA-1058|SZUA-1058_00417	K00855	[EC:2.7.1.19]	PRK, prkB	phosphoribulokinase	05CJE@bactNOG,0B9US@bproNOG,16RI6@proNOG,COG3954@NOG	phosphoribulokinase (EC 2.7.1.19)			SZUA-1058_148:1062..1922	Phosphoribulokinase, chromosomal	K00855	K00855		K00855	
Candidatus_sp_SZUA-1058|SZUA-1058_00418	K01869	[EC:6.1.1.4]	LARS, leuS	leucyl-tRNA synthetase	05C8T@bactNOG,0QIKY@gproNOG,16QCR@proNOG,COG0495@NOG	Leucyl-tRNA synthetase			SZUA-1058_148:c(1943..3451)	Leucine--tRNA ligase	K01869	K01869		K01869	K01869
Candidatus_sp_SZUA-1058|SZUA-1058_00419	K00337	[EC:1.6.5.3]	nuoH	NADH-quinone oxidoreductase subunit H	05CMZ@bactNOG,0QKBI@gproNOG,16PHN@proNOG,COG1005@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)			SZUA-1058_149:c(294..1361)	NADH-quinone oxidoreductase subunit H	K00337	K00337		K00337	K05572
Candidatus_sp_SZUA-1058|SZUA-1058_00420	K00336	[EC:1.6.5.3]	nuoG	NADH-quinone oxidoreductase subunit G	08IEH@bactNOG,0RAPC@gproNOG,172PU@proNOG,COG1034@NOG	NADH dehydrogenase subunit G			SZUA-1058_149:c(1374..1730)	hypothetical protein	K00336			K00336	K05588
Candidatus_sp_SZUA-1058|SZUA-1058_00421	K01271	[EC:3.4.13.9]	pepQ	Xaa-Pro dipeptidase	01QZA@aproNOG,05ENR@bactNOG,16RSX@proNOG,COG0006@NOG	Xaa-pro dipeptidase			SZUA-1058_150:66..644	Ectoine hydrolase	K01271			K01271	K18573
Candidatus_sp_SZUA-1058|SZUA-1058_00422	K09967		K09967	uncharacterized protein	01RPG@aproNOG,05EIG@bactNOG,16TFQ@proNOG,COG3665@NOG	Domain of unknown function (DUF1989)			SZUA-1058_150:741..1604	hypothetical protein	K09967	K09967		K09967	K09967
Candidatus_sp_SZUA-1058|SZUA-1058_00423					02E3Z@aproNOG,08I4X@bactNOG,10UGD@NOG,172I7@proNOG	transporter, RhaT family			SZUA-1058_150:1664..2503	Riboflavin transporter					
Candidatus_sp_SZUA-1058|SZUA-1058_00424	K01055	[EC:3.1.1.24]	pcaD	3-oxoadipate enol-lactonase	01TCY@aproNOG,07WUK@bactNOG,0ZW3R@NOG,176ZU@proNOG	hydrolase alpha beta fold family			SZUA-1058_151:236..985	AB hydrolase superfamily protein YvaM	K01055			K01055	
Candidatus_sp_SZUA-1058|SZUA-1058_00425	K19337		hexR	RpiR family transcriptional regulator, carbohydrate utilization regulator	06CC1@bactNOG,0BAX7@bproNOG,175XQ@proNOG,COG1737@NOG	RpiR family transcriptional regulator			SZUA-1058_151:c(1043..1918)	HTH-type transcriptional regulator MurR	K19337				K19337
Candidatus_sp_SZUA-1058|SZUA-1058_00426	K02002		proX	glycine betaine/proline transport system substrate-binding protein	01SS0@aproNOG,07WGK@bactNOG,16V6G@proNOG,COG2113@NOG	Glycine betaine proline ABC transporter, periplasmic substrate-binding protein			SZUA-1058_151:2055..3092	hypothetical protein	K02002	K02002		K02002	K02002
Candidatus_sp_SZUA-1058|SZUA-1058_00427	K02000	[EC:3.6.3.32]	proV	glycine betaine/proline transport system ATP-binding protein	02E7S@aproNOG,08IJ7@bactNOG,172SV@proNOG,COG4175@NOG	Glycine betaine			SZUA-1058_151:3161..4225	Glycine betaine/proline betaine transport system ATP-binding protein ProV	K02000	K02000		K02000	K02000
Candidatus_sp_SZUA-1058|SZUA-1058_00428	K02001		proW	glycine betaine/proline transport system permease protein	02DUI@aproNOG,07V3E@bactNOG,171MB@proNOG,COG4176@NOG	Glycine betaine L-proline transport system permease protein			SZUA-1058_151:4218..5732	Glycine betaine/choline transport system permease protein OusW	K02001	K02001		K02001	K02001
Candidatus_sp_SZUA-1058|SZUA-1058_00429	K17950	[EC:4.4.1.25]	cuyA	L-cysteate sulfo-lyase	05K6H@bactNOG,0BDGA@bproNOG,16RIY@proNOG,COG2515@NOG	D-cysteine desulfhydrase			SZUA-1058_151:5767..6747	L-cysteate sulfo-lyase	K17950	K17950		K01505	K17950
Candidatus_sp_SZUA-1058|SZUA-1058_00430					05MM3@bactNOG,0P287@firmNOG,COG4333@NOG	Protein of unknown function (DUF1643)			SZUA-1058_151:6735..7211	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00431	K00831	[EC:2.6.1.52]	serC, PSAT1	phosphoserine aminotransferase	07QM1@bactNOG,0QI02@gproNOG,16PGT@proNOG,COG1932@NOG	Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine (By similarity)			SZUA-1058_152:22..894	Phosphoserine aminotransferase	K00831	K00831		K00831	K00831
Candidatus_sp_SZUA-1058|SZUA-1058_00432	K14170	[EC:5.4.99.5][EC:4.2.1.51]	pheA	chorismate mutase / prephenate dehydratase	05CQC@bactNOG,0QJYK@gproNOG,16QSN@proNOG,COG0077@NOG,COG1605@NOG	chorismate mutase			SZUA-1058_152:957..2036	P-protein	K14170	K14170		K01713	K14187
Candidatus_sp_SZUA-1058|SZUA-1058_00433	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	05CIH@bactNOG,0QJU4@gproNOG,16QKB@proNOG,COG0079@NOG	imidazole acetol-phosphate transaminase			SZUA-1058_152:2033..3097	Histidinol-phosphate aminotransferase	K00817	K00817		K00817	K04720
Candidatus_sp_SZUA-1058|SZUA-1058_00434	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	05EVN@bactNOG,0QK0X@gproNOG,16SIV@proNOG,COG0287@NOG	Prephenate dehydrogenase			SZUA-1058_152:3094..3945	Cyclohexadienyl dehydrogenase	K04517	K04517		K00210	K15226
Candidatus_sp_SZUA-1058|SZUA-1058_00435									SZUA-1058_152:c(3951..4436)	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00436	K00891	[EC:2.7.1.71]	E2.7.1.71, aroK, aroL	shikimate kinase	05KHV@bactNOG,0QK08@gproNOG,16W1R@proNOG,COG0703@NOG	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)			SZUA-1058_153:c(329..844)	Shikimate kinase 1	K00891	K00891		K00891	K15546
Candidatus_sp_SZUA-1058|SZUA-1058_00437	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	05CM2@bactNOG,0QIIG@gproNOG,16QQU@proNOG,COG0115@NOG	Branched-chain amino acid aminotransferase			SZUA-1058_153:c(1040..1972)	Branched-chain-amino-acid aminotransferase	K00826	K00826		K00826	K03342
Candidatus_sp_SZUA-1058|SZUA-1058_00438					06GPA@bactNOG,09QY7@bctoNOG,0Y3PB@NOG				SZUA-1058_154:383..862	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00439									SZUA-1058_154:973..1452	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00440					05DXW@bactNOG,0QKEH@gproNOG,0XQEH@NOG,1749N@proNOG	membrane associated hydrolase			SZUA-1058_154:1599..3707	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00441					06832@bactNOG,09PN6@bctoNOG,0PDTD@flaNOG,0XV88@NOG	Predicted membrane protein (DUF2306)			SZUA-1058_154:3787..4296	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00442	K03624		greA	transcription elongation factor GreA	08UKH@bactNOG,COG0782@NOG	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)			SZUA-1058_154:c(4331..4810)	Transcription elongation factor GreA	K03624	K03624		K03624	K06140
Candidatus_sp_SZUA-1058|SZUA-1058_00443									SZUA-1058_155:130..333	hypothetical protein					
Candidatus_sp_SZUA-1058|SZUA-1058_00444	K03587	[EC:3.4.16.4]	ftsI	cell division protein FtsI (penicillin-binding protein 3)	05CJN@bactNOG,0QI6S@gproNOG,16PPB@proNOG,COG0768@NOG	peptidoglycan synthetase ftsI			SZUA-1058_155:330..2183	putative peptidoglycan D,D-transpeptidase PbpC	K03587	K03587		K03587	K21468
Candidatus_sp_SZUA-1058|SZUA-1058_00445	K02316	[EC:2.7.7.-]	dnaG	DNA primase	05C9G@bactNOG,0QHXQ@gproNOG,16PUZ@proNOG,COG0358@NOG	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)			SZUA-1058_155:c(2180..4006)	DNA primase	K02316	K02316		K02316	K02316
Candidatus_sp_SZUA-1058|SZUA-1058_00446	K02517	[EC:2.3.1.241]	lpxL, htrB	Kdo2-lipid IVA lauroyltransferase	05D1S@bactNOG,0QJ2A@gproNOG,16Q6A@proNOG,COG1560@NOG	Lipid A biosynthesis lauroyl			SZUA-1058_155:4048..4953	Lipid A biosynthesis palmitoleoyltransferase	K02517	K02517		K02517	K12974
Candidatus_sp_SZUA-1058|SZUA-1058_00447	K05515	[EC:3.4.16.4]	mrdA	penicillin-binding protein 2	05CJN@bactNOG,0QI69@gproNOG,16QA6@proNOG,COG0768@NOG	penicillin-binding protein 2			SZUA-1058_156:76..1764	Peptidoglycan D,D-transpeptidase MrdA	K05515	K05515		K05515	K21468
Candidatus_sp_SZUA-1058|SZUA-1058_00448	K00773	[EC:2.4.2.29]	tgt, QTRT1	queuine tRNA-ribosyltransferase	05C6U@bactNOG,0QI58@gproNOG,16PK2@proNOG,COG0343@NOG	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)			SZUA-1058_156:c(1772..2263)	Queuine tRNA-ribosyltransferase	K00773	K00773		K00773	K18779
Candidatus_sp_SZUA-1058|SZUA-1058_00449	K15738		uup	ABC transport system&#160;ATP-binding/permease protein	05C5H@bactNOG,0QI5Q@gproNOG,16PJF@proNOG,COG0488@NOG	ABC transporter			SZUA-1058_157:92..1951	ABC transporter ATP-binding protein uup	K15738	K15738		K15738	K19350
Candidatus_sp_SZUA-1058|SZUA-1058_00450	K02379		fdhD	FdhD protein	01U39@aproNOG,07H9G@bactNOG,16TE6@proNOG,COG1526@NOG	Necessary for formate dehydrogenase activity (By similarity)			SZUA-1058_158:c(1618..2460)	Sulfur carrier protein FdhD	K02379	K02379		K02379	K02379
Candidatus_sp_SZUA-1058|SZUA-1058_00451	K01938	[EC:6.3.4.3]	fhs	formate--tetrahydrofolate ligase	01RE4@aproNOG,05CKU@bactNOG,16QYD@proNOG,COG2759@NOG	Formyltetrahydrofolate synthetase			SZUA-1058_158:c(2464..4143)	Formate--tetrahydrofolate ligase	K01938	K01938	K01938	K00288	K01938
Candidatus_sp_SZUA-1058|SZUA-1058_00452	K05939	[EC:2.3.1.40][EC:6.2.1.20]	aas	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase	05CEY@bactNOG,0QI5X@gproNOG,16UMX@proNOG,COG0204@NOG,COG0318@NOG,COG0477@NOG	Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1 (By similarity)			SZUA-1058_159:25..477	hypothetical protein	K05939	K05939		K00666	K19552
Candidatus_sp_SZUA-1058|SZUA-1058_00453	K05939	[EC:2.3.1.40][EC:6.2.1.20]	aas	acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase	05CEY@bactNOG,0QI5X@gproNOG,16UMX@proNOG,COG0204@NOG,COG0318@NOG,COG0477@NOG	Plays a role in lysophospholipid acylation. Transfers fatty acids to the 1-position via an enzyme-bound acyl-ACP intermediate in the presence of ATP and magnesium. Its physiological function is to regenerate phosphatidylethanolamine from 2-acyl-glycero-3-phosphoethanolamine (2-acyl-GPE) formed by transacylation reactions or degradation by phospholipase A1 (By similarity)			SZUA-1058_159:480..1061	Bifunctional protein Aas	K05939	K05939		K00666	K19552
Candidatus_sp_SZUA-1058|SZUA-1058_00454	K02355		fusA, GFM, EFG	elongation factor G	05CEJ@bactNOG,0QHS2@gproNOG,16PY2@proNOG,COG0480@NOG	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)			SZUA-1058_160:c(95..2197)	Elongation factor G	K02355	K02355	K02355	K02355	K18220
Candidatus_sp_SZUA-1058|SZUA-1058_00455	K02992		RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7	08UHY@bactNOG,0QJSA@gproNOG,177XJ@proNOG,COG0049@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)			SZUA-1058_160:c(2213..2680)	30S ribosomal protein S7	K02992	K02992		K02992	K02992
Candidatus_sp_SZUA-1058|SZUA-1058_00456	K02950		RP-S12, MRPS12, rpsL	small subunit ribosomal protein S12	08UKE@bactNOG,0QQVP@gproNOG,179N0@proNOG,COG0048@NOG	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)			SZUA-1058_160:c(2700..3074)	30S ribosomal protein S12	K02950	K02950	K02950	K02950	K02973
Candidatus_sp_SZUA-1058|SZUA-1058_00457	K01104	[EC:3.1.3.48]	E3.1.3.48	protein-tyrosine phosphatase	05KJF@bactNOG,17CN9@proNOG,COG0394@NOG	Protein tyrosine phosphatase			SZUA-1058_160:c(3174..3614)	Low molecular weight protein-tyrosine-phosphatase YfkJ	K01104	K01104	K01104	K01104	K20945
Candidatus_sp_SZUA-1058|SZUA-1058_00458	K03710		K03710	GntR family transcriptional regulator	05FDP@bactNOG,0QMAN@gproNOG,176IH@proNOG,COG2188@NOG	GntR Family Transcriptional Regulator			SZUA-1058_161:132..884	HTH-type transcriptional repressor YvoA	K03710	K03710	K03710	K03710	K11922
Candidatus_sp_SZUA-1058|SZUA-1058_00459	K01443	[EC:3.5.1.25]	nagA, AMDHD2	N-acetylglucosamine-6-phosphate deacetylase	05CE4@bactNOG,0QICK@gproNOG,16PWA@proNOG,COG1820@NOG	GlcNAc 6-P deacetylase			SZUA-1058_161:881..2035	N-acetylgalactosamine-6-phosphate deacetylase	K01443	K01443		K01443	K02079
Candidatus_sp_SZUA-1058|SZUA-1058_00460									SZUA-1058_162:106..312	hypothetical protein					
