#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_00001	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	00P00@actNOG,05NK3@bactNOG,COG0640@NOG	transcriptional regulator, ArsR family			SZUA-1093_1:1101..1487	HTH-type transcriptional repressor CzrA	K03892			K03892	K22043
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01525									SZUA-1093_195:35737..35982	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01526	K01480	[EC:3.5.3.11]	speB	agmatinase	05CYW@bactNOG,0QIVC@gproNOG,16R9M@proNOG,COG0010@NOG	Catalyzes the formation of putrescine from agmatine (By similarity)			SZUA-1093_195:36079..37062	Proclavaminate amidinohydrolase	K01480	K01480		K01476	K19723
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01527	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	COG0115@NOG	brancheD-chain amino acid aminotransferase			SZUA-1093_195:37089..37997	D-alanine aminotransferase	K00826	K00826		K00826	K03342
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01528	K20590	[EC:1.1.1.-]	genD2, gtmC, gntC	gentamicin A2 dehydrogenase	01R15@aproNOG,05CIB@bactNOG,16PYP@proNOG,COG0673@NOG	Oxidoreductase			SZUA-1093_195:38917..40038	Inositol 2-dehydrogenase	K20590				K20590
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01529									SZUA-1093_196:45..254	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01530	K03584		recO	DNA repair protein RecO (recombination protein O)	06DBE@bactNOG,0D2GY@chloNOG,COG1381@NOG	Involved in DNA repair and RecF pathway recombination (By similarity)			SZUA-1093_196:c(969..1757)	DNA repair protein RecO	K03584	K03584		K03584	K03584
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01531	K06187		recR	recombination protein RecR	05F3K@bactNOG,0D25F@chloNOG,COG0353@NOG	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)			SZUA-1093_196:c(1856..2479)	Recombination protein RecR	K06187	K06187	K06187	K06187	K06187
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01532	K09747		K09747	uncharacterized protein	05KDX@bactNOG,0GFIR@delNOG,0HGBN@dproNOG,16WPK@proNOG,COG0718@NOG	Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection (By similarity)			SZUA-1093_196:c(2494..2802)	Nucleoid-associated protein	K09747	K09747	K09747	K09747	K09747
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01533	K02343	[EC:2.7.7.7]	dnaX	DNA polymerase III subunit gamma/tau	05C6E@bactNOG,0D1YW@chloNOG,0G704@dehNOG,COG2812@NOG	DNA polymerase III, gamma and tau subunits			SZUA-1093_196:c(2799..4448)	DNA polymerase III subunit tau	K02343	K02343		K01071	K02343
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01534	K07042		ybeY, yqfG	probable rRNA maturation factor	05KGE@bactNOG,0D376@chloNOG,0G7BU@dehNOG,COG0319@NOG	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)			SZUA-1093_196:c(4452..5000)	Endoribonuclease YbeY	K07042	K07042		K01489	K07042
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01535	K01684	[EC:4.2.1.6]	dgoD	galactonate dehydratase	05CXK@bactNOG,09G37@bctoNOG,1AJP5@sphNOG,COG4948@NOG	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain			SZUA-1093_196:5326..6468	D-galactonate dehydratase	K01684	K01684		K01684	K21624
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01536	K04087	[EC:3.4.-.-]	hflC	membrane protease subunit HflC	05EPW@bactNOG,0GB73@delNOG,0HCKK@dproNOG,16PBV@proNOG,COG0330@NOG	hflC protein			SZUA-1093_196:c(6491..7375)	Modulator of FtsH protease HflC	K04087	K04087		K04087	K17081
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01537	K04088	[EC:3.4.-.-]	hflK	membrane protease subunit HflK	07QJR@bactNOG,0B7VD@bproNOG,16PEW@proNOG,COG0330@NOG	hflk protein			SZUA-1093_196:c(7385..8443)	Modulator of FtsH protease HflK	K04088	K04088		K04088	K17081
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01538									SZUA-1093_196:c(8662..10035)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01539	K13020	[EC:1.1.1.335]	wlbA, bplA	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	01WEP@aproNOG,07QUI@bactNOG,16XBF@proNOG,COG0673@NOG	oxidoreductase			SZUA-1093_196:10215..11279	Glucose--fructose oxidoreductase	K13020			K13020	K20590
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01540	K19181	[EC:1.1.1.292]	afr	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	0FBPN@creNOG,COG0673@NOG,arCOG01622@arNOG	Oxidoreductase domain-containing protein			SZUA-1093_196:11326..12330	1,5-anhydro-D-fructose reductase	K19181			K19181	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01541	K08966	[EC:3.1.3.87]	mtnX	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	05JAS@bactNOG,0D4J2@chloNOG,0G74W@dehNOG,COG4359@NOG	Inherit from bactNOG: Dephosphorylates 2-hydroxy-3-keto-5-methylthiopentenyl- 1-phosphate (HK-MTPenyl-1-P) yielding 1,2-dihydroxy-3-keto-5- methylthiopentene (DHK-MTPene) (By similarity)			SZUA-1093_196:12408..13064	2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase	K08966			K08966	K08966
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01542					05Q7V@bactNOG,0D4F8@chloNOG,0G75V@dehNOG,1200E@NOG				SZUA-1093_196:c(13075..13761)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01543					08UXS@bactNOG,0D2ES@chloNOG,0D7A8@chlorNOG,0ZWGJ@NOG				SZUA-1093_196:c(13788..15356)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01544	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	08UYR@bactNOG,COG0526@NOG	glutaredoxin-like domain protein			SZUA-1093_196:c(15371..15631)	hypothetical protein	K13996				K13996
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01545	K13996	[EC:5.3.4.1]	EPS1	protein disulfide-isomerase	08UYR@bactNOG,COG0526@NOG	glutaredoxin-like domain protein			SZUA-1093_196:c(15647..16102)	hypothetical protein	K13996				K13996
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01546	K00995	[EC:2.7.8.5]	pgsA, PGS1	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase	00J2X@actNOG,08VTU@bactNOG,COG0558@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1093_196:c(16200..16589)	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	K00995	K00995		K00995	K17884
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01547					01XTI@aproNOG,05G3U@bactNOG,0XP3B@NOG,176XJ@proNOG	FAD dependent oxidoreductase			SZUA-1093_197:c(755..1249)	Putative thiazole biosynthetic enzyme					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01548	K21883	[EC:1.1.1.401]	lra5	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+)	08U02@bactNOG,0BHS4@bproNOG,17842@proNOG,COG1028@NOG	Dehydrogenase			SZUA-1093_197:c(1277..2068)	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K21883				K21883
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01549	K00483	[EC:1.14.14.9]	hpaB	4-hydroxyphenylacetate 3-monooxygenase	05EFA@bactNOG,COG2368@NOG	4-hydroxyphenylacetate			SZUA-1093_197:c(2089..3540)	4-hydroxyphenylacetate 3-monooxygenase oxygenase component	K00483	K00483		K00483	K21184
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01550					07QQA@bactNOG,0GD27@delNOG,0HCSH@dproNOG,11ID1@NOG,175IT@proNOG	Kelch domain protein			SZUA-1093_197:3842..4435	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01551									SZUA-1093_197:4959..5060	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01552	K21265	[EC:2.5.1.18]	fosA5	glutathione S-transferase fosA5	020PW@aproNOG,09025@bactNOG,17D65@proNOG,COG0346@NOG	glyoxalase bleomycin resistance protein			SZUA-1093_197:c(5192..5596)	Virulence protein	K21265				K21265
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01553	K00087	[EC:1.17.1.4]	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit	05C7W@bactNOG,0EP4W@cloNOG,0NE20@firmNOG,COG1529@NOG,COG2080@NOG	Xanthine dehydrogenase			SZUA-1093_197:c(5728..7953)	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA	K00087			K00087	K21675
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01554	K03518	[EC:1.2.5.3]	coxS	aerobic carbon-monoxide dehydrogenase small subunit	07UQR@bactNOG,0BKIT@bproNOG,17D3B@proNOG,COG2080@NOG	[2Fe-2S] binding domain			SZUA-1093_197:8074..8559	Nicotinate dehydrogenase small FeS subunit	K03518	K03518	K00087	K03518	K21675
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01555	K03519	[EC:1.2.5.3]	coxM, cutM	aerobic carbon-monoxide dehydrogenase medium subunit	05FG6@bactNOG,0D48H@chloNOG,COG1319@NOG	CO dehydrogenase flavoprotein C-terminal domain			SZUA-1093_197:8685..9545	Carbon monoxide dehydrogenase medium chain	K03519	K03519		K03519	K20445
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01556	K09386		K09386	uncharacterized protein	COG3427@NOG	Carbon monoxide dehydrogenase, subunit G			SZUA-1093_197:9542..9997	hypothetical protein	K09386			K09386	K09386
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01557									SZUA-1093_198:46..561	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01558					05JCD@bactNOG,09G5V@bctoNOG,1AM5V@sphNOG,COG4447@NOG	BNR/Asp-box repeat			SZUA-1093_198:752..1909	Ycf48-like protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01559	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	01U86@aproNOG,05CFB@bactNOG,16Q9D@proNOG,COG0405@NOG	gamma-glutamyltranspeptidase			SZUA-1093_198:1912..3711	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01560	K19552		bacE	MFS transporter, DHA3 family, bacilysin exporter BacE	05E8G@bactNOG,COG0477@NOG	Major facilitator Superfamily			SZUA-1093_198:3954..5156	Enterobactin exporter EntS	K19552				K19552
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01561									SZUA-1093_198:5288..5416	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01562									SZUA-1093_198:5409..5618	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01563									SZUA-1093_198:6015..6386	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01564	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05DV0@bactNOG,COG0154@NOG	amidase (EC 3.5.1.4			SZUA-1093_198:c(6398..7831)	Acylamidase	K02433	K02433		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01565					05C0R@bactNOG,0EPQM@cloNOG,0NDDU@firmNOG,0XNN3@NOG	Drug resistance transporter EmrB QacA			SZUA-1093_198:8032..9426	Riboflavin transporter RibZ					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01566	K00590	[EC:2.1.1.113]	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific)	05F0Q@bactNOG,0D3AA@chloNOG,COG0863@NOG	DNA methylase			SZUA-1093_198:c(9428..9625)	hypothetical protein	K00590			K00590	K13581
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01567	K00590	[EC:2.1.1.113]	E2.1.1.113	site-specific DNA-methyltransferase (cytosine-N4-specific)	05F0Q@bactNOG,0D3AA@chloNOG,COG0863@NOG	DNA methylase			SZUA-1093_198:c(9905..10402)	hypothetical protein	K00590			K00590	K13581
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01568					0KTS2@eurNOG,0WMNK@methaNOG,0ZXIV@NOG,arCOG02482@arNOG,arCOG07677@arNOG	DOMON domain			SZUA-1093_198:c(10788..12452)	Quinohemoprotein alcohol dehydrogenase ADH IIB					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01569	K20758	[EC:3.7.1.23]	hbzF	maleylpyruvate hydrolase	05ERH@bactNOG,COG0179@NOG	Fumarylacetoacetate hydrolase			SZUA-1093_198:12689..13444	putative protein YisK	K20758				K20758
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01570	K09992		K09992	uncharacterized protein	0604I@bactNOG,0D3R2@chloNOG,COG3828@NOG	Trehalose utilisation			SZUA-1093_198:13473..14012	hypothetical protein	K09992	K09992		K09992	K09992
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01571					05DY4@bactNOG,0ER6P@cloNOG,0NERH@firmNOG,0XQKZ@NOG	Oxidoreductase domain protein			SZUA-1093_198:14321..15253	1,5-anhydro-D-fructose reductase					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01572	K06978		K06978	uncharacterized protein	05CC1@bactNOG,09CA8@bctoNOG,0FVEU@cytNOG,COG2936@NOG	hydrolase CocE NonD family protein			SZUA-1093_198:15337..17076	Cocaine esterase	K06978	K06978		K06978	K21017
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01573									SZUA-1093_198:17114..17653	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01574	K00108	[EC:1.1.99.1]	betA, CHDH	choline dehydrogenase	00CMY@actNOG,05CZ6@bactNOG,COG2303@NOG	Choline dehydrogenase			SZUA-1093_198:17773..19326	Oxygen-dependent choline dehydrogenase	K00108	K00108		K00108	K21166
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01575	K00986	[EC:2.7.7.49]	ltrA	RNA-directed DNA polymerase	01SH8@aproNOG,07BK7@bactNOG,16R8C@proNOG,COG2801@NOG	Fis Family transcriptional regulator			SZUA-1093_198:c(19574..19906)	hypothetical protein	K00986			K00986	K07497
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01576	K00986	[EC:2.7.7.49]	ltrA	RNA-directed DNA polymerase	01SH8@aproNOG,07BK7@bactNOG,16R8C@proNOG,COG2801@NOG	Fis Family transcriptional regulator			SZUA-1093_198:c(19922..20365)	hypothetical protein	K00986			K00986	K07497
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01577									SZUA-1093_198:c(20362..20559)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01578	K07483		K07483	transposase	01YBB@aproNOG,090HS@bactNOG,17CCP@proNOG,COG2963@NOG	Transposase			SZUA-1093_198:c(20592..20960)	hypothetical protein	K07483	K07483		K07483	K07483
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01579	K19552		bacE	MFS transporter, DHA3 family, bacilysin exporter BacE	05E8G@bactNOG,COG0477@NOG	Major facilitator Superfamily			SZUA-1093_198:c(21098..22447)	hypothetical protein	K19552				K19552
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01580	K09205		KLF8_12	krueppel-like factor 8/12					SZUA-1093_198:c(22551..22787)	hypothetical protein	K09205	K09205			
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01581	K07025		K07025	putative hydrolase of the HAD superfamily	05EJU@bactNOG,0QNAG@gproNOG,16T7E@proNOG,COG1011@NOG	HAD-superfamily hydrolase subfamily IA variant 3			SZUA-1093_199:273..887	Alpha-D-glucose 1-phosphate phosphatase YihX	K07025			K07025	K21063
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01582	K20882	[EC:2.8.3.24]	hadA	(R)-2-hydroxy-4-methylpentanoate CoA-transferase	05FCU@bactNOG,COG1804@NOG	L-carnitine dehydratase bile acid-inducible protein F			SZUA-1093_199:c(1031..2956)	Cinnamoyl-CoA:phenyllactate CoA-transferase	K20882				K20882
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01583	K07588	[EC:2.7.-.-]	argK	LAO/AO transport system kinase	0KSXA@eurNOG,1CDWH@thermNOG,COG1703@NOG,arCOG01226@arNOG	lysine arginine ornithine transport system kinase			SZUA-1093_199:c(3012..4016)	putative GTPase	K07588	K07588		K07588	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01584	K00794	[EC:2.5.1.78]	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase	08UTT@bactNOG,0D28X@chloNOG,COG0054@NOG	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)			SZUA-1093_199:c(4028..4501)	6,7-dimethyl-8-ribityllumazine synthase	K00794	K00794		K00794	K00794
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01585	K14652	[EC:4.1.99.12][EC:3.5.4.25]	ribBA	3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II	05C66@bactNOG,0GB89@delNOG,0HCN3@dproNOG,16Q65@proNOG,COG0108@NOG,COG0807@NOG	Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate (By similarity)			SZUA-1093_199:c(4498..5730)	Riboflavin biosynthesis protein RibBA	K14652	K14652	K14652	K02858	K14652
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01586	K00793	[EC:2.5.1.9]	ribE, RIB5	riboflavin synthase	08R6K@bactNOG,0ERSF@cloNOG,0NHAM@firmNOG,COG0307@NOG	riboflavin synthase, alpha subunit			SZUA-1093_199:c(5753..6361)	Riboflavin synthase	K00793	K00793	K00793	K00793	K00793
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01587	K00145	[EC:1.2.1.38]	argC	N-acetyl-gamma-glutamyl-phosphate reductase	COG0002@NOG,KOG4354@euNOG	n-acetyl-gamma-glutamyl-phosphate reductase			SZUA-1093_199:c(6529..7494)	N-acetyl-gamma-glutamyl-phosphate reductase	K00145	K00145		K00145	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01588	K11752	[EC:3.5.4.26][EC:1.1.1.193]	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	05D1W@bactNOG,0D1NY@chloNOG,0G6W2@dehNOG,COG0117@NOG,COG1985@NOG	Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)			SZUA-1093_199:c(7596..8681)	Riboflavin biosynthesis protein RibD	K11752	K11752		K01498	K14654
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01589	K01494	[EC:3.5.4.13]	dcd	dCTP deaminase	00BDE@actNOG,05DHP@bactNOG,COG0717@NOG	Deoxycytidine triphosphate deaminase			SZUA-1093_199:c(8692..9285)	dCTP deaminase	K01494	K01494		K01494	K09887
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01590	K02035		ABC.PE.S	peptide/nickel transport system substrate-binding protein	COG0747@NOG,arCOG01534@arNOG	Extracellular solute-binding protein, family 5			SZUA-1093_200:10..921	Glutathione-binding protein GsiB	K02035	K02035		K02035	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01591	K02033		ABC.PE.P	peptide/nickel transport system permease protein	COG0601@NOG,arCOG00751@arNOG	binding-protein-dependent transport systems inner membrane component			SZUA-1093_200:1077..2036	Glutathione transport system permease protein GsiC	K02033	K02033		K02033	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01592									SZUA-1093_200:c(2652..2927)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01593									SZUA-1093_201:963..1715	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01594					05DGE@bactNOG,0D34B@chloNOG,0XW00@NOG	Inherit from bactNOG: cytochrome C			SZUA-1093_201:c(1720..2337)	Menaquinone reductase, multiheme cytochrome c subunit					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01595									SZUA-1093_201:c(2387..2602)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01596									SZUA-1093_202:489..791	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01597									SZUA-1093_202:1611..1811	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01598	K06400		spoIVCA	site-specific DNA recombinase	07S48@bactNOG,0D30F@chloNOG,COG1961@NOG	Resolvase domain protein			SZUA-1093_202:1789..2325	Resolvase YneB	K06400			K06400	K14060
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01599	K06400		spoIVCA	site-specific DNA recombinase	05C6I@bactNOG,0ENW2@cloNOG,0NDBZ@firmNOG,COG1961@NOG	site-specific			SZUA-1093_202:2406..2726	hypothetical protein	K06400			K06400	K14060
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01600									SZUA-1093_202:2728..3012	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01601	K00038	[EC:1.1.1.53]	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase	05CBZ@bactNOG,0QT22@gproNOG,0XQPQ@NOG,179T3@proNOG	Short-chain dehydrogenase reductase Sdr			SZUA-1093_202:c(3779..4573)	Levodione reductase	K00038			K00038	
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01602	K02510	[EC:4.1.2.52]	hpaI, hpcH	4-hydroxy-2-oxoheptanedioate aldolase	05CNV@bactNOG,0D5BH@chloNOG,COG3836@NOG	aldolase			SZUA-1093_202:c(4715..5491)	5-keto-4-deoxy-D-glucarate aldolase	K02510	K02510		K01630	K12660
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01603	K00986	[EC:2.7.7.49]	ltrA	RNA-directed DNA polymerase	01SH8@aproNOG,07BK7@bactNOG,16R8C@proNOG,COG2801@NOG	Fis Family transcriptional regulator			SZUA-1093_202:c(5600..6214)	hypothetical protein	K00986			K00986	K07497
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01604	K03088		rpoE	RNA polymerase sigma-70 factor, ECF subfamily	04U7N@bacNOG,05EMN@bactNOG,0NI8T@firmNOG,COG1595@NOG	RNA polymerase, sigma factor			SZUA-1093_203:174..593	ECF RNA polymerase sigma factor SigW	K03088	K03088		K03088	K03088
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01605	K08999		K08999	uncharacterized protein	00IPP@actNOG,05EF4@bactNOG,COG1259@NOG	Pfam:DUF151			SZUA-1093_203:600..1232	hypothetical protein	K08999	K08999		K08999	K08999
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01606	K08884	[EC:2.7.11.1]	K08884	serine/threonine protein kinase, bacterial	05EN5@bactNOG,0FKAX@cyaNOG,COG0457@NOG	Serine Threonine protein kinase			SZUA-1093_203:c(1249..1758)	TPR repeat-containing protein YrrB	K08884			K08884	K20543
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01607					00QV9@actNOG,0633Z@bactNOG,11VGW@NOG				SZUA-1093_203:1847..2200	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01608					00EA4@actNOG,05E8K@bactNOG,0XQTR@NOG	methyltransferase type			SZUA-1093_203:2277..2663	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01609	K01240	[EC:3.2.2.3]	URH1	uridine nucleosidase	05DU0@bactNOG,0D4DJ@chloNOG,COG1957@NOG	inosine uridine-preferring nucleoside hydrolase			SZUA-1093_203:2668..3609	Pyrimidine-specific ribonucleoside hydrolase RihA	K01240		K01240	K01239	K12700
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01610	K14274	[EC:3.1.1.-]	xylC	xylonolactonase	05CYF@bactNOG,0D32P@chloNOG,COG3386@NOG	SMP-30/Gluconolaconase/LRE-like region			SZUA-1093_203:c(3614..4474)	6-deoxy-6-sulfogluconolactonase	K14274	K14274		K01053	K13874
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01611	K21727		npcB	4-nitrophenol 2-monooxygenase / 4-nitrocatechol 4-monooxygenase, reductase component	05MXW@bactNOG,0F3SE@cloNOG,0NJWU@firmNOG,COG1853@NOG	Flavin_Reduct			SZUA-1093_203:c(4625..5116)	FMN reductase (NADH) NtaB	K21727				K21727
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01612									SZUA-1093_203:c(5215..5982)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01613									SZUA-1093_203:c(5979..6356)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01614									SZUA-1093_204:24..539	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01615	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	05DGQ@bactNOG,156TT@plaNOG,COG0451@NOG	Male sterility protein			SZUA-1093_204:583..1341	Uronate dehydrogenase	K01784			K01784	K22025
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01616	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,16Q9D@proNOG,COG0405@NOG	Gamma-glutamyltranspeptidase (EC 2.3.2.2)			SZUA-1093_204:1427..3232	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01617					05XEG@bactNOG,09HV2@bctoNOG,1262F@NOG,1AGYB@sphNOG	Inherit from COG: chitinase			SZUA-1093_204:c(3318..4001)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01618									SZUA-1093_205:264..842	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01619									SZUA-1093_205:c(1447..1890)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1093|SZUA-1093_01620									SZUA-1093_206:20..202	hypothetical protein					
