#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_00001	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0D4HV@chloNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1128_1:c(145..1113)	Quinone oxidoreductase 1	K00344	K00344		K00344	K21839
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01020					08UXS@bactNOG,0D2ES@chloNOG,0G6Z4@dehNOG,0ZWGJ@NOG				SZUA-1128_336:1423..2904	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01021									SZUA-1128_336:2944..3450	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01022	K12733	[EC:5.2.1.8]	PPIL1	peptidyl-prolyl cis-trans isomerase-like 1	08R5K@bactNOG,1CA1S@synNOG,COG0652@NOG	PPIases accelerate the folding of proteins (By similarity)			SZUA-1128_336:3651..4406	Peptidyl-prolyl cis-trans isomerase A	K12733		K12733	K01802	K03768
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01023	K21613	[EC:3.-.-.-]	yxeP	uncharacterized hydrolase	07RVX@bactNOG,0D1YQ@chloNOG,COG1473@NOG	amidohydrolase			SZUA-1128_337:298..1536	p-aminobenzoyl-glutamate hydrolase subunit B	K21613				K21613
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01024									SZUA-1128_337:c(1593..1757)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01025	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	061BH@bactNOG,0BCQR@bproNOG,1714M@proNOG,COG1028@NOG	reductase (Ec 1.1.1.100)			SZUA-1128_338:c(1177..1455)	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059		K00059	K21883
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01026	K00020	[EC:1.1.1.31]	mmsB, HIBADH	3-hydroxyisobutyrate dehydrogenase	01S9K@aproNOG,05FXF@bactNOG,16R25@proNOG,COG2084@NOG	3-hydroxyisobutyrate dehydrogenase family protein			SZUA-1128_338:1574..2467	2-hydroxy-3-oxopropionate reductase	K00020			K00020	K22026
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01027	K06034	[EC:4.1.1.79]	comD	sulfopyruvate decarboxylase subunit alpha	01Z63@aproNOG,09026@bactNOG,17D4W@proNOG,COG4032@NOG	Inherit from COG: Sulfopyruvate decarboxylase, subunit alpha			SZUA-1128_339:c(517..1023)	hypothetical protein	K06034				K06034
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01028	K01893	[EC:6.1.1.22]	NARS, asnS	asparaginyl-tRNA synthetase	05C5S@bactNOG,0FKET@cyaNOG,COG0017@NOG	asparaginyl-tRNA synthetase			SZUA-1128_339:c(1172..1471)	Asparagine--tRNA ligase	K01893	K01893		K01893	K09759
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01029									SZUA-1128_340:4..321	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01030	K02892		RP-L23, MRPL23, rplW	large subunit ribosomal protein L23	080UE@bactNOG,0NKQJ@firmNOG,0X3BZ@negNOG,COG0089@NOG	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)			SZUA-1128_340:322..606	50S ribosomal protein L23	K02892	K02892		K02892	K02893
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01031	K02886		RP-L2, MRPL2, rplB	large subunit ribosomal protein L2	05CFD@bactNOG,COG0090@NOG	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity			SZUA-1128_340:667..1500	50S ribosomal protein L2	K02886	K02886		K02886	K02938
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01032	K02965		RP-S19, rpsS	small subunit ribosomal protein S19	05K7S@bactNOG,COG0185@NOG	Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA (By similarity)			SZUA-1128_340:1502..1792	30S ribosomal protein S19	K02965	K02965		K02965	K02965
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01033	K02890		RP-L22, MRPL22, rplV	large subunit ribosomal protein L22	05KAP@bactNOG,0D321@chloNOG,0G7AT@dehNOG,COG0091@NOG	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)			SZUA-1128_340:1796..2143	50S ribosomal protein L22	K02890	K02890		K02890	K02890
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01034	K02982		RP-S3, rpsC	small subunit ribosomal protein S3	05CKE@bactNOG,0D1XS@chloNOG,0G70P@dehNOG,COG0092@NOG	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)			SZUA-1128_340:2147..2890	30S ribosomal protein S3	K02982	K02982		K02982	K02985
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01035									SZUA-1128_341:28..168	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01036	K03635	[EC:2.8.1.12]	MOCS2B, moaE	molybdopterin synthase catalytic subunit	08ZAF@bactNOG,0D2HK@chloNOG,COG0314@NOG	molybdopterin converting factor subunit 1			SZUA-1128_342:c(393..638)	hypothetical protein	K03635			K03635	K21142
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01037	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CHR@bactNOG,0XNW1@NOG	reductase			SZUA-1128_342:c(672..1454)	Sorbitol dehydrogenase	K00059	K00059		K00059	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01038					01RI9@aproNOG,08NTJ@bactNOG,0ZVFW@NOG,177CB@proNOG				SZUA-1128_342:c(1457..2884)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01039	K01464	[EC:3.5.2.2]	DPYS, dht, hydA	dihydropyrimidinase	05CD3@bactNOG,COG0044@NOG	dihydroorotase			SZUA-1128_342:3161..4579	D-hydantoinase	K01464	K01464		K01464	K01466
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01040									SZUA-1128_342:c(4608..4961)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01041	K02897		RP-L25, rplY	large subunit ribosomal protein L25	07TVT@bactNOG,0D366@chloNOG,0G78R@dehNOG,COG1825@NOG	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)			SZUA-1128_343:438..1094	General stress protein CTC	K02897	K02897		K02897	K02897
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01042									SZUA-1128_343:1138..1905	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01043									SZUA-1128_343:c(2334..2570)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01044	K02038		pstA	phosphate transport system permease protein	04S33@bacNOG,05E2Z@bactNOG,0NDYC@firmNOG,COG0581@NOG	phosphate ABC transporter (Permease			SZUA-1128_344:c(598..1476)	Phosphate transport system permease protein PstA	K02038	K02038	K02038	K02037	K02038
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01045	K02037		pstC	phosphate transport system permease protein	04RC3@bacNOG,05C8U@bactNOG,0ND6J@firmNOG,COG0573@NOG	phosphate ABC transporter, permease			SZUA-1128_344:c(1476..2417)	Phosphate transport system permease protein PstC 1	K02037	K02037	K02037	K02037	K02037
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01046	K02040		pstS	phosphate transport system substrate-binding protein	05PWN@bactNOG,0G9EZ@deiNOG,COG0226@NOG	phosphate binding protein			SZUA-1128_344:c(2585..3661)	Protein SphX	K02040	K02040		K02040	K02040
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01047	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	05C7K@bactNOG,0D3UH@chloNOG,COG0028@NOG	thiamine pyrophosphate protein			SZUA-1128_345:32..1096	Acetolactate synthase isozyme 3 large subunit	K01652	K01652		K01652	K21428
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01048	K03465	[EC:2.1.1.148]	thyX, thy1	thymidylate synthase (FAD)	08P8V@bactNOG,0D2DW@chloNOG,COG1351@NOG	Thymidylate synthase complementing protein ThyX			SZUA-1128_345:1160..2614	Flavin-dependent thymidylate synthase	K03465				K03465
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01049									SZUA-1128_345:c(2676..3122)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01050	K07543	[EC:2.8.3.15]	bbsE	benzylsuccinate CoA-transferase BbsE subunit	00XFW@actNOG,08NVS@bactNOG,COG1804@NOG	CoA-transferase family III			SZUA-1128_346:c(471..1658)	Succinyl-CoA:(R)-benzylsuccinate CoA-transferase subunit BbsE	K07543			K07543	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01051	K21265	[EC:2.5.1.18]	fosA5	glutathione S-transferase fosA5	05KC0@bactNOG,0BFZ1@bproNOG,17DTR@proNOG,COG0346@NOG	glyoxalase bleomycin resistance protein dioxygenase			SZUA-1128_346:c(1802..2179)	Metallothiol transferase FosB	K21265				K21265
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01052	K01473	[EC:3.5.2.14]	hyuA	N-methylhydantoinase A	02DDI@aproNOG,08E8W@bactNOG,170HZ@proNOG,COG0145@NOG	Hydantoin utilization protein A			SZUA-1128_347:c(375..2621)	Acetophenone carboxylase gamma subunit	K01473	K01473		K01473	K10855
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01053									SZUA-1128_348:191..538	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01054	K03535		gudP	MFS transporter, ACS family, glucarate transporter	05DJB@bactNOG,0QI44@gproNOG,0XPWC@NOG,16R4Q@proNOG	transporter			SZUA-1128_348:660..1961	hypothetical protein	K03535			K03535	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01055	K02016		ABC.FEV.S	iron complex transport system substrate-binding protein	0DC84@chloroNOG,0JNSS@euNOG,11FVQ@NOG,1E1UH@virNOG				SZUA-1128_349:36..413	hypothetical protein	K02016	K02016			
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01056	K00484	[EC:1.5.1.36]	hpaC	flavin reductase (NADH)	05MXW@bactNOG,COG1853@NOG	flavin reductase domain protein, FMN-binding			SZUA-1128_349:581..1033	NADH-dependent flavin reductase	K00484			K00484	K21727
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01057	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	05C24@bactNOG,0D1KW@chloNOG,0G734@dehNOG,COG0188@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1128_349:c(1253..3826)	DNA gyrase subunit A	K02469	K02469	K02469	K02469	K03164
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01058	K01990		ABC-2.A	ABC-2 type transport system ATP-binding protein	05DA5@bactNOG,09FWQ@bctoNOG,1AIW0@sphNOG,COG1131@NOG	ABC transporter			SZUA-1128_350:64..867	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA	K01990	K01990		K01990	K21397
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01059									SZUA-1128_350:c(1379..1579)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01060	K00946	[EC:2.7.4.16]	thiL	thiamine-monophosphate kinase	05CG2@bactNOG,0D2Q6@chloNOG,0G75K@dehNOG,COG0611@NOG	Catalyzes the ATP-dependent phosphorylation of thiamine- monophosphate (TMP) to form thiamine-pyrophosphate (TPP), the active form of vitamin B1 (By similarity)			SZUA-1128_351:c(392..1426)	Thiamine-monophosphate kinase	K00946	K00946		K00946	K00946
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01061	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	05C7K@bactNOG,16PKP@proNOG,COG0028@NOG	acetolactate synthase			SZUA-1128_352:c(212..1930)	Acetolactate synthase isozyme 3 large subunit	K01652	K01652		K01652	K21428
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01062									SZUA-1128_352:2038..2172	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01063	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	026A4@aproNOG,08MDE@bactNOG,175FH@proNOG,COG0028@NOG	Thiamine pyrophosphate enzyme, central domain			SZUA-1128_352:2260..3945	Acetolactate synthase isozyme 3 large subunit	K01652	K01652		K01652	K21428
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01064	K01823	[EC:5.3.3.2]	idi, IDI	isopentenyl-diphosphate Delta-isomerase	06UJV@bactNOG,0D1QR@chloNOG,COG0432@NOG,COG1304@NOG	Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity)			SZUA-1128_353:c(366..809)	hypothetical protein	K01823			K01823	K10530
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01065	K06045	[EC:5.4.99.17][EC:4.2.1.129]	shc	squalene-hopene/tetraprenyl-beta-curcumene cyclase	05EWU@bactNOG,0GCF3@delNOG,0HDY5@dproNOG,16Y0H@proNOG,COG1657@NOG	squalene-hopene cyclase			SZUA-1128_353:c(861..2957)	Squalene--hopene cyclase	K06045	K06045	K06045	K06045	K20659
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01066	K00091	[EC:1.1.1.219]	E1.1.1.219	dihydroflavonol-4-reductase	05D20@bactNOG,0GCXW@delNOG,0HDYI@dproNOG,0XQSG@NOG,174TP@proNOG	epimerase dehydratase			SZUA-1128_353:c(3026..4045)	Aurachin B dehydrogenase	K00091	K00091	K00091	K00091	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01067	K01243	[EC:3.2.2.9]	mtnN, mtn, pfs	adenosylhomocysteine nucleosidase	01ZXC@aproNOG,05NSI@bactNOG,11X3G@NOG,17GNB@proNOG	phosphorylase			SZUA-1128_353:c(4042..4587)	hypothetical protein	K01243			K01243	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01068									SZUA-1128_354:c(616..861)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01069	K00338	[EC:1.6.5.3]	nuoI	NADH-quinone oxidoreductase subunit I	04UIZ@bacNOG,05P3U@bactNOG,0NMKN@firmNOG,COG1143@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1128_354:c(914..1507)	NADH-quinone oxidoreductase subunit I	K00338	K00338		K00338	K15831
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01070	K00337	[EC:1.6.5.3]	nuoH	NADH-quinone oxidoreductase subunit H	05CMZ@bactNOG,0D1TP@chloNOG,0G6W3@dehNOG,COG1005@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone (By similarity)			SZUA-1128_354:c(1588..2775)	NADH-quinone oxidoreductase subunit 8	K00337	K00337		K00337	K05572
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01071	K00333	[EC:1.6.5.3]	nuoD	NADH-quinone oxidoreductase subunit D	05CQV@bactNOG,0NEMP@firmNOG,0X2C6@negNOG,COG0649@NOG	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)			SZUA-1128_354:c(2775..3929)	NADH-quinone oxidoreductase subunit 4	K00333	K00333		K00333	K13380
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01072									SZUA-1128_354:c(3929..4330)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01073									SZUA-1128_354:c(4418..4663)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01074	K08279		caiE	carnitine operon protein CaiE	08Z0R@bactNOG,0ET60@cloNOG,0NJ8N@firmNOG,COG0663@NOG	transferase, hexapeptide repeat			SZUA-1128_355:626..1165	Protein YrdA	K08279				K08279
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01075	K18702	[EC:2.8.3.19]	uctC	CoA:oxalate CoA-transferase	05C04@bactNOG,1C803@synNOG,COG1804@NOG	formyl-CoA transferase			SZUA-1128_355:1351..2586	Acetyl-CoA:oxalate CoA-transferase	K18702			K18702	K20882
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01076									SZUA-1128_356:184..492	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01077	K21835	[EC:1.1.98.5]	adf	secondary-alcohol dehydrogenase (coenzyme-F420)	00J9A@actNOG,08M8W@bactNOG,COG2141@NOG	Luciferase-like protein			SZUA-1128_356:c(1032..2084)	Alkanal monooxygenase alpha chain	K21835				K21835
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01078									SZUA-1128_356:c(2147..2350)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01079	K00997	[EC:2.7.8.7]	acpS	holo-[acyl-carrier protein] synthase	05KJV@bactNOG,COG0736@NOG	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)			SZUA-1128_357:c(135..566)	Holo-[acyl-carrier-protein] synthase	K00997	K00997		K00997	K00997
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01080	K00297	[EC:1.5.1.20]	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)	05SYT@bactNOG,0G8CT@deiNOG,COG0685@NOG	Methylenetetrahydrofolate reductase			SZUA-1128_357:c(619..1506)	5,10-methylenetetrahydrofolate reductase	K00297	K00297		K00297	K00297
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01081	K15019	[EC:4.2.1.116]	K15019	3-hydroxypropionyl-coenzyme A dehydratase	02TIM@arNOG,COG1024@NOG	enoyl-CoA hydratase			SZUA-1128_357:c(1676..2455)	putative enoyl-CoA hydratase echA8	K15019			K15019	K20765
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01082	K12466	[EC:1.1.1.275]	E1.1.1.275	(+)-trans-carveol dehydrogenase	00WM6@actNOG,08ABP@bactNOG,0XSIT@NOG	KR domain			SZUA-1128_358:c(133..942)	Dihydroanticapsin 7-dehydrogenase	K12466			K12466	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01083	K11749	[EC:3.4.24.-]	rseP	regulator of sigma E protease	08245@bactNOG,0D2K5@chloNOG,COG0750@NOG	Membrane-associated zinc metalloprotease			SZUA-1128_359:35..1432	Putative zinc metalloprotease	K11749	K11749		K11749	K11749
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01084									SZUA-1128_360:314..745	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01085					05Z9W@bactNOG,127PI@NOG,155H7@plaNOG	Iron-binding zinc finger CDGSH type			SZUA-1128_360:889..1095	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01086	K00263	[EC:1.4.1.9]	E1.4.1.9	leucine dehydrogenase	07RDP@bactNOG,0NEGF@firmNOG,COG0334@NOG	Dehydrogenase			SZUA-1128_360:c(1214..2392)	Leucine dehydrogenase	K00263	K00263		K00263	K00263
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01087	K03768	[EC:5.2.1.8]	PPIB, ppiB	peptidyl-prolyl cis-trans isomerase B (cyclophilin B)	08ZCU@bactNOG,0FN3T@cyaNOG,COG0652@NOG	PPIases accelerate the folding of proteins (By similarity)			SZUA-1128_360:2849..3373	putative peptidyl-prolyl cis-trans isomerase B	K03768		K03768	K01802	K03768
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01088									SZUA-1128_360:c(3497..3760)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01089									SZUA-1128_361:c(319..1053)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01090									SZUA-1128_361:c(1069..1674)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01091	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,0D1GE@chloNOG,COG0154@NOG	Amidase (EC 3.5.1.4)			SZUA-1128_362:c(20..1486)	Putative amidase AmiD	K02433	K02433		K01426	K21801
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01092	K04042	[EC:2.7.7.23][EC:2.3.1.157]	glmU	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase	05CAJ@bactNOG,0D1NS@chloNOG,COG1207@NOG	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)			SZUA-1128_362:1743..3113	Bifunctional protein GlmU	K04042	K04042		K04042	K20681
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01093									SZUA-1128_363:29..274	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01094	K10773	[EC:4.2.99.18]	NTH	endonuclease III	05CSM@bactNOG,0D2B7@chloNOG,0D8TY@chlorNOG,COG0177@NOG	DNA-(Apurinic or apyrimidinic site) lyase			SZUA-1128_363:398..1267	Endonuclease III	K10773	K10773		K10773	K10773
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01095					05F5M@bactNOG,09D0B@bctoNOG,0XRYF@NOG	major facilitator superfamily MFS_1			SZUA-1128_364:c(247..1500)	putative sulfoacetate transporter SauU					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01096	K00721	[EC:2.4.1.83]	DPM1	dolichol-phosphate mannosyltransferase	0FBTY@creNOG,COG0463@NOG,arCOG00895@arNOG	glycosyl transferase family 2			SZUA-1128_365:c(280..1026)	Polyprenol monophosphomannose synthase	K00721	K00721		K00721	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01097									SZUA-1128_365:c(1182..2321)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01098	K20816	[EC:3.5.2.19]	sttH	streptothricin hydrolase	05D3W@bactNOG,0QK2U@gproNOG,16QYX@proNOG,COG1335@NOG	Isochorismatase			SZUA-1128_366:c(273..875)	Isochorismatase family protein YecD	K20816				K20816
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01099	K17686	[EC:3.6.3.54]	copA, ATP7	Cu+-exporting ATPase					SZUA-1128_366:c(939..1142)	hypothetical protein	K17686	K17686			
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01100					05MZW@bactNOG,0GK8P@delNOG,0HKEZ@dproNOG,0XRQX@NOG,16TPW@proNOG	acyl-CoA dehydrogenase domain-containing protein			SZUA-1128_366:c(1223..2398)	Caffeyl-CoA reductase-Etf complex subunit CarC					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01101					05CC9@bactNOG,0XNVZ@NOG	acyl-Coa dehydrogenase			SZUA-1128_366:c(2518..3720)	Acyl-CoA dehydrogenase FadE29					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01102									SZUA-1128_367:132..536	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01104									SZUA-1128_367:1600..1806	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01105									SZUA-1128_368:198..329	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01106	K06999		K06999	phospholipase/carboxylesterase	022K9@aproNOG,08TJ1@bactNOG,17PTC@proNOG,COG0400@NOG	phospholipase Carboxylesterase			SZUA-1128_368:c(1635..2372)	hypothetical protein	K06999			K06999	K06999
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01107	K20765	[EC:3.7.1.18]	camK	6-oxocamphor hydrolase	08TT0@bactNOG,COG1024@NOG	enoyl-CoA hydratase isomerase			SZUA-1128_369:384..1124	6-oxocamphor hydrolase	K20765				K20765
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01108	K07104	[EC:1.13.11.2]	catE	catechol 2,3-dioxygenase	0600F@bactNOG,1275I@NOG,17NCC@proNOG	glyoxalase bleomycin resistance protein dioxygenase			SZUA-1128_369:1312..1776	Biphenyl-2,3-diol 1,2-dioxygenase 2	K07104			K07104	
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01109	K01692	[EC:4.2.1.17]	paaF, echA	enoyl-CoA hydratase	02TIM@arNOG,COG1024@NOG	enoyl-CoA hydratase			SZUA-1128_370:c(688..1419)	putative enoyl-CoA hydratase echA8	K01692	K01692		K15019	K20765
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01110									SZUA-1128_370:c(1437..2030)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01111					0M1ZV@eurNOG,0WPKS@methaNOG,COG3391@NOG,arCOG03561@arNOG,arCOG03611@arNOG	NHL repeat			SZUA-1128_371:c(21..1079)	Serine/threonine-protein kinase PknD					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01112					05SGK@bactNOG,0D4W8@chloNOG,COG4102@NOG	Protein of unknown function (DUF1501)			SZUA-1128_371:c(1263..2399)	hypothetical protein					
Dehalococcoidia_bacterium_SZUA-1128|SZUA-1128_01113					01X7Z@aproNOG,07MZC@bactNOG,16TDW@proNOG,COG5267@NOG	Protein of unknown function (DUF1800)			SZUA-1128_371:c(2517..3941)	hypothetical protein					
