#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01454	K01207	[EC:3.2.1.52]	nagZ	beta-N-acetylhexosaminidase	07QPA@bactNOG,0GC6W@delNOG,0HCZQ@dproNOG,16PKR@proNOG,COG1472@NOG	Glycoside hydrolase family 3 domain protein			SZUA-1123_76:30096..31193	Beta-hexosaminidase	K01207	K01207		K01207	K20836
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01455	K01297	[EC:3.4.17.13]	ldcA	muramoyltetrapeptide carboxypeptidase	004P0@aciNOG,05EBE@bactNOG,COG1619@NOG	Peptidase U61, LD-carboxypeptidase A			SZUA-1123_76:31292..32212	putative murein peptide carboxypeptidase	K01297	K01297		K01297	K01297
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01456	K02558	[EC:6.3.2.45]	mpl	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	05DFU@bactNOG,1DGS2@verNOG,1DMA6@verrNOG,COG0773@NOG	Mur ligase family, glutamate ligase domain			SZUA-1123_76:32209..33627	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl- meso-2,6-diaminoheptandioate ligase	K02558	K02558		K02558	K02558
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01457	K03086		rpoD	RNA polymerase primary sigma factor	003E3@aciNOG,05DG1@bactNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1123_77:82..324	RNA polymerase sigma factor RpoD	K03086	K03086		K02316	K03089
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01458	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	05DR5@bactNOG,0G4Y1@defNOG,COG0739@NOG	peptidase M23			SZUA-1123_77:590..1486	Murein DD-endopeptidase MepM	K21472				K21472
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01459	K03070		secA	preprotein translocase subunit SecA	003FK@aciNOG,05CI6@bactNOG,COG0653@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)			SZUA-1123_77:1705..4593	Protein translocase subunit SecA	K03070	K03070	K03070	K03070	K03070
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01460	K00088	[EC:1.1.1.205]	IMPDH, guaB	IMP dehydrogenase	05CP4@bactNOG,0GAJS@delNOG,0HBT9@dproNOG,16Q4Q@proNOG,COG0516@NOG,COG0517@NOG	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)			SZUA-1123_77:4583..6121	Inosine-5'-monophosphate dehydrogenase	K00088	K00088	K00088	K00088	K07200
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01461	K06925		tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	05K8N@bactNOG,COG0802@NOG	protein family UPF0079, ATPase			SZUA-1123_77:c(6165..6638)	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	K06925	K06925	K06925	K06925	K06925
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01462	K17758	[EC:4.2.1.136]	nnr	ADP-dependent NAD(P)H-hydrate dehydratase	05DR1@bactNOG,0ENQH@cloNOG,0NENH@firmNOG,COG0062@NOG,COG0063@NOG	Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration (By similarity)			SZUA-1123_77:c(6686..8296)	Bifunctional NAD(P)H-hydrate repair enzyme Nnr	K17758			K17758	K17758
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01463	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	07QSG@bactNOG,COG0115@NOG	brancheD-chain amino acid aminotransferase			SZUA-1123_77:8481..9365	D-alanine aminotransferase	K00826	K00826		K00824	K03342
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01464	K00281	[EC:1.4.4.2]	GLDC, gcvP	glycine dehydrogenase	05CBI@bactNOG,099KB@bctoNOG,COG0403@NOG,COG1003@NOG	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor			SZUA-1123_77:c(9438..11144)	Glycine dehydrogenase (decarboxylating)	K00281	K00281		K00281	K00283
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01465	K21366	[EC:2.4.1.122]	wbnJ	N-acetylgalactosaminide beta-1,3-galactosyltransferase	05DVB@bactNOG,0D1Y5@chloNOG,COG0463@NOG	glycosyl transferase family 2			SZUA-1123_78:c(132..812)	Polyprenol monophosphomannose synthase	K21366				K21366
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01466									SZUA-1123_78:c(883..1743)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01467					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_78:c(1753..3048)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01468					004XW@aciNOG,05DXW@bactNOG,0XQEH@NOG	Inherit from bactNOG: Membrane associated hydrolase			SZUA-1123_78:c(3386..6361)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01469									SZUA-1123_78:6718..6873	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01470					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_78:7189..8601	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01471									SZUA-1123_78:8635..9558	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01472	K14059		int	integrase	05EZJ@bactNOG,0GBH3@delNOG,0HCZI@dproNOG,17617@proNOG,COG0582@NOG	Phage integrase			SZUA-1123_78:9578..10159	Tyrosine recombinase XerD	K14059			K14059	K14059
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01473					08QTF@bactNOG,0ZGS2@NOG	amine oxidase			SZUA-1123_79:19..939	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01474	K10536	[EC:3.5.3.12]	aguA	agmatine deiminase	0008G@acidNOG,00387@aciNOG,05DWY@bactNOG,COG2957@NOG	Agmatine deiminase			SZUA-1123_79:c(1049..2167)	Agmatine deiminase	K10536	K10536		K10536	K10536
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01475	K12251	[EC:3.5.1.53]	aguB	N-carbamoylputrescine amidase	08TZB@bactNOG,0D34E@chloNOG,0D6PT@chlorNOG,COG0388@NOG	Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase			SZUA-1123_79:c(2188..3129)	N-carbamoyl-D-amino acid hydrolase	K12251	K12251		K12251	K20806
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01476									SZUA-1123_79:c(3151..3960)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01477	K07126		K07126	uncharacterized protein	05EUU@bactNOG,0BAZ8@bproNOG,16RFM@proNOG,COG0790@NOG	repeat-containing protein			SZUA-1123_79:c(4207..5406)	Secretory immunoglobulin A-binding protein EsiB	K07126	K07126		K07126	K21217
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01478									SZUA-1123_79:5669..5818	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01480									SZUA-1123_79:c(6277..6387)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01481									SZUA-1123_79:c(6401..6727)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01482									SZUA-1123_79:6835..7065	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01483									SZUA-1123_79:c(7181..7729)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01484	K00759	[EC:2.4.2.7]	APRT, apt	adenine phosphoribosyltransferase	003RM@aciNOG,09003@bactNOG,COG0503@NOG	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis (By similarity)			SZUA-1123_79:c(7726..8247)	Adenine phosphoribosyltransferase	K00759	K00759	K00759	K00759	K09685
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01485	K01512	[EC:3.6.1.7]	acyP	acylphosphatase	05VSY@bactNOG,COG1254@NOG	K01512 acylphosphatase EC 3.6.1.7			SZUA-1123_79:c(8315..8593)	Acylphosphatase	K01512	K01512		K01512	K01512
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01486	K00847	[EC:2.7.1.4]	E2.7.1.4, scrK	fructokinase	01SH2@aproNOG,05DKQ@bactNOG,16QXD@proNOG,COG1940@NOG	(ROK) family			SZUA-1123_79:8715..9638	Fructokinase	K00847	K00847		K00845	K20433
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01487	K17865	[EC:4.2.1.55]	croR	3-hydroxybutyryl-CoA dehydratase	08Z7G@bactNOG,0GHP2@delNOG,16VTJ@proNOG,COG2030@NOG	MaoC domain protein			SZUA-1123_79:9735..10172	(R)-specific enoyl-CoA hydratase	K17865			K17865	K19659
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01489	K03787	[EC:3.1.3.5]	surE	5'-nucleotidase	05CV2@bactNOG,0GANE@delNOG,0HCVY@dproNOG,16QBE@proNOG,COG0496@NOG	Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates (By similarity)			SZUA-1123_79:c(10536..11294)	5'-nucleotidase SurE	K03787	K03787		K03787	K03787
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01490	K01772	[EC:4.99.1.1][EC:4.99.1.9]	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase	07QME@bactNOG,153HW@plaNOG,COG0276@NOG	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)			SZUA-1123_79:11430..12440	Ferrochelatase	K01772	K01772		K01772	K01772
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01491					004MT@aciNOG,08Y6J@bactNOG,11J34@NOG	Pfam:DUF1094			SZUA-1123_79:c(12437..12871)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01492	K03308		TC.NSS	neurotransmitter:Na+ symporter, NSS family	05C8J@bactNOG,09MD2@bctoNOG,COG0733@NOG	Sodium:neurotransmitter symporter family			SZUA-1123_79:c(12922..14382)	hypothetical protein	K03308	K03308		K03308	K03308
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01493	K13640		hspR	MerR family transcriptional regulator, heat shock protein HspR	05KNI@bactNOG,0D38G@chloNOG,COG0789@NOG	transcriptional regulator, MerR family			SZUA-1123_79:14660..14998	Putative heat shock protein HspR	K13640	K13640		K13640	K21972
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01494	K05516		cbpA	curved DNA-binding protein	05DVC@bactNOG,COG2214@NOG	DnaJ domain protein			SZUA-1123_79:14998..15978	Chaperone protein DnaJ	K05516	K05516		K05516	K17867
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01495	K03695		clpB	ATP-dependent Clp protease ATP-binding subunit ClpB	05C2Z@bactNOG,0D1ME@chloNOG,COG0542@NOG	ATP-dependent chaperone ClpB			SZUA-1123_79:15975..18584	Chaperone protein ClpB 1	K03695	K03695		K03695	K11907
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01496	K03628		rho	transcription termination factor Rho	0032W@aciNOG,05C4P@bactNOG,COG1158@NOG	Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template (By similarity)			SZUA-1123_79:c(18744..20189)	Transcription termination factor Rho	K03628	K03628	K03628	K03628	K03628
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01497	K06929		K06929	uncharacterized protein	082HV@bactNOG,154X2@plaNOG,COG1832@NOG	CoA-binding domain protein			SZUA-1123_79:c(20286..20660)	putative protein YccU	K06929	K06929		K06929	K06929
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01498	K07264	[EC:2.4.2.43]	arnT, pmrK	4-amino-4-deoxy-L-arabinose transferase	05SA9@bactNOG,0FM94@cyaNOG,COG1807@NOG	Glycosyl transferase family 39			SZUA-1123_79:20886..22604	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase	K07264				K07264
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01499	K04069	[EC:1.97.1.4]	pflA, pflC, pflE	pyruvate formate lyase activating enzyme	07R69@bactNOG,0D298@chloNOG,COG1180@NOG	Radical SAM domain protein			SZUA-1123_79:22635..23753	Pyruvate formate-lyase-activating enzyme	K04069	K04069		K04069	K20037
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01500	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	05CHM@bactNOG,0ENQA@cloNOG,0ND77@firmNOG,COG0436@NOG	Aminotransferase			SZUA-1123_79:c(24009..25193)	Aspartate aminotransferase	K00812	K00812		K00812	K20615
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01501	K00954	[EC:2.7.7.3]	E2.7.7.3A, coaD, kdtB	pantetheine-phosphate adenylyltransferase	004GR@aciNOG,08ZEF@bactNOG,COG0669@NOG	Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)			SZUA-1123_79:c(25186..25701)	Phosphopantetheine adenylyltransferase	K00954	K00954	K00954	K00954	K00954
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01502	K08316	[EC:2.1.1.171]	rsmD	16S rRNA (guanine966-N2)-methyltransferase	00KHP@actNOG,06H78@bactNOG,COG0742@NOG	Methyltransferase			SZUA-1123_79:c(25674..26252)	Ribosomal RNA small subunit methyltransferase D	K08316			K08316	K08316
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01503	K03655	[EC:3.6.4.12]	recG	ATP-dependent DNA helicase RecG	003DE@aciNOG,05CB5@bactNOG,COG1200@NOG	ATP-dependent DNA helicase RecG			SZUA-1123_79:c(26401..28521)	ATP-dependent DNA helicase RecG	K03655	K03655	K03655	K03655	K03655
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01504									SZUA-1123_79:c(28532..29194)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01505	K00852	[EC:2.7.1.15]	rbsK, RBKS	ribokinase	0029I@acidNOG,004GH@aciNOG,081FW@bactNOG,COG0524@NOG	pfkB family carbohydrate kinase			SZUA-1123_79:c(29258..30172)	Sulfofructose kinase	K00852			K00852	K21621
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01506	K01356	[EC:3.4.21.88]	lexA	repressor LexA	05DS7@bactNOG,COG1974@NOG	Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity)			SZUA-1123_79:30496..31101	LexA repressor	K01356	K01356		K01356	K03503
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01507									SZUA-1123_79:31313..31627	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01508	K10773	[EC:4.2.99.18]	NTH	endonuclease III	00BUY@actNOG,05CSM@bactNOG,COG0177@NOG	endonuclease III			SZUA-1123_79:31682..32377	Endonuclease III	K10773	K10773		K10773	K10773
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01509					05M0B@bactNOG,0D2ZI@chloNOG,0G7DZ@dehNOG,COG3824@NOG	Possibl zinc metallo-peptidase			SZUA-1123_79:32374..32763	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01510	K02528	[EC:2.1.1.182]	ksgA	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	003WK@aciNOG,05D1X@bactNOG,COG0030@NOG	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)			SZUA-1123_79:32855..33601	Ribosomal RNA small subunit methyltransferase A	K02528	K02528		K02528	K14191
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01511	K12574	[EC:3.1.-.-]	rnj	ribonuclease J	05CN5@bactNOG,0GBE6@delNOG,0HCIE@dproNOG,16QP7@proNOG,COG0595@NOG	beta-lactamase domain protein			SZUA-1123_79:34099..35832	Ribonuclease J2	K12574	K12574		K12574	K12574
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01512	K03466		ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	003RQ@aciNOG,07QZI@bactNOG,COG1674@NOG	cell division protein FtsK			SZUA-1123_79:35836..38145	DNA translocase FtsK	K03466	K03466		K03466	K03466
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01513	K01448	[EC:3.5.1.28]	amiABC	N-acetylmuramoyl-L-alanine amidase	000VQ@acidNOG,0031M@aciNOG,05C5C@bactNOG,COG0860@NOG	cell wall hydrolase autolysin			SZUA-1123_79:38247..40466	N-acetylmuramoyl-L-alanine amidase AmiA	K01448	K01448		K01448	K01448
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01514									SZUA-1123_79:c(40577..40822)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01515	K01255	[EC:3.4.11.1]	CARP, pepA	leucyl aminopeptidase	00346@aciNOG,05BZ6@bactNOG,COG0260@NOG	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides (By similarity)			SZUA-1123_79:c(40854..42359)	Cytosol aminopeptidase	K01255	K01255	K01255	K01255	K07751
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01516									SZUA-1123_79:42440..42868	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01517	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	05EVN@bactNOG,099I4@bctoNOG,COG0287@NOG	prephenate dehydrogenase			SZUA-1123_79:c(43105..44028)	Cyclohexadienyl dehydrogenase	K04517	K04517		K00210	K15226
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01518	K03856	[EC:2.5.1.54]	AROA2, aroA	3-deoxy-7-phosphoheptulonate synthase	007BI@aciNOG,08JPM@bactNOG,COG2876@NOG	ec 2.5.1.54			SZUA-1123_79:c(44111..45160)	Phospho-2-dehydro-3-deoxyheptonate aldolase	K03856	K03856		K03856	K13853
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01519	K04093	[EC:5.4.99.5]	pheA1	chorismate mutase	061EI@bactNOG,COG1605@NOG	Chorismate mutase			SZUA-1123_79:c(45192..45518)	Protein AroA(G)	K04093			K04093	K14187
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01520	K01695	[EC:4.2.1.20]	trpA	tryptophan synthase alpha chain	0007E@acidNOG,003QU@aciNOG,05F6H@bactNOG,COG0159@NOG	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)			SZUA-1123_79:c(45515..46330)	Tryptophan synthase alpha chain	K01695	K01695	K01695	K00571	K01695
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01521	K01696	[EC:4.2.1.20]	trpB	tryptophan synthase beta chain	05CG0@bactNOG,COG0133@NOG	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine (By similarity)			SZUA-1123_79:c(46327..47604)	Tryptophan synthase beta chain	K01696	K01696		K01696	K16187
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01522	K01817	[EC:5.3.1.24]	trpF	phosphoribosylanthranilate isomerase	08ZGB@bactNOG,0GEPF@delNOG,0HFNQ@dproNOG,17BIG@proNOG,COG0135@NOG	N-(5'phosphoribosyl)anthranilate isomerase			SZUA-1123_79:c(47601..48260)	N-(5'-phosphoribosyl)anthranilate isomerase	K01817	K01817		K01817	K16187
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01523	K01609	[EC:4.1.1.48]	trpC	indole-3-glycerol phosphate synthase	05DK0@bactNOG,0GARV@delNOG,0HERU@dproNOG,16RB3@proNOG,COG0134@NOG	Indole-3-glycerol phosphate synthase			SZUA-1123_79:c(48260..49129)	Indole-3-glycerol phosphate synthase	K01609	K01609		K01609	K13501
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01524	K00766	[EC:2.4.2.18]	trpD	anthranilate phosphoribosyltransferase	08I0Q@bactNOG,0F6YP@cloNOG,0P62P@firmNOG,COG0547@NOG	Anthranilate phosphoribosyltransferase			SZUA-1123_79:c(49126..50154)	Anthranilate phosphoribosyltransferase	K00766	K00766		K00766	K13497
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01525	K01658	[EC:4.1.3.27]	trpG	anthranilate synthase component II	000F4@acidNOG,003E8@aciNOG,07R6E@bactNOG,COG0512@NOG	Glutamine amidotransferase of anthranilate synthase			SZUA-1123_79:c(50154..50720)	Aminodeoxychorismate/anthranilate synthase component 2	K01658	K01658	K01658	K01658	K21175
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01526	K01657	[EC:4.1.3.27]	trpE	anthranilate synthase component I	05CRQ@bactNOG,09A96@bctoNOG,COG0147@NOG	anthranilate synthase component I			SZUA-1123_79:c(50836..52311)	Anthranilate synthase component 1	K01657	K01657	K01665	K01657	K20159
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01527	K13832	[EC:4.2.1.10][EC:1.1.1.25]	aroDE, DHQ-SDH	3-dehydroquinate dehydratase / shikimate dehydrogenase	05E2X@bactNOG,15313@plaNOG,COG0169@NOG,COG0710@NOG	shikimate 5-dehydrogenase			SZUA-1123_79:c(52308..53792)	Shikimate dehydrogenase (NADP(+))	K13832	K13832		K00014	K13832
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01528					0040I@aciNOG,07V9T@bactNOG,0ZD6H@NOG	Inherit from NOG: peptidase, S55			SZUA-1123_79:54141..55982	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01529					00336@aciNOG,08NNQ@bactNOG,119Z6@NOG	Inherit from bactNOG: YD repeat protein			SZUA-1123_79:56271..58448	Virginiamycin B lyase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01530					05RAA@bactNOG,1DI99@verNOG,COG0457@NOG,COG3914@NOG	Tetratricopeptide TPR_2 repeat protein			SZUA-1123_79:58575..59708	Beta-barrel assembly-enhancing protease					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01531	K06374		spmB	spore maturation protein B	05DX7@bactNOG,0QJQD@gproNOG,16QNY@proNOG,COG0700@NOG,COG2715@NOG	nucleoside recognition domain-containing protein			SZUA-1123_79:59727..61037	Spore maturation protein B	K06374		K06374	K06374	K06373
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01532	K07713		zraR, hydG	two-component system, NtrC family, response regulator HydG	05C1W@bactNOG,0GAJR@delNOG,0HBXT@dproNOG,16PNY@proNOG,COG2204@NOG	two component, sigma54 specific, transcriptional regulator, Fis family			SZUA-1123_79:c(61034..62002)	Regulatory protein AtoC	K07713			K07713	K20919
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01533									SZUA-1123_79:62227..62457	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01534					005ZZ@aciNOG,05D9A@bactNOG,0XPNR@NOG	Thiol-disulfide isomerase			SZUA-1123_80:326..1657	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01535	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,0B9J3@bproNOG,16RK0@proNOG,COG4993@NOG	Pfam:PQQ_N			SZUA-1123_80:c(1800..3530)	Quinohemoprotein alcohol dehydrogenase ADH-IIG	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01536	K00525	[EC:1.17.4.1]	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain	05BZH@bactNOG,0GAZ3@delNOG,0HC3X@dproNOG,16PBB@proNOG,COG0209@NOG	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)			SZUA-1123_81:28..1053	Vitamin B12-dependent ribonucleotide reductase	K00525	K00525		K00525	K00525
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01537					08VIM@bactNOG,11JNJ@NOG	Protein of unknown function, DUF547			SZUA-1123_81:1044..2006	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01538	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05WYC@bactNOG,0GDQU@delNOG,0HEKQ@dproNOG,179FV@proNOG,COG1028@NOG	Short-chain dehydrogenase reductase SDR			SZUA-1123_81:2201..2980	3-alpha-hydroxycholanate dehydrogenase (NADP(+))	K00059	K00059		K00059	K21883
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01539	K06877		K06877	DEAD/DEAH box helicase domain-containing protein	08I5C@bactNOG,COG1205@NOG	dEAD DEAH box helicase			SZUA-1123_81:3296..5770	DEAD-box ATP-dependent RNA helicase CshA	K06877	K06877	K06877	K06877	K06877
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01540	K07502		yprB	uncharacterized protein	07X2U@bactNOG,0F4P4@cloNOG,0P2UA@firmNOG,COG3359@NOG	Inherit from COG: Exonuclease-like protein			SZUA-1123_81:5870..7177	hypothetical protein	K07502	K07502		K07502	K07502
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01541	K02909		RP-L31, rpmE	large subunit ribosomal protein L31	082DI@bactNOG,0GGQ4@delNOG,0HHCS@dproNOG,16WRU@proNOG,COG0254@NOG	Binds the 23S rRNA (By similarity)			SZUA-1123_81:c(7180..7446)	50S ribosomal protein L31	K02909	K02909		K02909	K02909
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_01542	K03978		engB	GTP-binding protein	05WHM@bactNOG,0ESDG@cloNOG,0NE4Q@firmNOG,COG0218@NOG	Necessary for normal cell division and for the maintenance of normal septation (By similarity)			SZUA-1123_81:c(7728..8345)	putative GTP-binding protein EngB	K03978	K03978		K03978	K03978
