#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01214	K02575		NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter	07R3J@bactNOG,0QM4K@gproNOG,16UX5@proNOG,COG2223@NOG	transporter			SZUA-1235_72:c(22337..23797)	Nitrate/nitrite transporter NrtP	K02575	K02575		K02575	K10850
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01215									SZUA-1235_72:c(24104..25258)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01216	K17297		TSPAN15	tetraspanin-15					SZUA-1235_72:25398..25613	hypothetical protein	K17297	K17297			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01217					08G35@bactNOG,0QKT1@gproNOG,0ZNWI@NOG,175HX@proNOG	Outer membrane efflux protein			SZUA-1235_72:25869..27140	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01218	K07798		cusB, silB	membrane fusion protein, Cu(I)/Ag(I) efflux system	05EP1@bactNOG,0QIAK@gproNOG,0XPHF@NOG,16QBP@proNOG	Efflux transporter, RND family, MFP subunit			SZUA-1235_72:27137..28360	Cation efflux system protein CusB	K07798	K07798		K07798	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01219	K07787		cusA, silA	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	08IJF@bactNOG,0RARE@gproNOG,172TN@proNOG,COG3696@NOG	Heavy metal efflux pump, CzcA			SZUA-1235_72:28357..31485	Cation efflux system protein CusA	K07787	K07787		K07787	K15726
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01220	K09912		K09912	uncharacterized protein	05IUQ@bactNOG,0QIE7@gproNOG,17DM9@proNOG,COG3122@NOG	nucleoprotein polynucleotide-associated enzyme			SZUA-1235_72:31552..32097	hypothetical protein	K09912	K09912		K09912	K09912
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01221	K07019		K07019	uncharacterized protein	05DNZ@bactNOG,0QKDR@gproNOG,16R8A@proNOG,COG0429@NOG	Alpha beta hydrolase			SZUA-1235_72:32550..33419	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	K07019	K07019		K07019	K07019
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01222	K00243		K00243	uncharacterized protein	05QNR@bactNOG,0QMBN@gproNOG,16UXU@proNOG,COG2996@NOG	Rna binding s1			SZUA-1235_72:33482..34315	Conserved virulence factor B	K00243	K00243		K00243	K00243
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01223									SZUA-1235_72:34440..34694	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01224					08Y56@bactNOG,0QR4E@gproNOG,11JAZ@NOG,17AEB@proNOG	leucyl, phenylalanyl-tRNA-protein transferase			SZUA-1235_72:c(34908..35528)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01225					08SQT@bactNOG,11H7R@NOG				SZUA-1235_72:c(35627..37303)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01226					05YT2@bactNOG,0FPJU@cyaNOG,126Y3@NOG				SZUA-1235_72:c(37425..37646)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01227					05W4U@bactNOG,0QV8D@gproNOG,122TT@NOG,17K6S@proNOG	Zinc finger, CDGSH-type domain protein			SZUA-1235_72:37790..38029	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01228									SZUA-1235_72:c(38168..38368)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01229	K11179	[EC:2.8.1.-]	tusE, dsrC	tRNA 2-thiouridine synthesizing protein E	0615A@bactNOG,129H8@NOG,17S7I@proNOG	DsrC like protein			SZUA-1235_72:c(38431..38754)	Sulfite reductase, dissimilatory-type subunit gamma	K11179	K11179		K11179	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01230					05BZU@bactNOG,0D1VG@chloNOG,0D6BP@chlorNOG,0XNMH@NOG	Multi-sensor hybrid histidine kinase			SZUA-1235_72:c(39213..40403)	Autoinducer 2 sensor kinase/phosphatase LuxQ					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01231	K07814		K07814	putative two-component system response regulator	05DW3@bactNOG,0FJRD@cyaNOG,COG3437@NOG	response regulator			SZUA-1235_72:c(40420..41412)	Cyclic di-GMP phosphodiesterase response regulator RpfG	K07814	K07814	K07814	K07814	K19617
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01232					05BZU@bactNOG,0GAXM@delNOG,0HC0X@dproNOG,0XNMH@NOG,16PBK@proNOG	Histidine kinase			SZUA-1235_72:c(41496..41885)	Sensor histidine kinase TodS					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01233					05BZU@bactNOG,0D4HE@chloNOG,0D8WB@chlorNOG,0XNMH@NOG	PAC			SZUA-1235_72:c(41882..43549)	Sensory/regulatory protein RpfC					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01234					08URM@bactNOG,0R764@gproNOG,11JP4@NOG,17ANJ@proNOG	Heme NO binding			SZUA-1235_72:c(43700..44602)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01235					05BZU@bactNOG,0QMVA@gproNOG,0XNMH@NOG,16PBK@proNOG	Histidine kinase			SZUA-1235_73:191..2560	Autoinducer 2 sensor kinase/phosphatase LuxQ					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01236	K11354	[EC:2.7.13.3]	cph1	two-component system, chemotaxis family, sensor kinase Cph1	07TW5@bactNOG,0QVF4@gproNOG,16QMJ@proNOG,COG4251@NOG	PAS fold			SZUA-1235_73:2557..3393	putative cyclic di-GMP phosphodiesterase	K11354				K11354
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01237	K03892		arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	080HT@bactNOG,0R9XI@gproNOG,16WHQ@proNOG,COG0640@NOG	Transcriptional Regulator, ArsR family			SZUA-1235_73:3454..3771	Biofilm growth-associated repressor	K03892			K03892	K22043
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01238	K01768	[EC:4.6.1.1]	E4.6.1.1	adenylate cyclase	05F8J@bactNOG,0QKCN@gproNOG,16R78@proNOG,COG2114@NOG	Adenylate guanylate Cyclase			SZUA-1235_73:c(3772..5787)	Adenylate cyclase 1	K01768	K01768		K01768	K05345
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01239									SZUA-1235_73:c(5848..6141)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01240	K07152		SCO1_2	protein SCO1/2	08ZX6@bactNOG,0QS9K@gproNOG,17CF5@proNOG,COG1999@NOG	Electron transport protein SCO1 SenC			SZUA-1235_73:6261..6896	SCO1 protein	K07152	K07152		K07152	K07152
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01241	K09796		pccA	periplasmic copper chaperone A	05NG1@bactNOG,0QVSB@gproNOG,17FEF@proNOG,COG2847@NOG	Copper metallochaperone, bacterial analog of Cox17 protein			SZUA-1235_73:6893..7315	hypothetical protein	K09796	K09796		K09796	K09796
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01242	K19824		fprB	rubrerythrin	08RAC@bactNOG,0QQEU@gproNOG,17AA9@proNOG,COG1592@NOG	Rubrerythrin			SZUA-1235_73:7475..7894	Rubrerythrin	K19824				K19824
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01243	K00113	[EC:1.1.5.3]	glpC	glycerol-3-phosphate dehydrogenase subunit C	05CHG@bactNOG,0QIZ3@gproNOG,16QTR@proNOG,COG0247@NOG	dehydrogenase subunit C			SZUA-1235_73:7934..9277	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	K00113			K00113	K21834
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01244					09066@bactNOG,0QT46@gproNOG,17CGD@proNOG,COG1652@NOG	LysM domain BON superfamily protein			SZUA-1235_73:c(9318..10154)	putative protein YgaU					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01245	K08289	[EC:2.1.2.2]	purT	phosphoribosylglycinamide formyltransferase 2	08HH9@bactNOG,0RAFT@gproNOG,1727S@proNOG,COG0027@NOG	Catalyzes two reactions the first one is the production of beta-formyl glycinamide ribonucleotide (GAR) from formate, ATP and beta GAR			SZUA-1235_73:c(10380..11564)	Formate-dependent phosphoribosylglycinamide formyltransferase	K08289	K08289		K08289	K08289
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01246	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	08ZC7@bactNOG,0QS4H@gproNOG,17C7V@proNOG,COG0784@NOG	response regulator			SZUA-1235_74:546..908	Chemotaxis protein CheY	K03413	K03413	K03413	K03413	K21025
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01247									SZUA-1235_74:980..1318	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01248	K00575	[EC:2.1.1.80]	cheR	chemotaxis protein methyltransferase CheR	05BZU@bactNOG,0QKH8@gproNOG,0XNMH@NOG,16RUM@proNOG	Methylation of the membrane-bound methyl-accepting chemotaxis proteins (MCP) to form gamma-glutamyl methyl ester residues in MCP (By similarity)			SZUA-1235_74:1311..2183	Chemotaxis protein methyltransferase	K00575	K00575	K00575	K00575	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01249									SZUA-1235_74:2233..2322	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01250	K03406		mcp	methyl-accepting chemotaxis protein	08ZS9@bactNOG,0QS21@gproNOG,11PIT@NOG,17CPC@proNOG	methyl-accepting chemotaxis			SZUA-1235_74:2563..3657	Methyl-accepting chemotaxis protein 4	K03406	K03406		K03406	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01251	K20978		hsbA	HptB-dependent secretion and biofilm anti anti-sigma factor	05VF8@bactNOG,17NCT@proNOG,COG1366@NOG	antagonist			SZUA-1235_74:3798..4016	STAS-domain containing protein	K20978	K20978			K20978
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01252	K20977		hsbR	two-component system, HptB-dependent secretion and biofilm response regulator	05D7R@bactNOG,COG2208@NOG	response regulator			SZUA-1235_74:4022..5749	Response regulator PleD	K20977	K20977		K07315	K20977
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01253	K03553		recA	recombination protein RecA	05C68@bactNOG,0QJ48@gproNOG,16Q80@proNOG,COG0468@NOG	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)			SZUA-1235_75:c(298..1344)	Protein RecA	K03553	K03553	K03553	K03553	K04484
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01254	K07715		glrR, qseF	two-component system, NtrC family, response regulator GlrR					SZUA-1235_76:475..714	hypothetical protein	K07715	K07715			
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01255	K01282	[EC:3.4.14.-]	E3.4.14.-	dipeptidyl aminopeptidase	07RDR@bactNOG,0FJDW@cyaNOG,COG1506@NOG	peptidase			SZUA-1235_76:726..2681	Dipeptidyl aminopeptidase BIII	K01282				K01282
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01256									SZUA-1235_76:2678..2770	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01257	K00847	[EC:2.7.1.4]	E2.7.1.4, scrK	fructokinase	05D7K@bactNOG,0R8GJ@gproNOG,16UR2@proNOG,COG0524@NOG	PfkB domain protein			SZUA-1235_76:2774..3688	5-dehydro-2-deoxygluconokinase	K00847	K00847		K00847	K21621
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01258	K00696	[EC:2.4.1.14]	E2.4.1.14	sucrose-phosphate synthase	08WB2@bactNOG,0EVTV@cloNOG,0NND8@firmNOG,COG0438@NOG,COG0561@NOG	Sucrose synthase			SZUA-1235_76:3902..5941	Sucrose synthase	K00696	K00696	K00696	K00696	K21064
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01259	K00695	[EC:2.4.1.13]	E2.4.1.13	sucrose synthase	05Q84@bactNOG,0QNIH@gproNOG,0XSQT@NOG,176RQ@proNOG	sucrose synthase			SZUA-1235_76:5938..8334	Sucrose synthase	K00695	K00695	K00695	K00695	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01260	K03688		ubiB, aarF	ubiquinone biosynthesis protein	05CNK@bactNOG,COG0001@NOG,COG0661@NOG	Required, probably indirectly, for the hydroxylation of 2-octaprenylphenol to 2-octaprenyl-6-hydroxy-phenol, the fourth step in ubiquinone biosynthesis (By similarity)			SZUA-1235_76:8585..10672	putative protein kinase UbiB	K03688	K03688		K03688	K03688
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01261					07MBR@bactNOG,0QMT2@gproNOG,1744V@proNOG,COG3134@NOG	17 kDa surface antigen			SZUA-1235_76:11169..11726	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01262	K01772	[EC:4.99.1.1][EC:4.99.1.9]	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase	05CFX@bactNOG,0QIKD@gproNOG,16PPJ@proNOG,COG0276@NOG	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)			SZUA-1235_76:c(11748..12755)	Ferrochelatase	K01772	K01772	K01772	K01772	K01772
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01263	K02203	[EC:3.1.3.3][EC:2.7.1.39]	thrH	phosphoserine / homoserine phosphotransferase	05ECA@bactNOG,0QM6Z@gproNOG,16S02@proNOG,COG0560@NOG	phosphoserine phosphatase			SZUA-1235_76:c(12752..13360)	Phosphoserine phosphatase	K02203	K02203		K01079	K18697
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01264	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	08ZC7@bactNOG,0QS4H@gproNOG,17C7V@proNOG,COG0784@NOG	response regulator			SZUA-1235_76:c(13502..13870)	Chemotaxis protein CheY	K03413	K03413		K03413	K21025
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01265									SZUA-1235_76:c(14037..14198)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01266	K01784	[EC:5.1.3.2]	galE, GALE	UDP-glucose 4-epimerase	05CMR@bactNOG,0QIFT@gproNOG,16PG5@proNOG,COG1087@NOG	udp-glucose 4-epimerase			SZUA-1235_76:14297..15286	UDP-glucose 4-epimerase	K01784	K01784	K01784	K01784	K15917
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01267					08SE7@bactNOG,0QR4J@gproNOG,11GU0@NOG,178RD@proNOG				SZUA-1235_76:c(15403..16479)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01268					08RI5@bactNOG,0BBKC@bproNOG,11G2R@NOG,16VWY@proNOG	HPr kinase			SZUA-1235_76:c(16479..17396)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01269									SZUA-1235_76:c(17393..17692)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01270					076JA@bactNOG,0Z3S9@NOG,186RG@proNOG				SZUA-1235_76:c(17738..18376)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01271	K08372	[EC:3.4.21.-]	pepD	putative serine protease PepD	08RDY@bactNOG,0QRQ0@gproNOG,1782N@proNOG,COG0265@NOG	peptidase S1 and S6, chymotrypsin Hap			SZUA-1235_76:c(18776..19543)	Putative serine protease HhoB	K08372				K08372
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01272					05JKK@bactNOG,11QU6@NOG,17FAC@proNOG	VanZ family			SZUA-1235_76:19636..23127	Heparin and heparin-sulfate lyase					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01273					08VFW@bactNOG,11JIE@NOG,17AJM@proNOG				SZUA-1235_76:23211..24479	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01274	K17250	[EC:2.4.1.293]	pglI	GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase	05K64@bactNOG,0GBQB@delNOG,0HD7U@dproNOG,17JWM@proNOG,COG0463@NOG	glycosyl transferase family 2			SZUA-1235_76:24469..25434	Chondroitin synthase	K17250			K17250	K21366
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01275					002K9@acidNOG,00794@aciNOG,07U7M@bactNOG,10DZH@NOG	group 1 glycosyl transferase			SZUA-1235_76:25434..26672	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01276	K09902		K09902	uncharacterized protein	05VNG@bactNOG,0QVY6@gproNOG,17JYP@proNOG,COG3100@NOG	YcgL domain-containing protein			SZUA-1235_76:c(26669..26941)	Protein YcgL	K09902	K09902		K09902	K09902
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01277									SZUA-1235_76:c(26947..27036)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01278					06Y7R@bactNOG,0YZMS@NOG				SZUA-1235_76:27194..27979	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01279	K21478	[EC:3.5.1.-]	icaB	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase	08B8R@bactNOG,0QY1Y@gproNOG,16ZFE@proNOG,COG0726@NOG	Polysaccharide deacetylase			SZUA-1235_76:27976..28986	hypothetical protein	K21478				K21478
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01280	K09690		ABC-2.LPSE.P	lipopolysaccharide transport system permease protein	05MFV@bactNOG,0QKQR@gproNOG,16TNN@proNOG,COG1682@NOG	transporter			SZUA-1235_76:29272..30090	Teichoic acid translocation permease protein TagG	K09690	K09690		K01992	K09692
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01281	K09691		ABC-2.LPSE.A	lipopolysaccharide transport system ATP-binding protein	05EY8@bactNOG,0QJZ9@gproNOG,16R0E@proNOG,COG1134@NOG	ABC transporter			SZUA-1235_76:30112..31344	Teichoic acids export ATP-binding protein TagH	K09691	K09691		K01990	K09693
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01282	K07272	[EC:2.4.1.-]	rgpF	rhamnosyltransferase	05CTC@bactNOG,0QPDY@gproNOG,16Q9M@proNOG,COG3551@NOG,COG3754@NOG	Rhamnan synthesis protein F			SZUA-1235_76:31360..32358	hypothetical protein	K07272				K07272
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01283					06V58@bactNOG,0YPCS@NOG,18291@proNOG				SZUA-1235_76:32361..33086	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01284					05ZUA@bactNOG,0FTZM@cyaNOG,128EU@NOG	Sulfotransferase domain			SZUA-1235_76:c(33103..33987)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01285	K07014		K07014	uncharacterized protein	07RQM@bactNOG,16UV4@proNOG,COG3083@NOG	Sulfatase			SZUA-1235_76:34126..36132	hypothetical protein	K07014			K07014	K07014
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01286	K00786	[EC:2.4.-.-]	E2.4.-.-	glycosyltransferase	05HX5@bactNOG,0QZDE@gproNOG,11GK6@NOG,17F34@proNOG	Glycosyl transferase family 2			SZUA-1235_76:36129..37070	hypothetical protein	K00786			K00786	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01287	K02400		flhA	flagellar biosynthesis protein FlhA	05D7B@bactNOG,0QIVK@gproNOG,16Q1T@proNOG,COG1298@NOG	Flagellar biosynthesis protein flha			SZUA-1235_77:44..610	Flagellar biosynthesis protein FlhA	K02400	K02400		K02400	K03230
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01288	K02404		flhF	flagellar biosynthesis protein FlhF	05FZW@bactNOG,0QK5Z@gproNOG,16T6Q@proNOG,COG1419@NOG	Flagellar biosynthesis regulator FlhF			SZUA-1235_77:653..1936	Flagellar biosynthesis protein FlhF	K02404	K02404		K02404	K02404
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01289	K04562		flhG, fleN	flagellar biosynthesis protein FlhG	07R21@bactNOG,0QJ24@gproNOG,16Q4W@proNOG,COG0455@NOG	Site-determining protein			SZUA-1235_77:1926..2810	Flagellum site-determining protein YlxH	K04562	K04562		K04562	K04562
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01290	K02405		fliA	RNA polymerase sigma factor for flagellar operon FliA	05DN4@bactNOG,0QIXH@gproNOG,16S79@proNOG,COG1191@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1235_77:2807..3541	RNA polymerase sigma factor FliA	K02405	K02405		K02405	K03090
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01291	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	08VYJ@bactNOG,0QR5Y@gproNOG,179WX@proNOG,COG0784@NOG	Chemotaxis protein chey			SZUA-1235_77:3624..3998	Chemotaxis protein CheY	K03413	K03413		K03413	K21025
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01292	K03414		cheZ	chemotaxis protein CheZ	08KCC@bactNOG,0QKM3@gproNOG,174BX@proNOG,COG3143@NOG	Plays an important role in bacterial chemotaxis signal transduction pathway by accelerating the dephosphorylation of phosphorylated CheY (CheY-P) (By similarity)			SZUA-1235_77:4026..4484	Protein phosphatase CheZ	K03414	K03414		K03414	K03414
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01293	K03407	[EC:2.7.13.3]	cheA	two-component system, chemotaxis family, sensor kinase CheA	05CBS@bactNOG,0QIC2@gproNOG,16PR1@proNOG,COG0643@NOG	CheA Signal Transduction Histidine Kinase			SZUA-1235_77:4522..6375	Chemotaxis protein CheA	K03407	K03407		K03407	K13490
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01294	K03412	[EC:3.1.1.61][EC:3.5.1.44]	cheB	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase	05CMP@bactNOG,0QJ7X@gproNOG,16Q0Q@proNOG,COG2201@NOG	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)			SZUA-1235_77:6404..7465	Chemotaxis response regulator protein-glutamate methylesterase of group 1 operon	K03412	K03412		K03412	K13924
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01295	K02556		motA	chemotaxis protein MotA	05E14@bactNOG,0QIQU@gproNOG,16R7F@proNOG,COG1291@NOG	flagellar motor protein			SZUA-1235_77:7489..8229	Chemotaxis protein PomA	K02556	K02556	K02556	K02556	K02556
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01296	K02557		motB	chemotaxis protein MotB	08SEK@bactNOG,0QPXY@gproNOG,1785E@proNOG,COG1360@NOG	flagellar motor protein			SZUA-1235_77:8257..9138	Motility protein B	K02557	K02557	K02557	K02557	K02557
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01297									SZUA-1235_77:9248..9520	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01298	K03408		cheW	purine-binding chemotaxis protein CheW	08V3W@bactNOG,0QQ0H@gproNOG,179QD@proNOG,COG0835@NOG	Chemotaxis protein cheW			SZUA-1235_77:9723..10199	Chemotaxis protein CheW	K03408	K03408	K03408	K03408	K13489
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01299									SZUA-1235_77:10253..10432	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01300					068I6@bactNOG,0QYMQ@gproNOG,0XWA4@NOG,17RH4@proNOG	Protein of unknown function (DUF2802)			SZUA-1235_77:10445..10843	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01301					05BZU@bactNOG,0QIG1@gproNOG,0XNMH@NOG,16PBJ@proNOG	Diguanylate cyclase phosphodiesterase			SZUA-1235_77:c(10902..12755)	Cyclic di-GMP phosphodiesterase PdeB					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01302	K04061		flhB2	flagellar biosynthesis protein	05VM1@bactNOG,0QVPG@gproNOG,17KF1@proNOG,COG2257@NOG	FlhB domain protein			SZUA-1235_77:c(13131..13418)	Flagellar biosynthetic protein FlhB	K04061	K04061		K04061	K04061
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01303					061RX@bactNOG,0QYD0@gproNOG,1296M@NOG,17P7N@proNOG	Flagellar hook-length control protein FliK			SZUA-1235_77:c(13415..14860)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01304	K07320	[EC:2.1.1.298]	prmB	ribosomal protein L3 glutamine methyltransferase	05C76@bactNOG,0QJ0E@gproNOG,16QF3@proNOG,COG2890@NOG	Specifically methylates the 50S ribosomal protein L3 on a specific glutamine residue (By similarity)			SZUA-1235_77:14954..15859	50S ribosomal protein L3 glutamine methyltransferase	K07320	K07320		K07320	K21515
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01305									SZUA-1235_77:c(15905..16048)	Alpha-agarase					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01306									SZUA-1235_77:16217..16309	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01307	K01736	[EC:4.2.3.5]	aroC	chorismate synthase	05D10@bactNOG,0QIM5@gproNOG,16PWS@proNOG,COG0082@NOG	5-enolpyruvylshikimate-3-phosphate phospholyase			SZUA-1235_77:16331..17431	Chorismate synthase	K01736	K01736	K01736	K01736	K01736
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01308	K05820		hcaT	MFS transporter, PPP family, 3-phenylpropionic acid transporter	05D8G@bactNOG,0QJ0Z@gproNOG,0XQVS@NOG,16SGU@proNOG	Major Facilitator Superfamily			SZUA-1235_77:17469..18596	putative 3-phenylpropionic acid transporter	K05820	K05820		K05820	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01309	K11179	[EC:2.8.1.-]	tusE, dsrC	tRNA 2-thiouridine synthesizing protein E	05V6F@bactNOG,120H4@NOG,17J6R@proNOG	TusE DsrC DsvC family			SZUA-1235_77:18853..19218	Sulfurtransferase TusE	K11179	K11179		K11179	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01310	K01617	[EC:4.1.1.77]	dmpH, xylI, nahK	2-oxo-3-hexenedioate decarboxylase	05IKQ@bactNOG,0QJQY@gproNOG,16PU2@proNOG,COG3971@NOG	hydratase			SZUA-1235_77:19255..20085	2-oxo-hept-4-ene-1,7-dioate hydratase	K01617			K01617	K02554
Chromatiales_bacterium_SZUA-1235|SZUA-1235_01311	K11921		cynR	LysR family transcriptional regulator, cyn operon transcriptional activator	08MP6@bactNOG,0QKP2@gproNOG,0XT7A@NOG,174GW@proNOG	LysR family transcriptional regulator			SZUA-1235_77:c(20117..20989)	HTH-type transcriptional regulator CysL	K11921			K11921	
