#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00001	K01622	[EC:4.1.2.13][EC:3.1.3.11]	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	02F0N@aquNOG,07NFR@bactNOG,COG1980@NOG	Fructose-1,6-bisphosphatase			SZUA-1519_1:c(9..1154)	Fructose-1,6-bisphosphate aldolase/phosphatase	K01622	K01622		K01622	K01622
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00567	K02992		RP-S7, MRPS7, rpsG	small subunit ribosomal protein S7	02F61@aquNOG,08UHY@bactNOG,COG0049@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)			SZUA-1519_29:c(11208..11693)	30S ribosomal protein S7	K02992	K02992	K02992	K02992	K02992
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00568	K02950		RP-S12, MRPS12, rpsL	small subunit ribosomal protein S12	02FGJ@aquNOG,08UKE@bactNOG,COG0048@NOG	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)			SZUA-1519_29:c(11713..12096)	30S ribosomal protein S12	K02950	K02950	K02950	K02950	K02973
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00569	K21567	[EC:1.18.1.2][EC:1.19.1.1]	fnr	ferredoxin/flavodoxin---NADP+ reductase	02FD9@aquNOG,08TWR@bactNOG,COG0492@NOG	FAD-dependent pyridine nucleotide-disulfide oxidoreductase			SZUA-1519_29:c(12228..12833)	Ferredoxin--NADP reductase	K21567				K21567
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00570	K00942	[EC:2.7.4.8]	E2.7.4.8, gmk	guanylate kinase	02FD8@aquNOG,08UHA@bactNOG,COG0194@NOG	Essential for recycling GMP and indirectly, cGMP (By similarity)			SZUA-1519_29:12912..13568	Guanylate kinase	K00942	K00942	K00942	K00942	K00942
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00571	K03060	[EC:2.7.7.6]	rpoZ	DNA-directed RNA polymerase subunit omega	02G42@aquNOG,06HQT@bactNOG,COG1758@NOG	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits (By similarity)			SZUA-1519_29:13549..13797	DNA-directed RNA polymerase subunit omega	K03060			K03060	K03060
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00572	K01649	[EC:2.3.3.13]	leuA, IMS	2-isopropylmalate synthase	02ENH@aquNOG,05CYQ@bactNOG,COG0119@NOG	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate) (By similarity)			SZUA-1519_29:13903..15465	2-isopropylmalate synthase	K01649	K01649		K01649	K21934
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00573	K03639	[EC:4.1.99.22]	moaA, CNX2	GTP 3',8-cyclase	02F28@aquNOG,05CM1@bactNOG,COG2896@NOG	Molybdenum cofactor biosynthesis protein A			SZUA-1519_29:c(15529..16500)	GTP 3',8-cyclase 1	K03639	K03639		K03639	K20967
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00574					05EWC@bactNOG,0EUA7@cloNOG,0NM55@firmNOG,COG1683@NOG	Purine nucleoside phosphorylase			SZUA-1519_29:16541..16909	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00575	K21472	[EC:3.4.-.-]	lytH	peptidoglycan LD-endopeptidase LytH	02F1R@aquNOG,07R7M@bactNOG,COG0739@NOG	peptidase M23			SZUA-1519_29:17000..18277	Murein DD-endopeptidase MepM	K21472				K21472
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00576	K07151	[EC:2.4.99.18]	STT3	dolichyl-diphosphooligosaccharide---protein glycosyltransferase	02GBG@aquNOG,07ZAZ@bactNOG,COG1287@NOG	oligosaccharyl transferase STT3 subunit			SZUA-1519_29:18302..20341	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase	K07151	K07151		K07151	K21306
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00577	K07057	[EC:2.5.1.128]	bpsA	N4-bis(aminopropyl)spermidine synthase	02F2Q@aquNOG,08JVH@bactNOG,COG1568@NOG	Protein of unknown function DUF43			SZUA-1519_29:20448..21497	N(4)-bis(aminopropyl)spermidine synthase	K07057	K07057		K07057	K07057
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00578	K07263	[EC:3.4.24.-]	pqqL	zinc protease	02ESC@aquNOG,05EV5@bactNOG,COG0612@NOG	Peptidase M16 domain protein			SZUA-1519_29:21540..22751	putative zinc protease	K07263			K07263	K07263
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00579					02FYH@aquNOG,070XI@bactNOG,COG4711@NOG	Putative integral membrane protein (DUF2391)			SZUA-1519_29:c(22833..23333)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00580	K02340	[EC:2.7.7.7]	holA	DNA polymerase III subunit delta	02FEP@aquNOG,05JF9@bactNOG,COG1466@NOG	DNA polymerase III, delta			SZUA-1519_29:c(23335..24360)	hypothetical protein	K02340			K02340	K02340
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00581	K13038	[EC:4.1.1.36][EC:6.3.2.5]	coaBC, dfp	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase	02F2Y@aquNOG,05CJS@bactNOG,COG0452@NOG	phosphopantothenoylcysteine decarboxylase phosphopantothenate cysteine ligase			SZUA-1519_29:c(24339..25541)	Coenzyme A biosynthesis bifunctional protein CoaBC	K13038	K13038		K01598	K21977
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00582	K02078		acpP	acyl carrier protein	02FU4@aquNOG,05VNB@bactNOG,COG0236@NOG	Carrier of the growing fatty acid chain in fatty acid biosynthesis (By similarity)			SZUA-1519_29:25618..25860	Acyl carrier protein	K02078	K02078		K02078	K21790
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00583	K09458	[EC:2.3.1.179]	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	02ERE@aquNOG,05C0Q@bactNOG,COG0304@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)			SZUA-1519_29:25944..27215	3-oxoacyl-[acyl-carrier-protein] synthase 2	K09458	K09458		K09458	K21789
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00584	K01673	[EC:4.2.1.1]	cynT, can	carbonic anhydrase	02G5I@aquNOG,0829R@bactNOG,COG0288@NOG	carbonic anhydrase			SZUA-1519_29:c(27216..27896)	Carbonic anhydrase 2	K01673	K01673		K01673	K20499
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00585	K00790	[EC:2.5.1.7]	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	02EYZ@aquNOG,05CDF@bactNOG,COG0766@NOG	Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)			SZUA-1519_29:c(27940..29304)	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	K00790	K00790		K00790	K00790
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00586	K00826	[EC:2.6.1.42]	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase	02EPA@aquNOG,05CM2@bactNOG,COG0115@NOG	Branched-chain amino acid aminotransferase			SZUA-1519_29:30247..31164	Branched-chain-amino-acid aminotransferase	K00826	K00826		K00826	K03342
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00587	K19702	[EC:3.4.11.24]	E3.4.11.24	aminopeptidase S	02FHZ@aquNOG,080CC@bactNOG,COG2234@NOG	Peptidase family M28			SZUA-1519_29:31164..32282	Aminopeptidase YwaD	K19702				K19702
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00588	K01092	[EC:3.1.3.25]	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase	02ET4@aquNOG,05ECY@bactNOG,COG0483@NOG	ec 3.1.3.25			SZUA-1519_29:c(32279..33073)	Fructose-1, 6-bisphosphatase/inositol-1-monophosphatase	K01092	K01092		K01092	K05602
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00589	K06187		recR	recombination protein RecR	02FED@aquNOG,05F3K@bactNOG,COG0353@NOG	May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO (By similarity)			SZUA-1519_29:c(33091..33696)	Recombination protein RecR	K06187	K06187		K06187	K06187
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00590									SZUA-1519_29:c(33698..33982)	Nucleoid-associated protein YbaB					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00591	K01012	[EC:2.8.1.6]	bioB	biotin synthase	02F2H@aquNOG,05CZF@bactNOG,COG0502@NOG	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)			SZUA-1519_29:c(34021..34998)	Biotin synthase	K01012	K01012		K01012	K21312
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00592	K17884	[EC:2.7.8.39]	E2.7.8.39	archaetidylinositol phosphate synthase	02FD7@aquNOG,08SG3@bactNOG,COG0558@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1519_29:c(35151..35771)	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	K17884				K17884
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00593	K09141		K09141	uncharacterized protein	02FP5@aquNOG,05NBF@bactNOG,COG2078@NOG	AMMECR1			SZUA-1519_29:35839..36438	hypothetical protein	K09141	K09141		K06990	K09141
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00594									SZUA-1519_29:c(36419..36778)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00595	K00991	[EC:2.7.7.60]	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	02FEF@aquNOG,05CE5@bactNOG,COG1211@NOG	Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP) (By similarity)			SZUA-1519_29:c(36748..37398)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	K00991	K00991		K00991	K21681
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00596	K02902		RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28	02FWQ@aquNOG,085S9@bactNOG,COG0227@NOG	50S ribosomal protein l28			SZUA-1519_29:c(37400..37612)	50S ribosomal protein L28	K02902	K02902		K02902	K02902
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00597	K03309		TC.DAACS	dicarboxylate/amino acid:cation (Na+ or H+) symporter, DAACS family	02F72@aquNOG,05CK2@bactNOG,COG1301@NOG	Sodium:dicarboxylate symporter family			SZUA-1519_29:c(37657..38883)	Proton/sodium-glutamate symport protein	K03309			K03309	K11103
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00598	K02687	[EC:2.1.1.-]	prmA	ribosomal protein L11 methyltransferase	02FGY@aquNOG,0845P@bactNOG,COG2264@NOG	Methylates ribosomal protein L11 (By similarity)			SZUA-1519_29:38913..39695	Ribosomal protein L11 methyltransferase	K02687	K02687		K02687	K02687
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00599	K01874	[EC:6.1.1.10]	MARS, metG	methionyl-tRNA synthetase	02F1I@aquNOG,05CKH@bactNOG,COG0073@NOG,COG0143@NOG	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)			SZUA-1519_29:39701..41617	Methionine--tRNA ligase	K01874	K01874	K01874	K01874	K01874
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00600	K03587	[EC:3.4.16.4]	ftsI	cell division protein FtsI (penicillin-binding protein 3)	02EUG@aquNOG,07TJY@bactNOG,COG0768@NOG	peptidoglycan glycosyltransferase (EC 2.4.1.129)			SZUA-1519_29:41617..43533	putative peptidoglycan D,D-transpeptidase FtsI	K03587	K03587		K03587	K21468
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00601	K02338	[EC:2.7.7.7]	dnaN	DNA polymerase III subunit beta	02F7B@aquNOG,05CZ8@bactNOG,COG0592@NOG	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)			SZUA-1519_29:c(43538..44623)	Beta sliding clamp	K02338	K02338		K02338	K04802
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00603	K02860		rimM	16S rRNA processing protein RimM	02FVY@aquNOG,08ZR6@bactNOG,COG0806@NOG	An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes (By similarity)			SZUA-1519_29:44787..45284	Ribosome maturation factor RimM	K02860	K02860		K02860	K02860
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00604	K01736	[EC:4.2.3.5]	aroC	chorismate synthase	02ETY@aquNOG,05D10@bactNOG,COG0082@NOG	chorismate synthase (EC 4.2.3.5)			SZUA-1519_29:c(45365..46537)	Chorismate synthase	K01736	K01736	K01736	K01736	K01736
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00605	K08963	[EC:5.3.1.23]	mtnA	methylthioribose-1-phosphate isomerase	02EP8@aquNOG,05C35@bactNOG,COG0182@NOG,COG2050@NOG	Catalyzes the interconversion of methylthioribose-1- phosphate (MTR-1-P) into methylthioribulose-1-phosphate (MTRu-1-P) (By similarity)			SZUA-1519_29:c(46611..47600)	Methylthioribose-1-phosphate isomerase	K08963	K08963		K08963	K19222
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00606									SZUA-1519_29:c(47590..48027)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00607	K00766	[EC:2.4.2.18]	trpD	anthranilate phosphoribosyltransferase	02F3B@aquNOG,07QYG@bactNOG,COG0547@NOG	Anthranilate phosphoribosyltransferase			SZUA-1519_29:48035..49051	Anthranilate phosphoribosyltransferase	K00766	K00766		K00766	K13497
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00608					02GE5@aquNOG,05GAX@bactNOG,COG2604@NOG	Protein of unknown function DUF115			SZUA-1519_29:c(49048..50994)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00609	K07456		mutS2	DNA mismatch repair protein MutS2	02EKD@aquNOG,05C98@bactNOG,COG1193@NOG	MutS2 protein			SZUA-1519_29:51040..53361	Endonuclease MutS2	K07456	K07456		K07456	K07456
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00610	K02335	[EC:2.7.7.7]	polA	DNA polymerase I	02F90@aquNOG,07U9H@bactNOG,COG0749@NOG	DNA polymerase			SZUA-1519_29:c(53362..55113)	DNA polymerase I	K02335	K02335	K17680	K02335	K02335
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00611	K01662	[EC:2.2.1.7]	dxs	1-deoxy-D-xylulose-5-phosphate synthase	02EPF@aquNOG,05C2V@bactNOG,COG1154@NOG	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP) (By similarity)			SZUA-1519_29:c(55140..57056)	1-deoxy-D-xylulose-5-phosphate synthase	K01662	K01662	K01662	K01662	K01662
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00613	K01737	[EC:4.2.3.12][EC:4.1.2.50]	queD, ptpS, PTS	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase	02FJW@aquNOG,080K7@bactNOG,COG0720@NOG	6-carboxy-5,6,7,8-tetrahydropterin synthase			SZUA-1519_29:57265..57612	hypothetical protein	K01737	K01737		K01737	K01737
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00614	K03118		tatC	sec-independent protein translocase protein TatC	02EN8@aquNOG,05DCX@bactNOG,COG0805@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes (By similarity)			SZUA-1519_29:c(57609..58334)	Sec-independent protein translocase protein TatC	K03118	K03118	K03118	K03118	K03118
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00615	K05521	[EC:3.2.2.24]	draG	ADP-ribosyl-[dinitrogen reductase] hydrolase	04SZS@bacNOG,065RQ@bactNOG,0NEM3@firmNOG,COG1397@NOG	K05521 ADP-ribosylglycohydrolase EC 3.2			SZUA-1519_29:58362..59234	ADP-ribosyl-[dinitrogen reductase] glycohydrolase	K05521			K05521	K05521
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00616	K00600	[EC:2.1.2.1]	glyA, SHMT	glycine hydroxymethyltransferase	02EJN@aquNOG,05C65@bactNOG,COG0112@NOG	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism (By similarity)			SZUA-1519_29:c(59215..60492)	Serine hydroxymethyltransferase	K00600	K00600	K00600	K00600	K00600
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00617	K03664		smpB	SsrA-binding protein	02FGI@aquNOG,08UH4@bactNOG,COG0691@NOG	Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes			SZUA-1519_29:60548..61021	SsrA-binding protein	K03664	K03664		K03664	K03664
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00618	K03555		mutS	DNA mismatch repair protein MutS	02ESV@aquNOG,05D86@bactNOG,COG0249@NOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1519_29:c(61024..63624)	DNA mismatch repair protein MutS	K03555	K03555	K08735	K03555	K03555
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00619	K06888		K06888	uncharacterized protein	02EJH@aquNOG,05C7Z@bactNOG,COG1331@NOG	Pfam:DUF255			SZUA-1519_29:c(63677..65746)	Cellobiose 2-epimerase	K06888	K06888	K06888	K06888	K06888
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00620	K06206		sfsA	sugar fermentation stimulation protein A	0FBZ8@creNOG,COG1489@NOG,arCOG04115@arNOG	sugar fermentation stimulation protein			SZUA-1519_29:c(65849..66220)	Sugar fermentation stimulation protein A	K06206	K06206		K06206	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00621	K06206		sfsA	sugar fermentation stimulation protein A	0KTPP@eurNOG,1CEQ2@thermNOG,COG1489@NOG,arCOG04115@arNOG	Sugar fermentation stimulation protein homolog			SZUA-1519_29:c(66263..66559)	Sugar fermentation stimulation protein A	K06206	K06206		K06206	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00622	K17218	[EC:1.8.5.4]	sqr	sulfide:quinone oxidoreductase	02EKC@aquNOG,07TZP@bactNOG,COG0446@NOG	FAD-dependent pyridine nucleotide-disulfide oxidoreductase			SZUA-1519_29:66633..67826	Sulfide-quinone reductase	K17218	K17218		K17218	K21833
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00623	K00974	[EC:2.7.7.72][EC:3.1.3.-][EC:3.1.4.-]	cca	tRNA nucleotidyltransferase (CCA-adding enzyme)	02ES2@aquNOG,05D4J@bactNOG,COG0517@NOG,COG0617@NOG,COG0618@NOG	polynucleotide adenylyltransferase region			SZUA-1519_29:67839..70358	Multifunctional CCA protein	K00974	K00974		K00970	K06881
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00624	K01802	[EC:5.2.1.8]	E5.2.1.8	peptidylprolyl isomerase	080X5@bactNOG,COG0760@NOG	SurA domain			SZUA-1519_29:c(70330..71190)	Chaperone SurA	K01802			K01802	K07533
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00625	K03281		TC.CIC	chloride channel protein, CIC family	07R4J@bactNOG,0GKXM@delNOG,16QDX@proNOG,COG0038@NOG	Cl- channel voltage-gated family protein			SZUA-1519_29:c(71203..72408)	H(+)/Cl(-) exchange transporter ClcA	K03281			K03281	K03281
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00626									SZUA-1519_29:c(72441..72641)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00627	K03702		uvrB	excinuclease ABC subunit B	02ENF@aquNOG,05CCW@bactNOG,COG0556@NOG	damaged site, the DNA wraps around one UvrB monomer. DNA wrap is dependent on ATP binding by UvrB and probably causes local melting of the DNA helix, facilitating insertion of UvrB beta-hairpin between the DNA strands. Then UvrB probes one DNA strand for the presence of a lesion. If a lesion is found the UvrA subunits dissociate and the UvrB-DNA preincision complex is formed. This complex is subsequently bound by UvrC and the second UvrB is released. If no lesion is found, the DNA wraps around the other UvrB subunit that will check the other stand for damage (By similarity)			SZUA-1519_29:72709..73953	UvrABC system protein B	K03702	K03702		K03702	K03702
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00628	K11383	[EC:2.7.13.3]	kinB	two-component system, NtrC family, sensor histidine kinase KinB	02EYF@aquNOG,05ES5@bactNOG,COG5000@NOG	Signal transduction histidine kinase			SZUA-1519_29:73954..75636	Alginate biosynthesis sensor protein KinB	K11383			K11383	K13598
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00629	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	02EZB@aquNOG,05CJV@bactNOG,COG0106@NOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1519_29:75666..76379	1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	K01814	K01814		K01814	K01814
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00630									SZUA-1519_29:c(76369..76731)	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00631					02FTU@aquNOG,05V2A@bactNOG,11Z1U@NOG	permease YjgP YjgQ family protein			SZUA-1519_29:76766..77848	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00632	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	02F7M@aquNOG,05CA1@bactNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1519_29:c(77845..78606)	Methionine aminopeptidase 1	K01265	K01265		K01265	K14813
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00633	K07097		K07097	uncharacterized protein	02F9F@aquNOG,05IEG@bactNOG,COG2404@NOG	phosphoesterase, dhha1			SZUA-1519_29:c(78618..79568)	Oligoribonuclease NrnB	K07097				K07097
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00634	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	02EM6@aquNOG,05D21@bactNOG,COG0047@NOG	Phosphoribosylformylglycinamidine synthase I			SZUA-1519_29:c(79587..80267)	Phosphoribosylformylglycinamidine synthase subunit PurQ	K01952	K01952		K01952	K01952
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00635									SZUA-1519_29:80304..81059	hypothetical protein					
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00636	K02111	[EC:3.6.3.14]	ATPF1A, atpA	F-type H+-transporting ATPase subunit alpha	02EK0@aquNOG,05CDG@bactNOG,COG0056@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)			SZUA-1519_29:c(81069..82598)	ATP synthase subunit alpha	K02111	K02111		K02111	K02132
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00637	K02113		ATPF1D, atpH	F-type H+-transporting ATPase subunit delta	02FP0@aquNOG,05SZ0@bactNOG,COG0712@NOG	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)			SZUA-1519_29:c(82617..83162)	ATP synthase subunit delta	K02113	K02113		K02113	K02137
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00638	K02109		ATPF0B, atpF	F-type H+-transporting ATPase subunit b	02FNA@aquNOG,05MWA@bactNOG,COG0711@NOG	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)			SZUA-1519_29:c(83176..83748)	ATP synthase subunit b	K02109	K02109		K02109	K02109
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00639	K02109		ATPF0B, atpF	F-type H+-transporting ATPase subunit b	02FYZ@aquNOG,06461@bactNOG,0ZP59@NOG	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)			SZUA-1519_29:c(83748..84182)	ATP synthase subunit b, sodium ion specific	K02109			K02109	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00640	K01091	[EC:3.1.3.18]	gph	phosphoglycolate phosphatase	02FNT@aquNOG,08VXP@bactNOG,COG0546@NOG	HAD-superfamily hydrolase, subfamily IA, variant			SZUA-1519_29:c(84351..84995)	Phosphoglycolate phosphatase	K01091	K01091		K01091	K11777
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00641	K07636	[EC:2.7.13.3]	phoR	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	02FAU@aquNOG,05BZU@bactNOG,0XNMH@NOG	Histidine kinase			SZUA-1519_29:85021..85950	Signal-transduction histidine kinase senX3	K07636	K07636	K07636	K07636	
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00644	K01069	[EC:3.1.2.6]	gloB, HAGH	hydroxyacylglutathione hydrolase	02EJ5@aquNOG,05C5X@bactNOG,COG0491@NOG	beta-lactamase domain protein			SZUA-1519_29:c(86121..86756)	Hydroxyacylglutathione hydrolase GloC	K01069	K01069		K01069	K20257
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00645	K06442	[EC:2.1.1.226][EC:2.1.1.227]	tlyA	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	02F8Q@aquNOG,05DX0@bactNOG,COG1189@NOG	Hemolysin A			SZUA-1519_29:c(86758..87573)	Hemolysin A	K06442	K06442		K06442	K06442
Aquifex_aeolicus_SZUA-1519|SZUA-1519_00646	K02495	[EC:1.3.98.3]	hemN, hemZ	oxygen-independent coproporphyrinogen III oxidase	02ESR@aquNOG,05CSA@bactNOG,COG0635@NOG	Oxygen-independent coproporphyrinogen III oxidase			SZUA-1519_29:87595..88692	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR	K02495			K02495	K21936
