#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00001	K00288	[EC:1.5.1.5][EC:3.5.4.9][EC:6.3.4.3]	MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase	05CKU@bactNOG,0D1VH@chloNOG,COG2759@NOG	Formate--tetrahydrofolate ligase (EC 6.3.4.3)			SZUA-1494_1:5..1879	Formate--tetrahydrofolate ligase	K00288	K00288		K00288	K01938
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00908					08S8B@bactNOG,0EX08@cloNOG,0NR9M@firmNOG,COG3379@NOG	type I phosphodiesterase nucleotide pyrophosphatase			SZUA-1494_387:c(1079..2743)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00909	K07027		K07027	glycosyltransferase 2 family protein	COG0392@NOG,arCOG00899@arNOG	membrane			SZUA-1494_387:c(2760..3743)	hypothetical protein	K07027	K07027		K07027	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00910									SZUA-1494_387:c(3890..4222)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00911	K03522		fixB, etfA	electron transfer flavoprotein alpha subunit	05C10@bactNOG,0ENQ3@cloNOG,0ND72@firmNOG,COG2025@NOG	Electron transfer flavoprotein			SZUA-1494_388:c(467..1498)	Caffeyl-CoA reductase-Etf complex subunit CarE	K03522	K03522		K03522	K03522
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00912	K13687	[EC:2.4.2.-]	aftB	arabinofuranosyltransferase	05P5D@bactNOG,0D27W@chloNOG,124PW@NOG				SZUA-1494_389:217..1776	hypothetical protein	K13687			K13687	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00913	K03641		tolB	TolB protein	07TIH@bactNOG,COG0823@NOG	Involved in the TonB-independent uptake of proteins (By similarity)			SZUA-1494_389:c(1803..2729)	Protein TolB	K03641	K03641		K03641	K20934
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00914	K01104	[EC:3.1.3.48]	E3.1.3.48	protein-tyrosine phosphatase	07ZCW@bactNOG,0EUAV@cloNOG,0NJI4@firmNOG,COG0394@NOG	protein tyrosine phosphatase			SZUA-1494_389:c(2767..3204)	Protein-arginine-phosphatase	K01104	K01104		K01104	K20945
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00915									SZUA-1494_390:1158..2081	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00916									SZUA-1494_390:2071..2310	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00917					08RX6@bactNOG,11GID@NOG	Small-conductance mechano-sensitive channel			SZUA-1494_390:c(2253..3122)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00918	K15582		oppC	oligopeptide transport system permease protein	05C2T@bactNOG,0NDVP@firmNOG,0X298@negNOG,COG1173@NOG	oligopeptide ABC transporter			SZUA-1494_390:c(3223..4200)	Oligopeptide transport system permease protein OppC	K15582	K15582		K02034	K19228
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00919									SZUA-1494_391:c(924..1934)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00920					06NKR@bactNOG,0FQMT@cyaNOG,0YE5C@NOG				SZUA-1494_392:c(83..589)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00921					08P51@bactNOG,COG4995@NOG	tetratricopeptide			SZUA-1494_392:c(537..1598)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00922	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,0D1EK@chloNOG,0D6VM@chlorNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1494_392:c(1661..3211)	GMP synthase [glutamine-hydrolyzing]	K01951	K01951	K01951	K01951	K01951
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00923									SZUA-1494_393:164..1933	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00924					06BMD@bactNOG,0D2D8@chloNOG,0YX40@NOG				SZUA-1494_393:c(2110..2382)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00925	K03406		mcp	methyl-accepting chemotaxis protein	04RN0@bacNOG,05C8Q@bactNOG,0NDH9@firmNOG,COG0840@NOG	Methyl-accepting chemotaxis			SZUA-1494_394:38..892	Methyl-accepting chemotaxis protein McpA	K03406	K03406		K03406	K19691
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00926	K03408		cheW	purine-binding chemotaxis protein CheW	08RD3@bactNOG,0GE02@delNOG,0HF6X@dproNOG,1780C@proNOG,COG0835@NOG	CheW protein			SZUA-1494_394:920..1426	Chemotaxis protein CheW	K03408	K03408		K03408	K13489
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00927	K03413		cheY	two-component system, chemotaxis family, chemotaxis protein CheY	07YTP@bactNOG,0ET4I@cloNOG,0NIC5@firmNOG,COG0784@NOG	response regulator receiver protein			SZUA-1494_394:1433..1840	Chemotaxis protein CheY	K03413	K03413		K03413	K21025
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00928	K03412	[EC:3.1.1.61][EC:3.5.1.44]	cheB	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase	05CMP@bactNOG,0ENMY@cloNOG,0ND4S@firmNOG,COG2201@NOG	catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)			SZUA-1494_394:1860..2945	Chemotaxis response regulator protein-glutamate methylesterase	K03412	K03412	K03412	K03412	K13924
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00929	K03687		GRPE	molecular chaperone GrpE	05K90@bactNOG,0GFJI@delNOG,0HGEH@dproNOG,17DEX@proNOG,COG0576@NOG	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ			SZUA-1494_395:53..538	Protein GrpE	K03687	K03687		K03687	K03687
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00930	K06973		K06973	uncharacterized protein	08R8F@bactNOG,0D2DS@chloNOG,COG2738@NOG	Peptidase membrane zinc metallopeptidase			SZUA-1494_395:606..1313	hypothetical protein	K06973	K06973		K06973	K06973
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00931					00Q8S@actNOG,05VB8@bactNOG,COG2331@NOG	Regulatory protein, FmdB family			SZUA-1494_395:1349..1591	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00932	K00626	[EC:2.3.1.9]	E2.3.1.9, atoB	acetyl-CoA C-acetyltransferase	05CHU@bactNOG,COG0183@NOG	acetyl-coa acetyltransferase			SZUA-1494_396:415..1614	Acetyl-CoA acetyltransferase	K00626	K00626		K00626	K07823
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00933									SZUA-1494_396:1662..1922	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00934	K02499		yabN	tetrapyrrole methylase family protein / MazG family protein	08IY2@bactNOG,0D5ZA@chloNOG,COG3956@NOG	mazG family			SZUA-1494_397:21..1199	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG	K02499	K02499		K02428	K02499
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00935					090FA@bactNOG,11NKY@NOG				SZUA-1494_397:c(1186..1743)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00936	K21834		dgcB	dimethylglycine catabolism B	05DF6@bactNOG,COG0247@NOG	Fe-S oxidoreductase			SZUA-1494_398:c(74..1207)	putative iron-sulfur-binding oxidoreductase FadF	K21834				K21834
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00937	K14127	[EC:1.12.99.-][EC:1.8.98.5][EC:1.8.98.6]	mvhD, vhuD, vhcD	F420-non-reducing hydrogenase iron-sulfur subunit	08Z1E@bactNOG,0ESHF@cloNOG,0NJJE@firmNOG,COG1908@NOG	hydrogenase delta subunit			SZUA-1494_398:c(1250..1636)	hypothetical protein	K14127			K14127	K16886
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00938	K03388	[EC:1.8.7.3][EC:1.8.98.4][EC:1.8.98.5][EC:1.8.98.6]	hdrA2	heterodisulfide reductase subunit A2	07EEV@bactNOG,0GRRM@delNOG,0HRFE@dproNOG,18A50@proNOG,COG1148@NOG	4Fe-4S Ferredoxin iron-sulfur binding domain protein			SZUA-1494_398:c(1698..1964)	Ferredoxin-type protein NapF	K03388	K03388		K03388	K16886
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00939	K02034		ABC.PE.P1	peptide/nickel transport system permease protein	05C2T@bactNOG,0D27B@chloNOG,COG1173@NOG	binding-protein-dependent transport systems inner membrane component			SZUA-1494_399:c(1057..1881)	Glutathione transport system permease protein GsiD	K02034	K02034	K13891	K02034	K19228
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00940					05CNF@bactNOG,0FM8W@cyaNOG,0XP3K@NOG	repeat-containing protein			SZUA-1494_400:22..1272	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00941	K18912	[EC:1.14.99.50]	egtB	gamma-glutamyl hercynylcysteine S-oxide synthase	05E46@bactNOG,0GCDS@delNOG,0HFCI@dproNOG,16SH0@proNOG,COG1262@NOG,COG4928@NOG	Sulfatase-modifying factor enzyme 1			SZUA-1494_400:1212..2666	Serine/threonine-protein kinase pkn1	K18912			K18912	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00942	K03610		minC	septum site-determining protein MinC	07YDG@bactNOG,0D2TU@chloNOG,0D731@chlorNOG,COG0850@NOG	Cell division inhibitor that blocks the formation of polar Z ring septums. Rapidly oscillates between the poles of the cell to destabilize FtsZ filaments that have formed before they mature into polar Z rings. Prevents FtsZ polymerization (By similarity)			SZUA-1494_401:54..731	Septum site-determining protein MinC	K03610	K03610		K03610	K03610
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00943	K03609		minD	septum site-determining protein MinD	07QMS@bactNOG,0D1UT@chloNOG,COG2894@NOG	septum site-determining protein MinD			SZUA-1494_401:837..1634	Septum site-determining protein MinD	K03609	K03609	K03609	K03609	K03609
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00944	K03608		minE	cell division topological specificity factor	083CN@bactNOG,0EVEX@cloNOG,0NNJB@firmNOG,COG0851@NOG	Prevents the cell division inhibition by proteins MinC and MinD at internal division sites while permitting inhibition at polar sites. This ensures cell division at the proper site by restricting the formation of a division septum at the midpoint of the long axis of the cell (By similarity)			SZUA-1494_401:1724..1990	Cell division topological specificity factor	K03608	K03608		K03608	K03608
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00945	K05837		rodA, mrdB	rod shape determining protein RodA	05CNI@bactNOG,COG0772@NOG	cell division protein FtsW			SZUA-1494_401:2069..3160	Peptidoglycan glycosyltransferase MrdB	K05837	K05837		K05837	K05837
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00946	K00645	[EC:2.3.1.39]	fabD	[acyl-carrier-protein] S-malonyltransferase	05CJF@bactNOG,0D21M@chloNOG,COG0331@NOG	malonyl CoA-acyl carrier protein transacylase			SZUA-1494_402:c(65..1015)	Malonyl CoA-acyl carrier protein transacylase	K00645	K00645		K00645	K21381
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00947	K02371	[EC:1.3.1.9]	fabK	enoyl-[acyl-carrier protein] reductase II	05EA8@bactNOG,0EPFY@cloNOG,0NE0P@firmNOG,COG2070@NOG	reductase II			SZUA-1494_402:c(1021..1977)	Nitronate monooxygenase	K02371	K02371		K02371	K15329
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00948					08W19@bactNOG,0D38M@chloNOG,122TR@NOG	Inherit from bactNOG: H -ATPase, subunit H			SZUA-1494_402:c(2644..3024)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00949	K07321		cooC	CO dehydrogenase maturation factor	080XS@bactNOG,0GCS6@delNOG,0HE1G@dproNOG,176U8@proNOG,COG3640@NOG	Cobyrinic acid ac-diamide synthase			SZUA-1494_403:10..750	hypothetical protein	K07321	K07321		K07321	K07321
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00950	K08482		kaiC	circadian clock protein KaiC	0KS2A@eurNOG,0WKQ8@methaNOG,COG0467@NOG,arCOG01171@arNOG	circadian clock protein KaiC (EC 2.7.11.1)			SZUA-1494_403:805..1554	Circadian clock protein kinase KaiC	K08482	K08482		K08482	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00951					05DSN@bactNOG,0R7G3@gproNOG,0XQ8S@NOG,18D55@proNOG	domain protein			SZUA-1494_404:76..6297	Large cysteine-rich periplasmic protein OmcB					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00952									SZUA-1494_406:32..190	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00953					06E48@bactNOG,0D3E3@chloNOG,0Y2V4@NOG				SZUA-1494_406:213..761	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00954					08YW9@bactNOG,COG1801@NOG	Protein of unknown function DUF72			SZUA-1494_406:c(771..1673)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00955	K00830	[EC:2.6.1.44][EC:2.6.1.45][EC:2.6.1.51]	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase	05C5R@bactNOG,COG0075@NOG	Aminotransferase			SZUA-1494_406:c(1699..2838)	Soluble hydrogenase 42 kDa subunit	K00830	K00830		K00830	K18608
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00956	K12960	[EC:3.5.4.31][EC:3.5.4.28]	mtaD	5-methylthioadenosine/S-adenosylhomocysteine deaminase	05D6T@bactNOG,0D1NJ@chloNOG,0D79P@chlorNOG,COG0402@NOG	Catalyzes the deamination of 5-methylthioadenosine and S-adenosyl-L-homocysteine into 5-methylthioinosine and S-inosyl-L- homocysteine, respectively. Is also able to deaminate adenosine (By similarity)			SZUA-1494_407:2..2002	5-methylthioadenosine/S-adenosylhomocysteine deaminase	K12960	K12960		K12960	K20810
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00957	K18210	[EC:1.3.4.1]	tfrB	fumarate reductase (CoM/CoB) subunit B	0KRF3@eurNOG,0WKNA@methaNOG,COG0247@NOG,arCOG00333@arNOG	reductase, iron-sulfur			SZUA-1494_408:c(50..1366)	putative iron-sulfur-binding oxidoreductase FadF	K18210			K18210	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00958	K00112	[EC:1.1.5.3]	glpB	glycerol-3-phosphate dehydrogenase subunit B	08KJ0@bactNOG,0GDEN@delNOG,0HEI2@dproNOG,16QX7@proNOG,COG3075@NOG	Anaerobic glycerol-3-phosphate dehydrogenase, subunit B			SZUA-1494_408:c(1387..2247)	Anaerobic glycerol-3-phosphate dehydrogenase subunit B	K00112	K00112		K00112	K00112
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00959									SZUA-1494_409:64..357	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00960									SZUA-1494_409:c(1319..1774)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00963	K20615	[EC:4.2.1.145]	vioD	capreomycidine synthase	005Y5@aciNOG,05CHM@bactNOG,COG0436@NOG	Cys/Met metabolism PLP-dependent enzyme			SZUA-1494_410:c(303..1469)	Aspartate aminotransferase	K20615				K20615
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00964	K00548	[EC:2.1.1.13]	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase	07XHN@bactNOG,COG5012@NOG	domain protein			SZUA-1494_410:c(1491..2132)	Methionine synthase	K00548			K00548	K16179
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00965									SZUA-1494_411:72..284	Putative DNA-binding proteinA					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00966									SZUA-1494_411:286..783	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00967									SZUA-1494_411:793..1257	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00968									SZUA-1494_411:1254..1460	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00969	K08956	[EC:3.4.24.-]	AFG3	AFG3 family protein	08I9M@bactNOG,COG0465@NOG	AAA ATPase, central domain protein			SZUA-1494_411:1444..3294	ATP-dependent zinc metalloprotease FtsH 3	K08956				K08956
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00970	K15496		wtpB	molybdate/tungstate transport system permease protein	08I5D@bactNOG,0F6ZH@cloNOG,0P648@firmNOG,COG0555@NOG	Sulfate ABC transporter, permease protein CysT			SZUA-1494_412:51..680	Sulfate transport system permease protein CysW	K15496	K15496	K15496	K02018	K15496
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00971	K15497	[EC:3.6.3.-][EC:3.6.3.55]	wtpC	molybdate/tungstate transport system ATP-binding protein	0KRE9@eurNOG,0WK4P@methaNOG,COG3839@NOG,arCOG00175@arNOG	Tungstate molybdate transport system ATP-binding protein			SZUA-1494_412:677..1780	Sulfate/thiosulfate import ATP-binding protein CysA	K15497		K15497	K02017	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00972	K03639	[EC:4.1.99.22]	moaA, CNX2	GTP 3',8-cyclase	05CM1@bactNOG,0D1C7@chloNOG,COG2896@NOG	Catalyzes, together with MoaC, the conversion of 5'-GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1494_412:1833..2828	GTP 3',8-cyclase 1	K03639	K03639	K03639	K03639	K20967
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00973	K03637	[EC:4.6.1.17]	moaC, CNX3	cyclic pyranopterin monophosphate synthase	08YXW@bactNOG,0D2KG@chloNOG,COG0315@NOG	Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)			SZUA-1494_412:3157..3639	Cyclic pyranopterin monophosphate synthase	K03637	K03637		K03637	K20967
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00974									SZUA-1494_413:374..814	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00975	K00059	[EC:1.1.1.100]	fabG	3-oxoacyl-[acyl-carrier protein] reductase	05CHR@bactNOG,0GAWM@delNOG,0HDHP@dproNOG,0XNW1@NOG,16QA8@proNOG	Reductase			SZUA-1494_413:825..1706	3-oxoacyl-[acyl-carrier-protein] reductase FabG	K00059	K00059		K00059	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00976	K03738	[EC:1.2.7.5]	aor	aldehyde:ferredoxin oxidoreductase	05WE2@bactNOG,0NE6J@firmNOG,COG2414@NOG	Aldehyde ferredoxin oxidoreductase			SZUA-1494_414:c(13..1833)	putative oxidoreductase YdhV	K03738	K03738		K03738	K19515
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00977	K15827		hycB	formate hydrogenlyase subunit 2	COG1142@NOG	4Fe-4S Ferredoxin iron-sulfur binding domain protein			SZUA-1494_414:c(1844..2230)	putative ferredoxin-like protein YdhY	K15827				K15827
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00978	K03621	[EC:2.3.1.15]	plsX	glycerol-3-phosphate acyltransferase PlsX	05C6B@bactNOG,0D274@chloNOG,COG0416@NOG	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA (By similarity)			SZUA-1494_415:37..1119	Phosphate acyltransferase	K03621	K03621	K03621	K03621	K03621
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00979	K09458	[EC:2.3.1.179]	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	05C0Q@bactNOG,0EP1S@cloNOG,0NDUB@firmNOG,COG0304@NOG	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP (By similarity)			SZUA-1494_415:1097..2356	3-oxoacyl-[acyl-carrier-protein] synthase 2	K09458	K09458	K11609	K09458	K21789
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00980					05SP0@bactNOG,0D2QZ@chloNOG,12086@NOG	Primosome, DnaD subunit			SZUA-1494_416:c(430..1134)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00981	K02314	[EC:3.6.4.12]	dnaB	replicative DNA helicase	05CDU@bactNOG,0D1SA@chloNOG,COG0305@NOG	replicative DNA helicase			SZUA-1494_416:c(1155..2480)	Replicative DNA helicase	K02314	K02314		K02314	K02314
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00982	K08999		K08999	uncharacterized protein	05EF4@bactNOG,0D2IW@chloNOG,0D803@chlorNOG,COG1259@NOG	Pfam:DUF151			SZUA-1494_416:c(2527..2820)	hypothetical protein	K08999	K08999		K08999	K08999
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00983	K06897	[EC:2.5.1.105]	K06897	7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase	08R8Y@bactNOG,0GDN9@delNOG,0HH4S@dproNOG,177Z1@proNOG,COG1237@NOG	Metallo-beta-lactamase superfamily			SZUA-1494_417:c(28..759)	Ribonuclease BN	K06897	K06897	K06897	K06897	K06897
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00984					05VQN@bactNOG,0GH69@delNOG,0HHZB@dproNOG,1225C@NOG,17K0R@proNOG	Regulatory protein, FmdB family			SZUA-1494_417:c(1073..1315)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00985	K04488		iscU, nifU	nitrogen fixation protein NifU and related proteins	02HMH@arcNOG,0KTDX@eurNOG,COG0822@NOG,arCOG02077@arNOG	NifU-like N terminal domain			SZUA-1494_417:c(1334..1774)	Iron-sulfur cluster assembly scaffold protein IscU	K04488	K04488		K04488	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00986	K00335	[EC:1.6.5.3]	nuoF	NADH-quinone oxidoreductase subunit F	02U7A@arNOG,COG1145@NOG	Inherit from COG: Nadh dehydrogenase			SZUA-1494_417:c(1927..2376)	Ferredoxin-2	K00335			K00335	K16950
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00987					0KSGU@eurNOG,COG0731@NOG,arCOG00953@arNOG	radical SAM domain protein			SZUA-1494_417:c(2373..3170)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00988									SZUA-1494_417:c(3181..3378)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00989									SZUA-1494_417:c(3380..3622)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00990					05FTH@bactNOG,COG1149@NOG	cobyrinic Acid a,c-diamide synthase			SZUA-1494_417:c(3636..4187)	Septum site-determining protein MinD					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00991	K17734	[EC:3.4.21.-]	aprX	serine protease AprX	0KT9C@eurNOG,1CDK3@thermNOG,COG1404@NOG,arCOG00702@arNOG	serine protease			SZUA-1494_418:c(65..1345)	Serine protease AprX	K17734		K17734	K17734	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00992									SZUA-1494_418:c(1371..1631)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00993									SZUA-1494_418:c(1816..2229)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00994									SZUA-1494_419:974..2200	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00995	K01724	[EC:4.2.1.96]	PCBD, phhB	4a-hydroxytetrahydrobiopterin dehydratase	05EPU@bactNOG,0ET6H@cloNOG,0NF2K@firmNOG,COG0521@NOG	Molybdenum cofactor synthesis domain protein			SZUA-1494_419:c(2330..2836)	Molybdopterin adenylyltransferase	K01724			K01724	K03831
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00996					05M0B@bactNOG,0D2ZI@chloNOG,0G7DZ@dehNOG,COG3824@NOG	Possibl zinc metallo-peptidase			SZUA-1494_420:23..391	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00997	K00965	[EC:2.7.7.12]	galT, GALT	UDPglucose--hexose-1-phosphate uridylyltransferase	05F0Z@bactNOG,0GB82@delNOG,0HCFU@dproNOG,16YAH@proNOG,COG1085@NOG	Galactose-1-phosphate uridylyltransferase			SZUA-1494_420:583..1656	Galactose-1-phosphate uridylyltransferase	K00965	K00965	K00965	K00965	K00965
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00998	K14952		namH	UDP-MurNAc hydroxylase	05E6X@bactNOG,0B9IB@bproNOG,16RZQ@proNOG,COG2220@NOG	Inherit from proNOG: zn-dependent hydrolase			SZUA-1494_421:c(212..922)	hypothetical protein	K14952				K14952
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_00999	K01667	[EC:4.1.99.1]	tnaA	tryptophanase	05C0F@bactNOG,0G9IM@deiNOG,COG3033@NOG	Beta-eliminating lyase			SZUA-1494_421:c(938..2314)	Tyrosine phenol-lyase	K01667	K01667	K01667	K01667	K01667
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01000	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	COG1402@NOG,arCOG04536@arNOG	K01470 creatinine amidohydrolase EC 3.5.2.10			SZUA-1494_422:43..804	Creatinine amidohydrolase	K01470	K01470		K01470	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01001	K00845	[EC:2.7.1.2]	glk	glucokinase	05DKQ@bactNOG,0D2HX@chloNOG,0D6NA@chlorNOG,COG1940@NOG	ROK family			SZUA-1494_422:822..1436	Glucokinase	K00845	K00845		K00845	K20433
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01002	K00845	[EC:2.7.1.2]	glk	glucokinase	05DKQ@bactNOG,0D2HX@chloNOG,0D6NA@chlorNOG,COG1940@NOG	ROK family			SZUA-1494_422:1418..1831	Glucokinase	K00845	K00845		K00845	K20433
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01003	K01599	[EC:4.1.1.37]	hemE, UROD	uroporphyrinogen decarboxylase	08W6B@bactNOG,0ESVK@cloNOG,0NIPP@firmNOG,0YGBQ@NOG	Uroporphyrinogen decarboxylase (URO-D)			SZUA-1494_422:1840..2964	hypothetical protein	K01599	K01599		K01599	
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01004					05EG9@bactNOG,0XQJS@NOG				SZUA-1494_424:c(669..1580)	hypothetical protein					
Anaerolineae_bacterium_SZUA-1494|SZUA-1494_01005	K02484	[EC:2.7.13.3]	K02484	two-component system, OmpR family, sensor kinase	02TTM@arNOG,0M27W@eurNOG,0XNMH@NOG	Signal transduction histidine kinase			SZUA-1494_425:c(809..2035)	Alkaline phosphatase synthesis sensor protein PhoR	K02484			K02484	
