#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00205	K02836		prfB	peptide chain release factor 2	05CG1@bactNOG,0ND5I@firmNOG,0X1RC@negNOG,COG1186@NOG	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)			SZUA-1430_78:c(291..1211)	Peptide chain release factor 2	K02836	K02836		K02836	K15034
Candidatus_bacterium_SZUA-1430|SZUA-1430_00207	K02051		ABC.SN.S	NitT/TauT family transport system substrate-binding protein	1CB2A@thaNOG,COG0715@NOG,arCOG01803@arNOG	NMT1/THI5 like			SZUA-1430_79:c(35..1069)	Putative aliphatic sulfonates-binding protein	K02051	K02051	K02051	K02051	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00208	K01905	[EC:6.2.1.13]	acdA	acetate---CoA ligase (ADP-forming) subunit alpha	05CD5@bactNOG,0EQJM@cloNOG,0NFCI@firmNOG,COG1042@NOG	synthetase			SZUA-1430_80:c(96..2189)	Protein lysine acetyltransferase Pka	K01905			K01905	K18594
Candidatus_bacterium_SZUA-1430|SZUA-1430_00209					0696E@bactNOG,0EVC8@cloNOG,0NP42@firmNOG,COG3326@NOG	membrane			SZUA-1430_80:c(2506..2805)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00210	K03686		dnaJ	molecular chaperone DnaJ	05BZ5@bactNOG,0ND4P@firmNOG,0X1XK@negNOG,COG0484@NOG	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)			SZUA-1430_80:c(2942..3388)	Chaperone protein DnaJ	K03686	K03686		K03686	K14002
Candidatus_bacterium_SZUA-1430|SZUA-1430_00211									SZUA-1430_80:c(3553..3813)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00212									SZUA-1430_81:290..493	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00213	K06933		K06933	uncharacterized protein	05VYW@bactNOG,0F4TU@cloNOG,0P382@firmNOG,COG1342@NOG	UPF0251 protein			SZUA-1430_81:497..775	hypothetical protein	K06933				K06933
Candidatus_bacterium_SZUA-1430|SZUA-1430_00214	K02519		infB, MTIF2	translation initiation factor IF-2	07QHU@bactNOG,0P2G2@firmNOG,0X1UY@negNOG,COG0532@NOG	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)			SZUA-1430_81:c(849..2663)	Translation initiation factor IF-2	K02519	K02519		K02519	K03243
Candidatus_bacterium_SZUA-1430|SZUA-1430_00215					05MCQ@bactNOG,0EU2X@cloNOG,0NKN9@firmNOG,11U8H@NOG				SZUA-1430_81:c(2684..3178)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00216	K03981	[EC:5.3.4.1]	dsbC	thiol:disulfide interchange protein DsbC	07MBZ@bactNOG,0QWG5@gproNOG,174MA@proNOG,COG1651@NOG	Inherit from proNOG: dsbA oxidoreductase			SZUA-1430_81:c(3367..4119)	hypothetical protein	K03981				K03981
Candidatus_bacterium_SZUA-1430|SZUA-1430_00217	K15539		rodZ	cytoskeleton protein RodZ	05MY8@bactNOG,0ES7U@cloNOG,0NM1E@firmNOG,COG1426@NOG	transcriptional regulator, XRE family			SZUA-1430_82:c(190..1215)	hypothetical protein	K15539			K15539	K15539
Candidatus_bacterium_SZUA-1430|SZUA-1430_00218	K03466		ftsK, spoIIIE	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	05CNU@bactNOG,1AMKN@spiNOG,COG1674@NOG	Cell division protein			SZUA-1430_82:c(1278..1724)	DNA translocase FtsK	K03466	K03466		K03466	K03466
Candidatus_bacterium_SZUA-1430|SZUA-1430_00219	K01808	[EC:5.3.1.6]	rpiB	ribose 5-phosphate isomerase B	08YZG@bactNOG,09G2I@bctoNOG,COG0698@NOG	RpiB LacA LacB family			SZUA-1430_83:c(188..631)	Ribose-5-phosphate isomerase B	K01808	K01808	K01808	K01808	K21911
Candidatus_bacterium_SZUA-1430|SZUA-1430_00220									SZUA-1430_83:c(649..1047)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00221									SZUA-1430_83:c(1054..1200)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00222	K03387	[EC:1.6.4.-]	ahpF	alkyl hydroperoxide reductase subunit F	08JU3@bactNOG,0QHPN@fusoNOG,COG3634@NOG	Pyridine nucleotide-disulphide oxidoreductase			SZUA-1430_83:c(1477..2406)	NADH dehydrogenase	K03387	K03387		K03387	K03387
Candidatus_bacterium_SZUA-1430|SZUA-1430_00223	K03676		grxC, GLRX, GLRX2	glutaredoxin 3	07YE2@bactNOG,1CGQ7@therNOG,COG0695@NOG	glutaredoxin-like protein, YruB-family			SZUA-1430_83:c(2479..2724)	Glutaredoxin 3	K03676			K03676	K18917
Candidatus_bacterium_SZUA-1430|SZUA-1430_00224									SZUA-1430_84:213..386	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00225					11TD0@NOG,1CBZF@thaNOG,arCOG08766@arNOG	dUTPase			SZUA-1430_84:c(388..720)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00226	K00850	[EC:2.7.1.11]	pfkA, PFK	6-phosphofructokinase 1	1CBHW@thaNOG,COG0524@NOG,arCOG00014@arNOG	Phosphomethylpyrimidine kinase			SZUA-1430_84:c(753..1646)	5-dehydro-2-deoxygluconokinase	K00850			K00850	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00227	K02929		RP-L44e, RPL44	large subunit ribosomal protein L44e	1CC2T@thaNOG,COG1631@NOG,arCOG04109@arNOG	Ribosomal protein L44E			SZUA-1430_85:631..921	hypothetical protein	K02929	K02929	K02929	K02929	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00228	K02978		RP-S27e, RPS27	small subunit ribosomal protein S27e	1CC8B@thaNOG,COG2051@NOG,arCOG04108@arNOG	Ribosomal protein S27E			SZUA-1430_85:918..1115	hypothetical protein	K02978	K02978		K02978	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00229	K19712	[EC:2.7.7.62]	cobY	adenosylcobinamide-phosphate guanylyltransferase	1CB4U@thaNOG,COG2266@NOG,arCOG01871@arNOG	5-deoxyadenosylcobinamide phosphate nucleotidyltransferase			SZUA-1430_85:c(1098..1682)	Molybdenum cofactor guanylyltransferase	K19712	K19712		K19712	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00230	K02233	[EC:2.7.8.26]	E2.7.8.26, cobS, cobV	adenosylcobinamide-GDP ribazoletransferase	1CBDV@thaNOG,COG0368@NOG,arCOG04338@arNOG	Joins Ado-cobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin) (By similarity)			SZUA-1430_85:c(1679..2404)	Adenosylcobinamide-GDP ribazoletransferase	K02233	K02233		K02233	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00231	K02227	[EC:6.3.1.10]	cbiB, cobD	adenosylcobinamide-phosphate synthase	1CBTP@thaNOG,COG1270@NOG,arCOG04274@arNOG	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group (By similarity)			SZUA-1430_85:c(2397..3092)	Cobalamin biosynthesis protein CobD	K02227	K02227		K02227	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00232	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	05BZA@bactNOG,0ENRZ@cloNOG,0ND8W@firmNOG,COG0126@NOG,COG0149@NOG	Phosphoglycerate kinase			SZUA-1430_86:c(39..1115)	Bifunctional PGK/TIM	K00927	K00927		K00927	K21910
Candidatus_bacterium_SZUA-1430|SZUA-1430_00233	K01000	[EC:2.7.8.13]	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase	05CPY@bactNOG,0D1AW@chloNOG,COG0472@NOG	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan (By similarity)			SZUA-1430_86:c(1145..2248)	Phospho-N-acetylmuramoyl-pentapeptide- transferase	K01000	K01000		K01000	K13685
Candidatus_bacterium_SZUA-1430|SZUA-1430_00234	K07258	[EC:3.4.16.4]	dacC, dacA, dacD	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	05DZ1@bactNOG,0EP3W@cloNOG,0NDKU@firmNOG,COG1686@NOG	Carboxypeptidase			SZUA-1430_86:c(2269..3063)	D-alanyl-D-alanine carboxypeptidase DacB	K07258	K07258		K01286	K07262
Candidatus_bacterium_SZUA-1430|SZUA-1430_00235									SZUA-1430_87:158..379	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00236									SZUA-1430_87:827..1027	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00237	K02835		prfA, MTRF1, MRF1	peptide chain release factor 1	04RY0@bacNOG,05C8K@bactNOG,0NDAM@firmNOG,COG0216@NOG	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)			SZUA-1430_88:154..1236	Peptide chain release factor 1	K02835	K02835		K02835	K02835
Candidatus_bacterium_SZUA-1430|SZUA-1430_00238									SZUA-1430_88:c(1285..1497)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00239									SZUA-1430_88:c(1535..1798)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00240									SZUA-1430_89:c(541..1146)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00241	K07011		K07011	uncharacterized protein	05DM7@bactNOG,0EQQ9@cloNOG,0NF5T@firmNOG,0XP57@NOG	glycosyl transferase group 1			SZUA-1430_89:c(1165..1497)	D-inositol 3-phosphate glycosyltransferase	K07011			K07011	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00242									SZUA-1430_90:14..1066	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00243	K05844	[EC:6.3.2.-]	rimK	ribosomal protein S6--L-glutamate ligase	0KSD0@eurNOG,COG0189@NOG,arCOG01589@arNOG	ribosomal protein S6 modification protein			SZUA-1430_90:1074..1937	Ribosomal protein S6--L-glutamate ligase	K05844			K05844	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00244					1CBUR@thaNOG,COG1371@NOG,arCOG04055@arNOG	Archease protein family (MTH1598/TM1083)			SZUA-1430_91:711..1127	Protein archease					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00245	K03243		EIF5B	translation initiation factor 5B	1CBKS@thaNOG,COG0532@NOG,arCOG01560@arNOG	Function in general translation initiation by promoting the binding of the formylmethionine-tRNA to ribosomes. Seems to function along with eIF-2 (By similarity)			SZUA-1430_91:c(1133..2740)	Translation initiation factor IF-2	K03243	K03243		K03243	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00246	K03701		uvrA	excinuclease ABC subunit A	05C5U@bactNOG,0QI2R@gproNOG,16PIE@proNOG,COG0178@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate (By similarity)			SZUA-1430_92:111..551	UvrABC system protein A	K03701	K03701		K03701	K03701
Candidatus_bacterium_SZUA-1430|SZUA-1430_00247					08ZX8@bactNOG,11PFQ@NOG				SZUA-1430_92:621..1556	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00248									SZUA-1430_92:1677..2132	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00249	K00971	[EC:2.7.7.13]	manC, cpsB	mannose-1-phosphate guanylyltransferase	05CJT@bactNOG,COG0836@NOG	Mannose-1-phosphate guanylyltransferase			SZUA-1430_92:c(2226..3302)	Alginate biosynthesis protein AlgA	K00971	K00971		K00971	K16011
Candidatus_bacterium_SZUA-1430|SZUA-1430_00250	K12994	[EC:2.4.1.349][EC:2.4.1.-]	wbdB, wbpY	mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / alpha-1,3-rhamnosyltransferase	08TJN@bactNOG,0GBWD@delNOG,0I30B@eproNOG,17829@proNOG,COG0438@NOG	glycosyl transferase group 1			SZUA-1430_93:4..348	Sucrose synthase	K12994			K12994	K21586
Candidatus_bacterium_SZUA-1430|SZUA-1430_00251					07R58@bactNOG,0D19B@chloNOG,0XP57@NOG	glycosyl transferase group 1			SZUA-1430_93:589..1755	Glycogen synthase					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00252	K02341	[EC:2.7.7.7]	holB	DNA polymerase III subunit delta'	08HGN@bactNOG,0F6UX@cloNOG,0P5WS@firmNOG,COG2812@NOG	DNA polymerase III			SZUA-1430_93:1752..2630	DNA polymerase III subunit tau	K02341	K02341		K02341	K02343
Candidatus_bacterium_SZUA-1430|SZUA-1430_00253					08QXI@bactNOG,0GB2G@delNOG,0I2YP@eproNOG,0ZUP7@NOG,177YC@proNOG				SZUA-1430_94:69..629	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00254					01VM1@aproNOG,08KR5@bactNOG,0XQIY@NOG,176D2@proNOG	Type IV secretion-system coupling protein DNA-binding domain			SZUA-1430_95:c(239..2011)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00255	K07281	[EC:2.7.7.74]	ipct	1L-myo-inositol 1-phosphate cytidylyltransferase	08Y5D@bactNOG,0P4G6@firmNOG,COG0558@NOG,COG1213@NOG	CDP-alcohol phosphatidyltransferase			SZUA-1430_96:c(169..1521)	Bifunctional IPC transferase and DIPP synthase	K07281			K07281	K07281
Candidatus_bacterium_SZUA-1430|SZUA-1430_00256	K18779	[EC:2.4.2.48]	tgtA	7-cyano-7-deazaguanine tRNA-ribosyltransferase	1CB8F@thaNOG,COG0343@NOG,arCOG00989@arNOG	Exchanges the guanine residue with 7-cyano-7- deazaguanine (preQ0) at position 15 in the dihydrouridine loop (D- loop) of archaeal tRNAs (By similarity)			SZUA-1430_97:20..1528	Queuine tRNA-ribosyltransferase	K18779	K18779		K18779	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00257	K01834	[EC:5.4.2.11]	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0KSVZ@eurNOG,0WM1I@methaNOG,COG0588@NOG,arCOG01993@arNOG	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)			SZUA-1430_98:16..702	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	K01834	K01834		K01834	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00258	K03711		fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	081VT@bactNOG,COG0735@NOG	regulator Fur family			SZUA-1430_98:921..1340	Ferric uptake regulation protein	K03711	K03711		K03711	K09826
Candidatus_bacterium_SZUA-1430|SZUA-1430_00259	K00764	[EC:2.4.2.14]	purF, PPAT	amidophosphoribosyltransferase	1CBCP@thaNOG,COG0034@NOG,arCOG00093@arNOG	Glutamine phosphoribosylpyrophosphate amidotransferase			SZUA-1430_99:16..1452	Amidophosphoribosyltransferase	K00764	K00764		K00764	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00260					111F8@NOG,1CC9N@thaNOG,arCOG08816@arNOG				SZUA-1430_100:121..447	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00261	K06920	[EC:6.3.4.20]	queC	7-cyano-7-deazaguanine synthase	1CBDX@thaNOG,COG0603@NOG,arCOG00039@arNOG	ExsB family			SZUA-1430_100:c(454..1155)	7-cyano-7-deazaguanine synthase	K06920	K06920		K06920	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00262	K00872	[EC:2.7.1.39]	thrB1	homoserine kinase	1CBT3@thaNOG,COG0083@NOG,arCOG01027@arNOG	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate (By similarity)			SZUA-1430_100:c(1130..2077)	Homoserine kinase	K00872	K00872		K00872	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00263									SZUA-1430_100:c(2077..2199)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00264									SZUA-1430_101:3..2501	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00265	K03437		spoU	RNA methyltransferase, TrmH family	00JB1@actNOG,08XWH@bactNOG,0XZKT@NOG	rrna methyltransferase			SZUA-1430_102:23..760	23S rRNA (adenosine(1067)-2'-O)-methyltransferase	K03437			K03437	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00266	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0ENUI@cloNOG,0NDAT@firmNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1430_102:815..1585	Methionine aminopeptidase 1	K01265	K01265		K01265	K14813
Candidatus_bacterium_SZUA-1430|SZUA-1430_00267	K07447	[EC:3.1.-.-]	ruvX	putative holliday junction resolvase	08Z08@bactNOG,0ETDW@cloNOG,0NJ78@firmNOG,COG0816@NOG	Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)			SZUA-1430_102:1587..1976	Putative pre-16S rRNA nuclease	K07447	K07447		K07447	K07447
Candidatus_bacterium_SZUA-1430|SZUA-1430_00268									SZUA-1430_103:446..949	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00269	K19824		fprB	rubrerythrin	08RAC@bactNOG,0ERT5@cloNOG,0NHDZ@firmNOG,COG1592@NOG	Rubrerythrin			SZUA-1430_103:c(1023..1595)	Rubrerythrin	K19824				K19824
Candidatus_bacterium_SZUA-1430|SZUA-1430_00270									SZUA-1430_103:c(1592..1693)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00271	K15986	[EC:3.6.1.1]	ppaC	manganese-dependent inorganic pyrophosphatase	05E2M@bactNOG,COG1227@NOG	Manganese-dependent inorganic pyrophosphatase			SZUA-1430_103:c(1705..2619)	putative manganese-dependent inorganic pyrophosphatase	K15986	K15986		K15986	K15986
Candidatus_bacterium_SZUA-1430|SZUA-1430_00272	K01933	[EC:6.3.3.1]	purM	phosphoribosylformylglycinamidine cyclo-ligase	04RY8@bacNOG,05CXB@bactNOG,0NE6E@firmNOG,COG0150@NOG	phosphoribosylaminoimidazole synthetase			SZUA-1430_104:c(2427..3707)	Phosphoribosylformylglycinamidine cyclo-ligase	K01933	K01933		K01933	K01933
Candidatus_bacterium_SZUA-1430|SZUA-1430_00273	K01952	[EC:6.3.5.3]	purL, PFAS	phosphoribosylformylglycinamidine synthase	07QIK@bactNOG,0GAVM@delNOG,0HCGX@dproNOG,16PCT@proNOG,COG0046@NOG,COG0047@NOG	Phosphoribosylformylglycinamidine synthase II			SZUA-1430_104:c(3727..4083)	Phosphoribosylformylglycinamidine synthase	K01952	K01952		K01952	K01952
Candidatus_bacterium_SZUA-1430|SZUA-1430_00274	K02959		RP-S16, MRPS16, rpsP	small subunit ribosomal protein S16	082B1@bactNOG,0QFP0@fusoNOG,COG0228@NOG	30S ribosomal protein S16			SZUA-1430_105:126..623	30S ribosomal protein S16	K02959	K02959		K02959	K02959
Candidatus_bacterium_SZUA-1430|SZUA-1430_00275	K02864		RP-L10, MRPL10, rplJ	large subunit ribosomal protein L10	08VZM@bactNOG,COG0244@NOG	50s ribosomal protein L10			SZUA-1430_105:915..1433	50S ribosomal protein L10	K02864	K02864		K02864	K14815
Candidatus_bacterium_SZUA-1430|SZUA-1430_00276	K02935		RP-L7, MRPL12, rplL	large subunit ribosomal protein L7/L12	05KBC@bactNOG,0GFIT@delNOG,0HGDI@dproNOG,17FF2@proNOG,COG0222@NOG	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)			SZUA-1430_105:1487..1918	50S ribosomal protein L7/L12	K02935	K02935		K02935	K02935
Candidatus_bacterium_SZUA-1430|SZUA-1430_00277	K06821		PLXNB	plexin B					SZUA-1430_105:2168..2395	hypothetical protein	K06821	K06821			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00278	K02224	[EC:6.3.5.9][EC:6.3.5.11]	cobB-cbiA	cobyrinic acid a,c-diamide synthase	1CBDS@thaNOG,COG1797@NOG,arCOG00106@arNOG	Responsible for the amidation of carboxylic groups at position A and C of either cobyrinic acid or hydrogenobrynic acid. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation (By similarity)			SZUA-1430_106:97..951	Cobyrinate a,c-diamide synthase	K02224	K02224		K02224	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00279					COG0667@NOG,arCOG01617@arNOG	aldo keto reductase			SZUA-1430_106:c(995..1933)	Aldo-keto reductase IolS					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00280									SZUA-1430_106:c(2127..2306)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00281	K06042	[EC:5.4.99.61][EC:5.4.99.60]	cobH-cbiC	precorrin-8X/cobalt-precorrin-8 methylmutase	1CB43@thaNOG,COG2082@NOG,arCOG02247@arNOG	precorrin-8X methylmutase CbiC CobH			SZUA-1430_106:c(2310..2714)	Cobalt-precorrin-8 methylmutase	K06042	K06042		K05934	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00282	K08303	[EC:3.4.-.-]	K08303	putative protease	05CFP@bactNOG,1DH1A@verNOG,COG0826@NOG	Peptidase U32			SZUA-1430_107:74..1336	putative protease YdcP	K08303	K08303		K08303	K08303
Candidatus_bacterium_SZUA-1430|SZUA-1430_00283									SZUA-1430_107:1376..2242	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00284	K05337		fer	ferredoxin	05Y0W@bactNOG,09GHN@bctoNOG,0G08W@cytNOG,1250M@NOG	Inherit from bctoNOG: 4Fe-4S ferredoxin, iron-sulfur binding			SZUA-1430_107:2332..2580	hypothetical protein	K05337	K05337		K05337	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00285	K01883	[EC:6.1.1.16]	CARS, cysS	cysteinyl-tRNA synthetase	05C8N@bactNOG,0EPKC@cloNOG,0NDM8@firmNOG,COG0215@NOG	Cysteinyl-tRNA synthetase			SZUA-1430_107:c(2709..4136)	Cysteine--tRNA ligase	K01883	K01883		K01883	K15526
Candidatus_bacterium_SZUA-1430|SZUA-1430_00286	K03284		corA	magnesium transporter	0806U@bactNOG,0D2DC@chloNOG,0G6S7@dehNOG,COG0598@NOG	Magnesium and cobalt transport protein			SZUA-1430_107:c(4196..5107)	Cobalt/magnesium transport protein CorA	K03284	K03284		K03284	K16074
Candidatus_bacterium_SZUA-1430|SZUA-1430_00287									SZUA-1430_108:c(140..1345)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00288	K02847	[EC:2.4.1.-]	waaL, rfaL	O-antigen ligase	068PG@bactNOG,0F3WM@cloNOG,0P1W4@firmNOG,0XW26@NOG	O-Antigen ligase			SZUA-1430_108:c(1314..1853)	hypothetical protein	K02847			K02847	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00289									SZUA-1430_109:c(735..1700)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00290									SZUA-1430_109:c(1819..2508)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00291									SZUA-1430_109:c(2666..3355)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00292									SZUA-1430_110:114..272	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00293	K07114		yfbK	Ca-activated chloride channel homolog	04RZ2@bacNOG,08TF4@bactNOG,0NEJB@firmNOG,COG2304@NOG	D-amino acid dehydrogenase large subunit			SZUA-1430_110:296..1738	hypothetical protein	K07114	K07114	K07114	K07114	K07114
Candidatus_bacterium_SZUA-1430|SZUA-1430_00294									SZUA-1430_110:1748..2431	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00295									SZUA-1430_110:2454..3764	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00296									SZUA-1430_111:82..267	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00297	K00820	[EC:2.6.1.16]	glmS, GFPT	glucosamine---fructose-6-phosphate aminotransferase (isomerizing)	05C46@bactNOG,COG0449@NOG	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source (By similarity)			SZUA-1430_111:320..2146	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	K00820	K00820	K00820	K00820	K00820
Candidatus_bacterium_SZUA-1430|SZUA-1430_00298	K13292	[EC:2.-.-.-]	lgt, umpA	phosphatidylglycerol:prolipoprotein diacylglycerol transferase	05C3B@bactNOG,0D066@chlNOG,COG0682@NOG	Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins (By similarity)			SZUA-1430_112:41..436	Prolipoprotein diacylglyceryl transferase	K13292	K13292		K13292	K13292
Candidatus_bacterium_SZUA-1430|SZUA-1430_00299									SZUA-1430_112:441..1763	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00300									SZUA-1430_113:c(188..1672)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00301									SZUA-1430_115:362..664	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00302	K03585		acrA, mexA, adeI, smeD, mtrC, cmeA	membrane fusion protein, multidrug efflux system	08KX7@bactNOG,0QMWD@gproNOG,176GP@proNOG,COG0845@NOG	RND Family Efflux Transporter MFP Subunit			SZUA-1430_115:681..1712	Efflux pump periplasmic linker BepF	K03585			K03585	K21137
Candidatus_bacterium_SZUA-1430|SZUA-1430_00303									SZUA-1430_115:c(2675..2914)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00304	K03439	[EC:2.1.1.33]	trmB, METTL1	tRNA (guanine-N7-)-methyltransferase	04SFT@bacNOG,05CZ1@bactNOG,0NFUR@firmNOG,COG0220@NOG	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA (By similarity)			SZUA-1430_116:149..439	tRNA (guanine-N(7)-)-methyltransferase	K03439	K03439		K03439	K03439
Candidatus_bacterium_SZUA-1430|SZUA-1430_00305					05MFP@bactNOG,0QUC1@gproNOG,11VAT@NOG,17GEH@proNOG				SZUA-1430_116:557..817	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00306									SZUA-1430_116:917..1315	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00307									SZUA-1430_117:c(211..321)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00308	K03074		secF	preprotein translocase subunit SecF	07SBW@bactNOG,0EQM2@cloNOG,0NF0N@firmNOG,COG0341@NOG	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity)			SZUA-1430_117:c(311..1234)	Protein translocase subunit SecF	K03074	K03074		K03074	K12257
