#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00378									SZUA-1403_50:18..1922	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00379	K18346		vanW	vancomycin resistance protein VanW	073R8@bactNOG,COG2720@NOG	VanW family			SZUA-1403_50:1929..3317	Vancomycin B-type resistance protein VanW	K18346			K18346	K18346
Candidatus_bacterium_SZUA-1403|SZUA-1403_00380	K03705		hrcA	heat-inducible transcriptional repressor	00DBA@actNOG,05CI8@bactNOG,COG1420@NOG	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons (By similarity)			SZUA-1403_50:c(3337..4143)	Heat-inducible transcription repressor HrcA	K03705	K03705		K03705	K03705
Candidatus_bacterium_SZUA-1403|SZUA-1403_00381	K01924	[EC:6.3.2.8]	murC	UDP-N-acetylmuramate--alanine ligase	05DFU@bactNOG,0ENPQ@cloNOG,0ND4Y@firmNOG,COG0773@NOG	Cell wall formation (By similarity)			SZUA-1403_50:c(4145..5551)	UDP-N-acetylmuramate--L-alanine ligase	K01924	K01924		K01921	K02558
Candidatus_bacterium_SZUA-1403|SZUA-1403_00382	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	05C7K@bactNOG,0D1A9@chloNOG,0G6X8@dehNOG,COG0028@NOG	acetolactate synthase large subunit			SZUA-1403_50:c(5630..7339)	Acetolactate synthase large subunit	K01652	K01652		K01652	K21428
Candidatus_bacterium_SZUA-1403|SZUA-1403_00383					02FSG@aquNOG,082S3@bactNOG,COG1238@NOG	SNARE associated Golgi			SZUA-1403_50:c(7354..7836)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00384	K12600		SKI3, TTC37	superkiller protein 3	05RQ9@bactNOG,0BBK4@bproNOG,16USD@proNOG,COG0457@NOG	repeat-containing protein			SZUA-1403_50:c(7869..8729)	hypothetical protein	K12600			K12600	K20543
Candidatus_bacterium_SZUA-1403|SZUA-1403_00385	K11540	[EC:6.3.5.5][EC:2.1.3.2][EC:3.5.2.3]	CAD	carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase	03ID4@ascNOG,0G0SD@debNOG,0PFDZ@fuNOG,12NKD@opiNOG,197QB@saccNOG,COG0044@NOG,COG0458@NOG,COG0505@NOG,COG0540@NOG,KOG0370@euNOG	CPSase_L_D3			SZUA-1403_50:c(8762..9868)	Carbamoyl-phosphate synthase small chain	K11540	K11540	K01956	K01954	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00386	K02314	[EC:3.6.4.12]	dnaB	replicative DNA helicase	05CDU@bactNOG,0D1SA@chloNOG,COG0305@NOG	replicative DNA helicase			SZUA-1403_50:c(10330..11676)	Replicative DNA helicase	K02314	K02314		K02314	K02314
Candidatus_bacterium_SZUA-1403|SZUA-1403_00387	K03321		TC.SULP	sulfate permease, SulP family	05CHH@bactNOG,0QJ15@gproNOG,16Q3C@proNOG,COG0659@NOG	Sulfate transporter			SZUA-1403_50:11844..13388	Bicarbonate transporter BicA	K03321	K03321		K03321	K03321
Candidatus_bacterium_SZUA-1403|SZUA-1403_00388									SZUA-1403_50:13910..14836	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00389	K18856	[EC:6.3.2.35]	vanC, vanE, vanG	D-alanine---D-serine ligase	08EJC@bactNOG,0BR58@bproNOG,170YY@proNOG,COG0456@NOG,COG1181@NOG	RimK-like ATP-grasp domain			SZUA-1403_50:14847..16454	Cyanophycin synthetase	K18856				K18856
Candidatus_bacterium_SZUA-1403|SZUA-1403_00390	K01955	[EC:6.3.5.5]	carB, CPA2	carbamoyl-phosphate synthase large subunit	055R4@bacteNOG,05CU6@bactNOG,09AFY@bctoNOG,COG0458@NOG	carbamoylphosphate synthase, large subunit			SZUA-1403_50:16507..18159	Carbamoyl-phosphate synthase large chain	K01955	K01955		K01955	K16181
Candidatus_bacterium_SZUA-1403|SZUA-1403_00391	K01890	[EC:6.1.1.20]	FARSB, pheT	phenylalanyl-tRNA synthetase beta chain	05C6A@bactNOG,COG0072@NOG,COG0073@NOG	phenylalanyl-tRNA synthetase (beta subunit)			SZUA-1403_50:18764..21241	Phenylalanine--tRNA ligase beta subunit	K01890	K01890		K01890	K06878
Candidatus_bacterium_SZUA-1403|SZUA-1403_00392					051Z4@bacNOG,05T09@bactNOG,0NMCH@firmNOG,11ZJU@NOG	S-layer homology domain			SZUA-1403_50:21288..23006	Surface layer protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00393	K04567	[EC:6.1.1.6]	KARS, lysS	lysyl-tRNA synthetase, class II	05CRK@bactNOG,0NTSW@firmNOG,COG1190@NOG	tRNA synthetases class II (D, K and N)			SZUA-1403_51:c(116..1696)	Lysine--tRNA ligase	K04567	K04567		K04567	K04567
Candidatus_bacterium_SZUA-1403|SZUA-1403_00394									SZUA-1403_51:c(1745..2311)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00395	K02503		HINT1, hinT, hit	histidine triad (HIT) family protein	05K59@bactNOG,0QR40@gproNOG,17FT2@proNOG,COG0537@NOG	Histidine triad (HIT) protein			SZUA-1403_51:c(2337..2648)	Purine nucleoside phosphoramidase	K02503	K02503		K02503	K19710
Candidatus_bacterium_SZUA-1403|SZUA-1403_00396					COG0398@NOG,KOG3140@euNOG	transmembrane protein 41A			SZUA-1403_51:c(2660..3385)	TVP38/TMEM64 family inner membrane protein YdjZ					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00397	K04517	[EC:1.3.1.12]	tyrA2	prephenate dehydrogenase	0KRB9@eurNOG,0WJYI@methaNOG,COG0287@NOG,arCOG00245@arNOG	prephenate dehydrogenase			SZUA-1403_51:c(3414..5171)	T-protein	K04517			K04517	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00398	K02838		frr, MRRF, RRF	ribosome recycling factor	08VCV@bactNOG,0I75H@eryNOG,0NH5V@firmNOG,COG0233@NOG	Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another (By similarity)			SZUA-1403_51:c(5171..5722)	Ribosome-recycling factor	K02838	K02838		K02838	K02838
Candidatus_bacterium_SZUA-1403|SZUA-1403_00399	K03981	[EC:5.3.4.1]	dsbC	thiol:disulfide interchange protein DsbC	067K8@bactNOG,0G8KW@deiNOG,COG1651@NOG	dsba oxidoreductase			SZUA-1403_51:c(5794..6507)	hypothetical protein	K03981				K03981
Candidatus_bacterium_SZUA-1403|SZUA-1403_00400	K04075	[EC:6.3.4.19]	tilS, mesJ	tRNA(Ile)-lysidine synthase	07THF@bactNOG,0QF07@fusoNOG,COG0037@NOG	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)			SZUA-1403_51:c(6549..7478)	tRNA(Ile)-lysidine synthase	K04075	K04075		K04075	K21947
Candidatus_bacterium_SZUA-1403|SZUA-1403_00401	K01916	[EC:6.3.1.5]	nadE	NAD+ synthase	05C4K@bactNOG,0GBMK@delNOG,0HD4E@dproNOG,16PJ8@proNOG,COG0171@NOG	NAD synthetase			SZUA-1403_51:c(7654..8430)	NH(3)-dependent NAD(+) synthetase	K01916	K01916		K01916	K01950
Candidatus_bacterium_SZUA-1403|SZUA-1403_00402									SZUA-1403_51:c(8452..8673)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00403	K02470	[EC:5.99.1.3]	gyrB	DNA gyrase subunit B	05C7D@bactNOG,0EPF5@cloNOG,0NDDM@firmNOG,COG0187@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1403_51:c(8695..10680)	DNA gyrase subunit B	K02470	K02470	K02470	K02470	K03164
Candidatus_bacterium_SZUA-1403|SZUA-1403_00404	K01934	[EC:6.3.3.2]	MTHFS	5-formyltetrahydrofolate cyclo-ligase	07XQK@bactNOG,0I7TC@eryNOG,0P3I0@firmNOG,COG0212@NOG	5-formyltetrahydrofolate cyclo-ligase			SZUA-1403_51:c(10723..11352)	5-formyltetrahydrofolate cyclo-ligase	K01934	K01934		K01934	K01934
Candidatus_bacterium_SZUA-1403|SZUA-1403_00405	K06889		K06889	uncharacterized protein	0629G@bactNOG,126BV@NOG,17PAF@proNOG				SZUA-1403_51:c(11373..12068)	hypothetical protein	K06889			K06889	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00406	K06158		ABCF3	ATP-binding cassette, subfamily F, member 3	05C5H@bactNOG,COG0488@NOG	ABC transporter			SZUA-1403_51:c(12091..13902)	putative ABC transporter ATP-binding protein YbiT	K06158	K06158		K06158	K19350
Candidatus_bacterium_SZUA-1403|SZUA-1403_00407									SZUA-1403_52:c(243..464)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00408					04WPE@bacNOG,05VX5@bactNOG,0NNN9@firmNOG,122FY@NOG				SZUA-1403_52:c(490..849)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00409									SZUA-1403_52:c(898..1254)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00410	K01875	[EC:6.1.1.11]	SARS, serS	seryl-tRNA synthetase	00D2M@actNOG,05CGR@bactNOG,COG0172@NOG	Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec) (By similarity)			SZUA-1403_52:c(1304..2569)	Serine--tRNA ligase	K01875	K01875	K01875	K01875	K01875
Candidatus_bacterium_SZUA-1403|SZUA-1403_00411	K11717	[EC:2.8.1.7][EC:4.4.1.16]	sufS	cysteine desulfurase / selenocysteine lyase	05C9B@bactNOG,0ENPH@cloNOG,0NDF4@firmNOG,COG0520@NOG	Cysteine desulfurase			SZUA-1403_53:c(56..1297)	Cysteine desulfurase SufS	K11717	K11717		K04487	K21330
Candidatus_bacterium_SZUA-1403|SZUA-1403_00412	K00783	[EC:2.1.1.177]	rlmH	23S rRNA (pseudouridine1915-N3)-methyltransferase	08UXA@bactNOG,0ETA3@cloNOG,0NI3G@firmNOG,COG1576@NOG	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA (By similarity)			SZUA-1403_53:c(1299..1781)	Ribosomal RNA large subunit methyltransferase H	K00783	K00783		K00783	K00783
Candidatus_bacterium_SZUA-1403|SZUA-1403_00413	K00891	[EC:2.7.1.71]	E2.7.1.71, aroK, aroL	shikimate kinase	07ZC0@bactNOG,0GFZX@delNOG,0HHZ4@dproNOG,16WZT@proNOG,COG0703@NOG	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)			SZUA-1403_53:c(1796..2350)	Shikimate kinase 2	K00891	K00891		K00891	K15546
Candidatus_bacterium_SZUA-1403|SZUA-1403_00414									SZUA-1403_53:c(2368..3387)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00415	K05364		pbpA	penicillin-binding protein A	08JQB@bactNOG,0D60V@chloNOG,0D8ZN@chlorNOG,COG4953@NOG	Glycosyl transferase family protein			SZUA-1403_53:c(3402..7025)	Penicillin-binding protein 1A/1B	K05364			K05364	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00416	K03624		greA	transcription elongation factor GreA	08UKH@bactNOG,0ESER@cloNOG,0NJC5@firmNOG,COG0782@NOG	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)			SZUA-1403_53:c(7154..7618)	Transcription elongation factor GreA	K03624	K03624		K03624	K06140
Candidatus_bacterium_SZUA-1403|SZUA-1403_00417	K03086		rpoD	RNA polymerase primary sigma factor	05DG1@bactNOG,1C8C9@synNOG,COG0568@NOG	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)			SZUA-1403_53:c(7680..9023)	RNA polymerase sigma factor SigA	K03086	K03086		K02316	K03089
Candidatus_bacterium_SZUA-1403|SZUA-1403_00418	K15283		SLC35E1	solute carrier family 35, member E1					SZUA-1403_54:c(303..680)	hypothetical protein	K15283	K15283			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00419									SZUA-1403_54:c(692..1951)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00420									SZUA-1403_54:c(2272..3261)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00421					05J5N@bactNOG,09FWT@bctoNOG,0PAT1@flaNOG,11SKE@NOG				SZUA-1403_54:c(3470..4360)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00422									SZUA-1403_54:c(4512..4892)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00423	K00014	[EC:1.1.1.25]	aroE	shikimate dehydrogenase	05E2X@bactNOG,COG0169@NOG	shikimate dehydrogenase			SZUA-1403_55:c(1062..2765)	Shikimate dehydrogenase (NADP(+))	K00014	K00014		K00014	K13832
Candidatus_bacterium_SZUA-1403|SZUA-1403_00424	K07391		comM	magnesium chelatase family protein	05C0P@bactNOG,0ENPW@cloNOG,0ND6R@firmNOG,COG0606@NOG	Mg chelatase subunit ChlI			SZUA-1403_56:615..2159	Competence protein ComM	K07391	K07391	K07391	K07391	K07391
Candidatus_bacterium_SZUA-1403|SZUA-1403_00425	K08272		CAB39, MO25	calcium binding protein 39					SZUA-1403_56:2199..2501	hypothetical protein	K08272	K08272			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00426	K01071	[EC:3.1.2.21]	MCH	medium-chain acyl-[acyl-carrier-protein] hydrolase	05C6E@bactNOG,0EPAV@cloNOG,0NE38@firmNOG,COG2812@NOG	DNA polymerase III, subunits gamma and tau			SZUA-1403_56:2691..3659	DNA polymerase III subunit gamma/tau	K01071			K01071	K02343
Candidatus_bacterium_SZUA-1403|SZUA-1403_00427									SZUA-1403_56:c(4119..4331)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00428	K03151	[EC:2.8.1.4]	thiI	tRNA uracil 4-sulfurtransferase	05D8I@bactNOG,0QJ42@gproNOG,16SCW@proNOG,COG0301@NOG,COG0607@NOG	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)			SZUA-1403_57:254..1747	tRNA sulfurtransferase	K03151	K03151		K03151	K21147
Candidatus_bacterium_SZUA-1403|SZUA-1403_00429									SZUA-1403_57:1799..2209	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00430	K11755	[EC:3.6.1.31][EC:3.5.4.19]	hisIE	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase	05K8F@bactNOG,0QJ8E@gproNOG,16SFP@proNOG,COG0139@NOG,COG0140@NOG	Phosphoribosyl-amp cyclohydrolase			SZUA-1403_57:2270..2869	Phosphoribosyl-AMP cyclohydrolase	K11755	K11755		K01496	K14152
Candidatus_bacterium_SZUA-1403|SZUA-1403_00431									SZUA-1403_57:2890..4239	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00432									SZUA-1403_57:c(4244..5239)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00433	K02836		prfB	peptide chain release factor 2	02EQJ@aquNOG,05CG1@bactNOG,COG1186@NOG	Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA (By similarity)			SZUA-1403_57:c(5319..6461)	Peptide chain release factor 2	K02836	K02836		K02836	K15034
Candidatus_bacterium_SZUA-1403|SZUA-1403_00434	K03703		uvrC	excinuclease ABC subunit C	05CII@bactNOG,0EPAR@cloNOG,0NDRN@firmNOG,COG0322@NOG	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision (By similarity)			SZUA-1403_57:c(6480..8882)	UvrABC system protein C	K03703	K03703		K03703	K05984
Candidatus_bacterium_SZUA-1403|SZUA-1403_00435									SZUA-1403_57:c(8987..9202)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00436	K01939	[EC:6.3.4.4]	purA, ADSS	adenylosuccinate synthase	1BINR@strNOG,1DT0M@virNOG,COG0104@NOG,KOG1355@euNOG	Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP (By similarity)			SZUA-1403_57:c(9273..10538)	Adenylosuccinate synthetase	K01939	K01939	K01939	K01939	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00437									SZUA-1403_58:41..358	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00438	K18568	[EC:3.6.1.-]	thnR	CoA pyrophosphatase	04WVU@bacNOG,05KZ5@bactNOG,0NPK6@firmNOG,COG0494@NOG	Nudix family			SZUA-1403_58:c(648..1124)	RNA pyrophosphohydrolase	K18568				K18568
Candidatus_bacterium_SZUA-1403|SZUA-1403_00439	K09014		sufB	Fe-S cluster assembly protein SufB	05DIW@bactNOG,0EPKJ@cloNOG,0NE5T@firmNOG,COG0719@NOG	FeS assembly protein SufB			SZUA-1403_58:c(1154..2569)	hypothetical protein	K09014	K09014		K07033	K09015
Candidatus_bacterium_SZUA-1403|SZUA-1403_00440					05HGQ@bactNOG,11NXR@NOG,17VTV@proNOG				SZUA-1403_59:c(151..843)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00441	K06193		phnA	protein PhnA	08Z8G@bactNOG,0GH9A@delNOG,0HG5G@dproNOG,17C3N@proNOG,COG2824@NOG	Alkylphosphonate utilization operon protein PhnA			SZUA-1403_59:c(857..1162)	hypothetical protein	K06193	K06193		K06193	K06193
Candidatus_bacterium_SZUA-1403|SZUA-1403_00443	K02355		fusA, GFM, EFG	elongation factor G	05CEJ@bactNOG,0QEPQ@fusoNOG,COG0480@NOG	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)			SZUA-1403_59:c(1449..3017)	Elongation factor G	K02355	K02355		K02355	K18220
Candidatus_bacterium_SZUA-1403|SZUA-1403_00444	K03980		murJ, mviN	putative peptidoglycan lipid II flippase	05CJR@bactNOG,0D1YU@chloNOG,COG0728@NOG	Integral membrane protein MviN			SZUA-1403_60:c(164..1702)	Lipid II flippase MurJ	K03980	K03980		K03980	K21004
Candidatus_bacterium_SZUA-1403|SZUA-1403_00445	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	05CIM@bactNOG,0EPBG@cloNOG,0NDSJ@firmNOG,COG0013@NOG	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)			SZUA-1403_60:c(1749..4436)	Alanine--tRNA ligase	K01872	K01872		K01872	K01872
Candidatus_bacterium_SZUA-1403|SZUA-1403_00446	K00931	[EC:2.7.2.11]	proB	glutamate 5-kinase	05CGT@bactNOG,0CZ93@chlNOG,COG0263@NOG	Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)			SZUA-1403_60:c(4472..5533)	Glutamate 5-kinase	K00931	K00931		K00931	K00931
Candidatus_bacterium_SZUA-1403|SZUA-1403_00447	K21134		triC	multidrug efflux pump	05BZS@bactNOG,0GAR9@delNOG,0I2JK@eproNOG,16PBH@proNOG,COG0841@NOG	acriflavin resistance protein			SZUA-1403_60:5907..9146	Swarming motility protein SwrC	K21134				K21134
Candidatus_bacterium_SZUA-1403|SZUA-1403_00448									SZUA-1403_60:9130..9273	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00449	K00791	[EC:2.5.1.75]	miaA, TRIT1	tRNA dimethylallyltransferase	05DKX@bactNOG,0EPBR@cloNOG,0NE19@firmNOG,COG0324@NOG	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A) (By similarity)			SZUA-1403_60:c(9301..10359)	tRNA dimethylallyltransferase	K00791	K00791		K00791	K00791
Candidatus_bacterium_SZUA-1403|SZUA-1403_00450	K01808	[EC:5.3.1.6]	rpiB	ribose 5-phosphate isomerase B	08YZG@bactNOG,0G5RS@defNOG,COG0698@NOG	isomerase (EC 5.3.1.6)			SZUA-1403_60:c(10363..10815)	Ribose-5-phosphate isomerase B	K01808	K01808		K01808	K21911
Candidatus_bacterium_SZUA-1403|SZUA-1403_00451	K00053	[EC:1.1.1.86]	ilvC	ketol-acid reductoisomerase	05C6M@bactNOG,COG0059@NOG	Alpha-keto-beta-hydroxylacyl reductoisomerase			SZUA-1403_60:10953..11927	Ketol-acid reductoisomerase (NADP(+))	K00053	K00053		K00053	K00053
Candidatus_bacterium_SZUA-1403|SZUA-1403_00452	K18346		vanW	vancomycin resistance protein VanW	073R8@bactNOG,0G9HR@deiNOG,COG2720@NOG	VanW family			SZUA-1403_60:c(12006..13334)	Vancomycin B-type resistance protein VanW	K18346			K18346	K18346
Candidatus_bacterium_SZUA-1403|SZUA-1403_00453	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	05K8U@bactNOG,0QS91@gproNOG,17FWJ@proNOG,COG0801@NOG	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase			SZUA-1403_61:c(1148..1618)	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	K00950	K00950		K00950	K13941
Candidatus_bacterium_SZUA-1403|SZUA-1403_00454	K02967		RP-S2, MRPS2, rpsB	small subunit ribosomal protein S2	05CE9@bactNOG,0QEUF@fusoNOG,COG0052@NOG	30S ribosomal protein S2			SZUA-1403_61:c(1712..2398)	30S ribosomal protein S2	K02967	K02967		K02967	K02998
Candidatus_bacterium_SZUA-1403|SZUA-1403_00455					0IQXM@euNOG,0U6VW@lilNOG,121QZ@NOG,163W8@poaNOG,1C75R@strNOG,1EM2Y@virNOG	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)			SZUA-1403_62:114..383	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00456	K03742	[EC:3.5.1.42]	pncC	nicotinamide-nucleotide amidase	05CEV@bactNOG,099M0@bctoNOG,0P79E@flaNOG,COG1058@NOG,COG1546@NOG	CinA-like protein			SZUA-1403_62:475..963	Nicotinamide-nucleotide amidohydrolase PncC	K03742			K03742	K03743
Candidatus_bacterium_SZUA-1403|SZUA-1403_00457									SZUA-1403_62:1049..2737	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00458					05QXM@bactNOG,11T4T@NOG				SZUA-1403_62:2747..4504	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00459	K00796	[EC:2.5.1.15]	folP	dihydropteroate synthase	02EV1@aquNOG,05EEI@bactNOG,COG0294@NOG	dihydropteroate synthase (EC 2.5.1.15)			SZUA-1403_62:c(4487..5359)	Dihydropteroate synthase	K00796	K00796		K00796	K18974
Candidatus_bacterium_SZUA-1403|SZUA-1403_00460									SZUA-1403_63:385..549	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00461									SZUA-1403_64:642..3224	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00462	K01776	[EC:5.1.1.3]	murI	glutamate racemase	05F03@bactNOG,COG0796@NOG	Provides the (R)-glutamate required for cell wall biosynthesis (By similarity)			SZUA-1403_64:3349..3984	Glutamate racemase	K01776	K01776		K01776	K01776
Candidatus_bacterium_SZUA-1403|SZUA-1403_00463	K00766	[EC:2.4.2.18]	trpD	anthranilate phosphoribosyltransferase	054IH@bacNOG,08I0Q@bactNOG,0P62P@firmNOG,COG0547@NOG	Anthranilate phosphoribosyltransferase			SZUA-1403_64:3997..5010	Anthranilate phosphoribosyltransferase	K00766	K00766		K00766	K13497
Candidatus_bacterium_SZUA-1403|SZUA-1403_00464	K06878		K06878	tRNA-binding protein	08Z7R@bactNOG,0QTJP@gproNOG,17C9R@proNOG,COG0073@NOG	Export-related chaperone CsaA			SZUA-1403_64:c(5043..5351)	putative chaperone CsaA	K06878	K06878		K06878	K06878
Candidatus_bacterium_SZUA-1403|SZUA-1403_00465									SZUA-1403_65:c(45..173)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00466									SZUA-1403_65:1489..2160	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00467					08UYA@bactNOG,09EF2@bctoNOG,0PA21@flaNOG,11IH4@NOG	Phosphoribosyl-ATP pyrophosphohydrolase			SZUA-1403_65:2183..2614	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00468									SZUA-1403_66:10..417	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00469									SZUA-1403_66:513..758	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00470	K01174	[EC:3.1.31.1]	nuc	micrococcal nuclease	00QN0@actNOG,07Y9E@bactNOG,COG1525@NOG	nuclease			SZUA-1403_66:765..1604	Thermonuclease	K01174	K01174		K01174	K16561
Candidatus_bacterium_SZUA-1403|SZUA-1403_00471	K01665	[EC:2.6.1.85]	pabB	para-aminobenzoate synthetase component I	05CRQ@bactNOG,0EPY9@cloNOG,0NDYI@firmNOG,COG0147@NOG	synthase component I			SZUA-1403_66:c(1615..3024)	Aminodeoxychorismate synthase component 1	K01665			K01665	K20159
Candidatus_bacterium_SZUA-1403|SZUA-1403_00472									SZUA-1403_66:c(3047..4120)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00473	K00172	[EC:1.2.7.1]	porG	pyruvate ferredoxin oxidoreductase gamma subunit	05EJ5@bactNOG,1CGBM@therNOG,COG1014@NOG	oxidoreductase, gamma subunit			SZUA-1403_66:4233..4814	Pyruvate synthase subunit PorC	K00172	K00172		K00172	K04090
