#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00569					0KS9Y@eurNOG,COG0330@NOG,arCOG01915@arNOG	Band 7 protein			SZUA-1439_202:767..1510	Stomatin					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00570	K03110		ftsY	fused signal recognition particle receptor	02HCW@arcNOG,0KRAW@eurNOG,COG0552@NOG,arCOG01227@arNOG	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC) (By similarity)			SZUA-1439_202:c(1725..2051)	Signal recognition particle receptor FtsY	K03110	K03110		K03110	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00571	K09147		K09147	uncharacterized protein	0FCKG@creNOG,COG2410@NOG,arCOG04409@arNOG	Protein of unknown function (DUF429)			SZUA-1439_203:14..442	hypothetical protein	K09147	K09147		K09147	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00572	K06974	[EC:3.4.-.-]	amzA, AMZ2, AMZ1	archaemetzincin	0KU0T@eurNOG,COG1913@NOG,arCOG00458@arNOG	zinc metalloprotease whose natural substrate is			SZUA-1439_203:450..977	Archaemetzincin	K06974	K06974	K06974	K06974	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00573	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	02HEC@arcNOG,0KREZ@eurNOG,COG0519@NOG,arCOG00085@arNOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1439_203:c(1161..1523)	GMP synthase [glutamine-hydrolyzing] subunit B	K01951	K01951		K01951	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00574	K07744		K07744	transcriptional regulator	0KRVI@eurNOG,COG2524@NOG,arCOG00610@arNOG	signal transduction protein with cbs domains			SZUA-1439_204:942..1838	Inosine-5'-monophosphate dehydrogenase	K07744	K07744	K07744	K07744	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00575	K04794	[EC:3.1.1.29]	PTH2	peptidyl-tRNA hydrolase, PTH2 family	02HWZ@arcNOG,0KU02@eurNOG,COG1990@NOG,arCOG04228@arNOG	The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis (By similarity)			SZUA-1439_204:2006..2356	Peptidyl-tRNA hydrolase	K04794	K04794	K04794	K04794	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00576	K00784	[EC:3.1.26.11]	rnz	ribonuclease Z	02HGJ@arcNOG,0KRWR@eurNOG,COG1234@NOG,arCOG00501@arNOG	Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA (By similarity)			SZUA-1439_205:100..1017	Ribonuclease Z	K00784	K00784	K00784	K00784	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00577	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	02H69@arcNOG,0KSW2@eurNOG,COG0518@NOG,arCOG00087@arNOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1439_205:c(1279..1773)	GMP synthase [glutamine-hydrolyzing] subunit A	K01951	K01951		K01951	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00578	K01698	[EC:4.2.1.24]	hemB, ALAD	porphobilinogen synthase	0KRSR@eurNOG,COG0113@NOG,arCOG04300@arNOG	Delta-aminolevulinic acid dehydratase			SZUA-1439_206:c(1341..1661)	hypothetical protein	K01698	K01698		K01698	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00579	K06883		K06883	uncharacterized protein	02H9P@arcNOG,0KSKF@eurNOG,COG1100@NOG,arCOG01225@arNOG	Conserved hypothetical ATP binding protein			SZUA-1439_207:543..1310	GPN-loop GTPase	K06883	K06883	K06883	K06883	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00580	K02470	[EC:5.99.1.3]	gyrB	DNA gyrase subunit B	02H1G@arcNOG,0KRJE@eurNOG,COG0187@NOG,arCOG04371@arNOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1439_207:1344..3215	DNA gyrase subunit B	K02470	K02470	K02470	K02470	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00581	K00621	[EC:2.3.1.4]	GNPNAT1, GNA1	glucosamine-phosphate N-acetyltransferase	0KUGT@eurNOG,COG0454@NOG,arCOG00826@arNOG	N-acetyltransferase			SZUA-1439_207:c(3229..3690)	Mycothiol acetyltransferase	K00621			K00621	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00582									SZUA-1439_207:c(3971..4171)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00583	K01956	[EC:6.3.5.5]	carA, CPA1	carbamoyl-phosphate synthase small subunit	02GZ5@arcNOG,0KRWB@eurNOG,COG0505@NOG,arCOG00064@arNOG	Carbamoyl-phosphate synthetase glutamine chain			SZUA-1439_208:153..1232	Anthranilate synthase component 2	K01956	K01956	K01956	K01956	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00585	K00133	[EC:1.2.1.11]	asd	aspartate-semialdehyde dehydrogenase	0KRV9@eurNOG,COG0136@NOG,arCOG00494@arNOG	aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)			SZUA-1439_208:c(1739..2770)	Aspartate-semialdehyde dehydrogenase	K00133	K00133	K00133	K00133	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00586					0KX3B@eurNOG,0Z0RS@NOG,arCOG10355@arNOG				SZUA-1439_208:2823..3614	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00587	K06927	[EC:6.3.1.14]	DPH6	diphthine-ammonia ligase	02HKY@arcNOG,0KT5V@eurNOG,COG2102@NOG,arCOG00035@arNOG	ATP-binding region			SZUA-1439_208:3789..4454	hypothetical protein	K06927	K06927	K06927	K01953	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00588	K03638	[EC:2.7.7.75]	moaB	molybdopterin adenylyltransferase	02HPI@arcNOG,0KTWB@eurNOG,COG0521@NOG,arCOG00214@arNOG	molybdenum cofactor			SZUA-1439_209:15..341	Molybdopterin adenylyltransferase	K03638	K03638		K03638	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00590					0KTB4@eurNOG,COG3366@NOG,arCOG00360@arNOG	nucleoside recognition domain protein			SZUA-1439_209:1373..2260	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00591	K00973	[EC:2.7.7.24]	E2.7.7.24, rfbA, rffH	glucose-1-phosphate thymidylyltransferase	0KT30@eurNOG,COG1208@NOG,arCOG00666@arNOG	Nucleotidyl transferase			SZUA-1439_210:817..1815	Bifunctional protein GlmU	K00973	K00973	K00973	K00966	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00592	K03399	[EC:2.1.1.289]	cbiE	cobalt-precorrin-7 (C5)-methyltransferase	02HSG@arcNOG,0KT5J@eurNOG,COG2138@NOG,COG2241@NOG,arCOG00650@arNOG,arCOG02246@arNOG	Precorrin-6y C5,15-methyltransferase (Decarboxylating), CbiE subunit			SZUA-1439_211:701..1264	hypothetical protein	K03399	K03399		K00595	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00593	K03795	[EC:4.99.1.3]	cbiX	sirohydrochlorin cobaltochelatase	02HXX@arcNOG,0KYN8@eurNOG,COG2138@NOG,arCOG02246@arNOG	CbiX			SZUA-1439_211:1249..1656	Sirohydrochlorin cobaltochelatase	K03795		K03795	K03399	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00594					02HQF@arcNOG,0KYNA@eurNOG,11W73@NOG,arCOG01314@arNOG	Inherit from NOG: S-layer-related duplication domain protein			SZUA-1439_211:1884..2501	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00596									SZUA-1439_212:108..530	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00597	K00205		fwdF, fmdF	4Fe-4S ferredoxin	0KRJH@eurNOG,0ZN2K@NOG,arCOG02180@arNOG	formylmethanofuran dehydrogenase, subunit			SZUA-1439_212:c(546..1313)	Polyferredoxin protein MvhB	K00205	K00205		K00205	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00598	K03390	[EC:1.8.7.3][EC:1.8.98.4][EC:1.8.98.5][EC:1.8.98.6]	hdrC2	heterodisulfide reductase subunit C2	COG1150@NOG,arCOG00964@arNOG	heterodisulfide reductase subunit C			SZUA-1439_212:1429..1887	CoB--CoM heterodisulfide reductase iron-sulfur subunit C	K03390	K03390		K00113	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00599	K00241		sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	0KRJ7@eurNOG,COG2048@NOG,arCOG00338@arNOG	heterodisulfide reductase subunit b			SZUA-1439_212:1880..2722	CoB--CoM heterodisulfide reductase subunit B	K00241			K00241	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00600	K15566	[EC:2.1.1.218][EC:2.1.1.221]	trm10	tRNA (adenine9-N1/guanine9-N1)-methyltransferase	02H2S@arcNOG,0KWDK@eurNOG,COG2419@NOG,arCOG00967@arNOG	tRNA (Guanine-N1-)-methyltransferase			SZUA-1439_213:83..1096	tRNA (guanine(9)-/adenine(9)-N1)-methyltransferase	K15566	K15566	K15566	K15566	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00601	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	02HBP@arcNOG,0KRM2@eurNOG,COG0106@NOG,arCOG00618@arNOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1439_213:1068..1805	Imidazole glycerol phosphate synthase subunit HisF	K01814	K01814	K01814	K01814	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00602	K09816		znuB	zinc transport system permease protein					SZUA-1439_213:2058..2222	hypothetical protein	K09816	K09816			
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00603	K07026	[EC:3.1.3.70]	E3.1.3.70	mannosyl-3-phosphoglycerate phosphatase	0KRDQ@eurNOG,COG3769@NOG,arCOG01215@arNOG	Mannosyl-3-phosphoglycerate phosphatase			SZUA-1439_214:c(891..1667)	Glucosyl-3-phosphoglycerate/mannosyl-3- phosphoglycerate phosphatase	K07026	K07026		K07026	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00604					COG0535@NOG,arCOG00938@arNOG	radical SAM domain protein			SZUA-1439_214:2265..3404	7-carboxy-7-deazaguanine synthase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00605					111A6@NOG,arCOG10950@arNOG				SZUA-1439_214:3854..4423	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00606									SZUA-1439_214:4652..5347	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00607	K05772		tupA, vupA	tungstate transport system substrate-binding protein	0KT9K@eurNOG,COG2998@NOG,arCOG00229@arNOG	ABC transporter tungsten-binding protein			SZUA-1439_215:242..1201	hypothetical protein	K05772	K05772		K05772	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00608									SZUA-1439_215:c(1837..2007)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00609					02HY4@arcNOG,0KU74@eurNOG,COG1371@NOG,arCOG04055@arNOG	Inherit from eurNOG: Chaperone or modulator of proteins involved in DNA or RNA processing (By similarity)			SZUA-1439_216:65..475	Protein archease					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00610	K10725		cdc6A	archaeal cell division control protein 6	02GXY@arcNOG,0KRI1@eurNOG,COG1474@NOG,arCOG00467@arNOG	Involved in regulation of DNA replication (By similarity)			SZUA-1439_216:676..1896	ORC1-type DNA replication protein	K10725	K10725	K10725	K10725	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00611	K07745		K07745	transcriptional regulator	02HH9@arcNOG,0KWBN@eurNOG,COG1318@NOG,arCOG07764@arNOG				SZUA-1439_216:c(2033..2404)	hypothetical protein	K07745		K07745	K07745	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00612					0KVQZ@eurNOG,COG0467@NOG,arCOG01171@arNOG	Circadian clock protein KaiC			SZUA-1439_216:c(2698..3552)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00613					1112W@NOG,arCOG10693@arNOG				SZUA-1439_216:c(3741..3902)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00614	K09737		K09737	uncharacterized protein	COG2083@NOG,arCOG01921@arNOG	UPF0216 protein			SZUA-1439_216:c(4264..4674)	hypothetical protein	K09737		K09737	K09737	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00615					02I70@arcNOG,0KYJ3@eurNOG,COG4068@NOG,arCOG04390@arNOG	Uncharacterized protein containing a Zn-ribbon (DUF2116)			SZUA-1439_217:c(99..200)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00616									SZUA-1439_217:c(1267..1386)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00617	K03386	[EC:1.11.1.15]	PRDX2_4, ahpC	peroxiredoxin (alkyl hydroperoxide reductase subunit C)	0KRJP@eurNOG,COG0450@NOG,arCOG00312@arNOG	peroxiredoxin (EC 1.11.1.15)			SZUA-1439_217:c(1815..2279)	Peroxiredoxin	K03386	K03386		K03386	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00618	K07228		K07228	TrkA domain protein	0KU4W@eurNOG,COG0490@NOG,arCOG01970@arNOG	TrkA-C domain protein			SZUA-1439_218:973..1449	Calcium-gated potassium channel MthK	K07228	K07228	K07228	K07228	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00619					11GQV@NOG,arCOG06583@arNOG				SZUA-1439_219:968..1846	endonuclease 4					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00620					0KWYR@eurNOG,COG1061@NOG,arCOG00877@arNOG	HELICc			SZUA-1439_219:c(2056..3144)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00621	K09000		cmr4	CRISPR-associated protein Cmr4	0KXG3@eurNOG,0ZJ0D@NOG,arCOG05099@arNOG	AIG2-like family			SZUA-1439_220:c(14..163)	hypothetical protein	K09000			K09000	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00622	K01887	[EC:6.1.1.19]	RARS, argS	arginyl-tRNA synthetase	02HFB@arcNOG,0KRCP@eurNOG,COG0018@NOG,arCOG00487@arNOG	arginyl-tRNA synthetase (EC 6.1.1.19)			SZUA-1439_220:926..2587	Arginine--tRNA ligase	K01887	K01887	K01887	K01887	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00623					02HQ8@arcNOG,0KT9Q@eurNOG,0ZQKM@NOG,arCOG04990@arNOG	Inherit from NOG: chromosome 15 open reading frame 41			SZUA-1439_220:c(2812..3714)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00624	K00573	[EC:2.1.1.77]	E2.1.1.77, pcm	protein-L-isoaspartate(D-aspartate) O-methyltransferase	02H2T@arcNOG,0KSP6@eurNOG,COG2518@NOG,arCOG00976@arNOG	Catalyzes the methyl esterification of L-isoaspartyl residues in peptides and proteins that result from spontaneous decomposition of normal L-aspartyl and L-asparaginyl residues. It plays a role in the repair and or degradation of damaged proteins (By similarity)			SZUA-1439_220:c(3869..4138)	Protein-L-isoaspartate O-methyltransferase	K00573	K00573		K00573	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00625	K10206	[EC:2.6.1.83]	E2.6.1.83	LL-diaminopimelate aminotransferase	02HDA@arcNOG,0KRH6@eurNOG,COG0436@NOG,arCOG01133@arNOG	Aminotransferase class I and II			SZUA-1439_221:c(545..1498)	LL-diaminopimelate aminotransferase	K10206	K10206		K10206	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00626	K00058	[EC:1.1.1.95][EC:1.1.1.399]	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	02HBW@arcNOG,0KR9T@eurNOG,COG0111@NOG,arCOG01754@arNOG,arCOG04445@arNOG	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)			SZUA-1439_222:652..2229	Glyoxylate reductase	K00058	K00058	K00058	K00058	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00627	K10896		FANCM	fanconi anemia group M protein	02HGS@arcNOG,0KRRB@eurNOG,COG1111@NOG,COG1948@NOG,arCOG00872@arNOG	helicase domain protein			SZUA-1439_222:c(2396..2935)	3'-flap repair endonuclease Xpf	K10896	K10896		K10896	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00628									SZUA-1439_223:456..608	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00630									SZUA-1439_223:c(1263..1772)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00631	K00170	[EC:1.2.7.1]	porB	pyruvate ferredoxin oxidoreductase beta subunit	02GVZ@arcNOG,0KRU0@eurNOG,COG1013@NOG,arCOG01601@arNOG	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain			SZUA-1439_224:1..645	Pyruvate synthase subunit PorB	K00170	K00170		K00170	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00632	K03574	[EC:3.6.1.55]	mutT, NUDT15, MTH2	8-oxo-dGTP diphosphatase	0KTE3@eurNOG,COG1051@NOG,arCOG01075@arNOG	NUDiX hydrolase			SZUA-1439_224:c(670..1077)	ADP-ribose pyrophosphatase	K03574	K03574	K03574	K03574	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00633	K04485		radA, sms	DNA repair protein RadA/Sms	02H4B@arcNOG,0KSHY@eurNOG,COG0467@NOG,arCOG01175@arNOG	KaiC			SZUA-1439_224:1443..2111	hypothetical protein	K04485			K04485	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00634	K00014	[EC:1.1.1.25]	aroE	shikimate dehydrogenase	02HK0@arcNOG,0KRZ8@eurNOG,COG0169@NOG,arCOG01033@arNOG	shikimate dehydrogenase			SZUA-1439_224:2290..3108	Shikimate dehydrogenase (NADP(+))	K00014	K00014	K00014	K00014	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00635					02HPK@arcNOG,0KTYH@eurNOG,COG4738@NOG,arCOG04377@arNOG	Sugar-specific transcriptional regulator TrmB			SZUA-1439_224:c(3274..3642)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00636	K06875		PDCD5, TFAR19	programmed cell death protein 5	02HVW@arcNOG,0KUEA@eurNOG,COG2118@NOG,arCOG04179@arNOG	Double-stranded DNA-binding domain			SZUA-1439_225:386..721	DNA-binding protein	K06875	K06875	K06875	K06875	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00637	K02924		RP-L39e, RPL39	large subunit ribosomal protein L39e	02I3K@arcNOG,0KYMH@eurNOG,COG2167@NOG,arCOG04177@arNOG	50S ribosomal protein L39E			SZUA-1439_225:728..880	50S ribosomal protein L39e	K02924		K02924	K02924	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00638	K02910		RP-L31e, RPL31	large subunit ribosomal protein L31e	02HU5@arcNOG,0KUN0@eurNOG,COG2097@NOG,arCOG04473@arNOG	50S ribosomal protein L31e			SZUA-1439_225:1147..1467	50S ribosomal protein L31e	K02910	K02910	K02910	K02910	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00639	K03264		EIF6	translation initiation factor 6	02H8D@arcNOG,0KTQ3@eurNOG,COG1976@NOG,arCOG04176@arNOG	Binds to the 50S ribosomal subunit and prevents its association with the 30S ribosomal subunit to form the 70S initiation complex (By similarity)			SZUA-1439_225:1469..2122	Translation initiation factor 6	K03264	K03264	K03264	K03264	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00640									SZUA-1439_227:42..1064	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00641	K00197	[EC:2.1.1.245]	cdhE, acsC	acetyl-CoA decarbonylase/synthase complex subunit gamma	02HDW@arcNOG,0KR9G@eurNOG,COG1456@NOG,arCOG01979@arNOG	Part of a complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2) (By similarity)			SZUA-1439_228:8..619	Acetyl-CoA decarbonylase/synthase complex subunit gamma	K00197	K00197		K00197	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00642	K14656	[EC:2.7.7.2]	ribL	FAD synthetase	02HK1@arcNOG,0KTF3@eurNOG,COG0615@NOG,arCOG01222@arNOG	Catalyzes the transfer of the AMP portion of ATP to flavin mononucleotide (FMN) to produce flavin adenine dinucleotide (FAD) coenzyme (By similarity)			SZUA-1439_228:c(753..1217)	FAD synthase	K14656	K14656	K14656	K00980	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00643									SZUA-1439_229:198..632	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00644	K01092	[EC:3.1.3.25]	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase	02HGW@arcNOG,0KSUF@eurNOG,COG0483@NOG,arCOG01349@arNOG	inositol-phosphate phosphatase (EC 3.1.3.25)			SZUA-1439_229:729..1487	Fructose-1, 6-bisphosphatase/inositol-1-monophosphatase	K01092	K01092	K01092	K00858	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00645	K03552	[EC:3.1.22.4]	hjr	holliday junction resolvase Hjr	0KTCF@eurNOG,COG1591@NOG,arCOG00919@arNOG	Holliday junction resolvase			SZUA-1439_230:c(1200..1571)	Holliday junction resolvase Hjc	K03552	K03552	K03552	K03552	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00646	K07446	[EC:2.1.1.213]	trm-G10	tRNA (guanine10-N2)-dimethyltransferase	0KS0G@eurNOG,COG1041@NOG,arCOG00047@arNOG	RNA methylase			SZUA-1439_230:c(1753..2037)	tRNA (guanine(10)-N2)-dimethyltransferase	K07446	K07446		K07446	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00647					02H3Q@arcNOG,0KR94@eurNOG,COG0704@NOG,arCOG00318@arNOG	SpoVT_AbrB			SZUA-1439_231:c(313..1281)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00648	K14654	[EC:1.1.1.302]	RIB7, arfC	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase	02GXJ@arcNOG,0KSIH@eurNOG,COG1985@NOG,arCOG01484@arNOG	RibD C-terminal domain			SZUA-1439_231:c(1439..2113)	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase	K14654	K14654	K14654	K11752	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00649					02HJ4@arcNOG,0KTIZ@eurNOG,COG1058@NOG,arCOG00215@arNOG	domain protein			SZUA-1439_231:c(2110..2799)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00650	K02347		polX, dpx	DNA polymerase (family X)	02H91@arcNOG,0KS53@eurNOG,COG1387@NOG,arCOG00304@arNOG	PHP domain protein			SZUA-1439_231:3272..3913	phosphatase YcdX	K02347			K02347	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00651					02GVN@arcNOG,0KRWV@eurNOG,COG1340@NOG,arCOG01159@arNOG	Inherit from eurNOG: phosphoserine phosphatase			SZUA-1439_231:4099..4959	Chromosome partition protein Smc					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00652	K06215	[EC:4.3.3.6]	pdxS, pdx1	pyridoxal 5'-phosphate synthase pdxS subunit	02H2C@arcNOG,0KRAV@eurNOG,COG0214@NOG,arCOG04075@arNOG	Involved in the production of pyridoxal phosphate, probably by incorporating ammonia into the pyridine ring (By similarity)			SZUA-1439_233:c(215..1210)	Pyridoxal 5'-phosphate synthase subunit PdxS	K06215	K06215	K06215	K06215	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00653	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	COG2319@NOG	wd repeat			SZUA-1439_234:c(1537..2988)	hypothetical protein	K00114			K00114	K20332
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00654	K06915		K06915	uncharacterized protein	02GV9@arcNOG,0KRAJ@eurNOG,COG0433@NOG,arCOG00280@arNOG	Domain of unknown function DUF87			SZUA-1439_234:3278..4855	DNA double-strand break repair helicase HerA	K06915	K06915	K06915	K06915	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00655	K06442	[EC:2.1.1.226][EC:2.1.1.227]	tlyA	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	02HP5@arcNOG,0KSWA@eurNOG,COG1189@NOG,arCOG00080@arNOG	RNA-binding S4 domain protein			SZUA-1439_234:4991..5632	Ribosomal RNA large subunit methyltransferase E	K06442	K06442		K06442	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00656					02I2U@arcNOG,0KRS3@eurNOG,COG0070@NOG,arCOG00096@arNOG	Glutamate synthase alpha subunit domain protein			SZUA-1439_234:c(5804..6631)	Tungsten-containing formylmethanofuran dehydrogenase 2 subunit C					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00657	K07254	[EC:2.1.1.206]	atrm56	tRNA (cytidine56-2'-O)-methyltransferase	02HH0@arcNOG,0KT12@eurNOG,COG1303@NOG,arCOG01857@arNOG	Specifically catalyzes the AdoMet-dependent 2'-O-ribose methylation of cytidine at position 56 in tRNAs (By similarity)			SZUA-1439_235:1196..1705	tRNA (cytidine(56)-2'-O)-methyltransferase	K07254	K07254	K07254	K07254	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00658					02HQP@arcNOG,0KYMM@eurNOG,0YWFT@NOG,arCOG02452@arNOG	KaiC			SZUA-1439_235:c(2662..3351)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00659	K00812	[EC:2.6.1.1]	aspB	aspartate aminotransferase	02H4J@arcNOG,0KRFG@eurNOG,COG0436@NOG,arCOG01130@arNOG	DegT/DnrJ/EryC1/StrS aminotransferase family			SZUA-1439_235:c(3516..4667)	Aromatic-amino-acid aminotransferase 2	K00812	K00812	K00812	K00812	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00660	K00794	[EC:2.5.1.78]	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase	02HF6@arcNOG,0KT0N@eurNOG,COG0054@NOG,arCOG01323@arNOG	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)			SZUA-1439_235:c(4651..5082)	6,7-dimethyl-8-ribityllumazine synthase	K00794	K00794	K00794	K00794	
